#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLNJ-006,L0,6,Углеродистая сталь 
,SLNJ-006.4,L0,6.4,Углеродистая сталь 
,SLNJ-008,L0,8,Углеродистая сталь 
,SLNJ-009.5,L0,9.5,Углеродистая сталь 
,SLNJ-010,L0,10,Углеродистая сталь 
,SLNJ-012,L0,12,Углеродистая сталь 
,SLNJ-006S,L0,6,Нержавеющая сталь 
,SLNJ-006.4S,L0,6.4,Нержавеющая сталь 
,SLNJ-008S,L0,8,Нержавеющая сталь 
,SLNJ-009.5S,L0,9.5,Нержавеющая сталь 
,SLNJ-010S,L0,10,Нержавеющая сталь 
,SLNJ-012S,L0,12,Нержавеющая сталь 
