#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLLD-106,L1,6,Углеродистая сталь 
,SLLD-106.4,L1,6.4,Углеродистая сталь 
,SLLD-108,L1,8,Углеродистая сталь 
,SLLD-109.5,L1,9.5,Углеродистая сталь 
,SLLD-110,L1,10,Углеродистая сталь 
,SLLD-112,L1,12,Углеродистая сталь 
,SLLD-212.7,L2,12.7,Углеродистая сталь 
,SLLD-213.5,L2,13.5,Углеродистая сталь 
,SLLD-214,L2,14,Углеродистая сталь 
,SLLD-215,L2,15,Углеродистая сталь 
,SLLD-216,L2,16,Углеродистая сталь 
,SLLD-217.2,L2,17.2,Углеродистая сталь 
,SLLD-218,L2,18,Углеродистая сталь 
,SLLD-319,L3,19,Углеродистая сталь 
,SLLD-320,L3,20,Углеродистая сталь 
,SLLD-321.3,L3,21.3,Углеродистая сталь 
,SLLD-322,L3,22,Углеродистая сталь 
,SLLD-325,L3,25,Углеродистая сталь 
,SLLD-426.9,L4,26.9,Углеродистая сталь 
,SLLD-428,L4,28,Углеродистая сталь 
,SLLD-430,L4,30,Углеродистая сталь 
,SLLD-532,L5,32,Углеродистая сталь 
,SLLD-533.7,L5,33.7,Углеродистая сталь 
,SLLD-535,L5,35,Углеродистая сталь 
,SLLD-538,L5,38,Углеродистая сталь 
,SLLD-540,L5,40,Углеродистая сталь 
,SLLD-542,L5,42,Углеродистая сталь 
,SLLD-644.5,L6,44.5,Углеродистая сталь 
,SLLD-648.3,L6,48.3,Углеродистая сталь 
,SLLD-650.8,L6,50.8,Углеродистая сталь 
,SLLD-757.2,L7,57.2,Углеродистая сталь 
,SLLD-760.3,L7,60.3,Углеродистая сталь 
,SLLD-763.5,L7,63.5,Углеродистая сталь 
,SLLD-770,L7,70,Углеродистая сталь 
,SLLD-773,L7,73,Углеродистая сталь 
,SLLD-776.1,L7,76.1,Углеродистая сталь 
,SLLD-888.9,L8,88.9,Углеродистая сталь 
,SLLD-8102,L8,102,Углеродистая сталь 
,SLLD-106S,L1,6,Нержавеющая сталь 
,SLLD-106.4S,L1,6.4,Нержавеющая сталь 
,SLLD-108S,L1,8,Нержавеющая сталь 
,SLLD-109.5S,L1,9.5,Нержавеющая сталь 
,SLLD-110S,L1,10,Нержавеющая сталь 
,SLLD-112S,L1,12,Нержавеющая сталь 
,SLLD-212.7S,L2,12.7,Нержавеющая сталь 
,SLLD-213.5S,L2,13.5,Нержавеющая сталь 
,SLLD-214S,L2,14,Нержавеющая сталь 
,SLLD-215S,L2,15,Нержавеющая сталь 
,SLLD-216S,L2,16,Нержавеющая сталь 
,SLLD-217.2S,L2,17.2,Нержавеющая сталь 
,SLLD-218S,L2,18,Нержавеющая сталь 
,SLLD-319S,L3,19,Нержавеющая сталь 
,SLLD-320S,L3,20,Нержавеющая сталь 
,SLLD-321.3S,L3,21.3,Нержавеющая сталь 
,SLLD-322S,L3,22,Нержавеющая сталь 
,SLLD-325S,L3,25,Нержавеющая сталь 
,SLLD-426.9S,L4,26.9,Нержавеющая сталь 
,SLLD-428S,L4,28,Нержавеющая сталь 
,SLLD-430S,L4,30,Нержавеющая сталь 
,SLLD-532S,L5,32,Нержавеющая сталь 
,SLLD-533.7S,L5,33.7,Нержавеющая сталь 
,SLLD-535S,L5,35,Нержавеющая сталь 
,SLLD-538S,L5,38,Нержавеющая сталь 
,SLLD-540S,L5,40,Нержавеющая сталь 
,SLLD-542S,L5,42,Нержавеющая сталь 
,SLLD-644.5S,L6,44.5,Нержавеющая сталь 
,SLLD-648.3S,L6,48.3,Нержавеющая сталь 
,SLLD-650.8S,L6,50.8,Нержавеющая сталь 
,SLLD-757.2S,L7,57.2,Нержавеющая сталь 
,SLLD-760.3S,L7,60.3,Нержавеющая сталь 
,SLLD-763.5S,L7,63.5,Нержавеющая сталь 
,SLLD-770S,L7,70,Нержавеющая сталь 
,SLLD-773S,L7,73,Нержавеющая сталь 
,SLLD-776.1S,L7,76.1,Нержавеющая сталь 
,SLLD-888.9S,L8,88.9,Нержавеющая сталь 
,SLLD-8102S,L8,102,Нержавеющая сталь 
