#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLNJ-106,L1,6,Углеродистая сталь 
,SLNJ-106.4,L1,6.4,Углеродистая сталь 
,SLNJ-108,L1,8,Углеродистая сталь 
,SLNJ-109.5,L1,9.5,Углеродистая сталь 
,SLNJ-110,L1,10,Углеродистая сталь 
,SLNJ-112,L1,12,Углеродистая сталь 
,SLNJ-212.7,L2,12.7,Углеродистая сталь 
,SLNJ-213.5,L2,13.5,Углеродистая сталь 
,SLNJ-214,L2,14,Углеродистая сталь 
,SLNJ-215,L2,15,Углеродистая сталь 
,SLNJ-216,L2,16,Углеродистая сталь 
,SLNJ-217.2,L2,17.2,Углеродистая сталь 
,SLNJ-218,L2,18,Углеродистая сталь 
,SLNJ-319,L3,19,Углеродистая сталь 
,SLNJ-320,L3,20,Углеродистая сталь 
,SLNJ-321.3,L3,21.3,Углеродистая сталь 
,SLNJ-322,L3,22,Углеродистая сталь 
,SLNJ-325,L3,25,Углеродистая сталь 
,SLNJ-426.9,L4,26.9,Углеродистая сталь 
,SLNJ-428,L4,28,Углеродистая сталь 
,SLNJ-430,L4,30,Углеродистая сталь 
,SLNJ-532,L5,32,Углеродистая сталь 
,SLNJ-533.7,L5,33.7,Углеродистая сталь 
,SLNJ-535,L5,35,Углеродистая сталь 
,SLNJ-538,L5,38,Углеродистая сталь 
,SLNJ-540,L5,40,Углеродистая сталь 
,SLNJ-542,L5,42,Углеродистая сталь 
,SLNJ-644.5,L6,44.5,Углеродистая сталь 
,SLNJ-648.3,L6,48.3,Углеродистая сталь 
,SLNJ-650.8,L6,50.8,Углеродистая сталь 
,SLNJ-757.2,L7,57.2,Углеродистая сталь 
,SLNJ-760.3,L7,60.3,Углеродистая сталь 
,SLNJ-763.5,L7,63.5,Углеродистая сталь 
,SLNJ-770,L7,70,Углеродистая сталь 
,SLNJ-773,L7,73,Углеродистая сталь 
,SLNJ-776.1,L7,76.1,Углеродистая сталь 
,SLNJ-888.9,L8,88.9,Углеродистая сталь 
,SLNJ-8102,L8,102,Углеродистая сталь 
,SLNJ-106S,L1,6,Нержавеющая сталь 
,SLNJ-106.4S,L1,6.4,Нержавеющая сталь 
,SLNJ-108S,L1,8,Нержавеющая сталь 
,SLNJ-109.5S,L1,9.5,Нержавеющая сталь 
,SLNJ-110S,L1,10,Нержавеющая сталь 
,SLNJ-112S,L1,12,Нержавеющая сталь 
,SLNJ-212.7S,L2,12.7,Нержавеющая сталь 
,SLNJ-213.5S,L2,13.5,Нержавеющая сталь 
,SLNJ-214S,L2,14,Нержавеющая сталь 
,SLNJ-215S,L2,15,Нержавеющая сталь 
,SLNJ-216S,L2,16,Нержавеющая сталь 
,SLNJ-217.2S,L2,17.2,Нержавеющая сталь 
,SLNJ-218S,L2,18,Нержавеющая сталь 
,SLNJ-319S,L3,19,Нержавеющая сталь 
,SLNJ-320S,L3,20,Нержавеющая сталь 
,SLNJ-321.3S,L3,21.3,Нержавеющая сталь 
,SLNJ-322S,L3,22,Нержавеющая сталь 
,SLNJ-325S,L3,25,Нержавеющая сталь 
,SLNJ-426.9S,L4,26.9,Нержавеющая сталь 
,SLNJ-428S,L4,28,Нержавеющая сталь 
,SLNJ-430S,L4,30,Нержавеющая сталь 
,SLNJ-532S,L5,32,Нержавеющая сталь 
,SLNJ-533.7S,L5,33.7,Нержавеющая сталь 
,SLNJ-535S,L5,35,Нержавеющая сталь 
,SLNJ-538S,L5,38,Нержавеющая сталь 
,SLNJ-540S,L5,40,Нержавеющая сталь 
,SLNJ-542S,L5,42,Нержавеющая сталь 
,SLNJ-644.5S,L6,44.5,Нержавеющая сталь 
,SLNJ-648.3S,L6,48.3,Нержавеющая сталь 
,SLNJ-650.8S,L6,50.8,Нержавеющая сталь 
,SLNJ-757.2S,L7,57.2,Нержавеющая сталь 
,SLNJ-760.3S,L7,60.3,Нержавеющая сталь 
,SLNJ-763.5S,L7,63.5,Нержавеющая сталь 
,SLNJ-770S,L7,70,Нержавеющая сталь 
,SLNJ-773S,L7,73,Нержавеющая сталь 
,SLNJ-776.1S,L7,76.1,Нержавеющая сталь 
,SLNJ-888.9S,L8,88.9,Нержавеющая сталь 
,SLNJ-8102S,L8,102,Нержавеющая сталь 
