#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLNE-006,L0,6,Углеродистая сталь 
,SLNE-006.4,L0,6.4,Углеродистая сталь 
,SLNE-008,L0,8,Углеродистая сталь 
,SLNE-009.5,L0,9.5,Углеродистая сталь 
,SLNE-010,L0,10,Углеродистая сталь 
,SLNE-012,L0,12,Углеродистая сталь 
,SLNE-006S,L0,6,Нержавеющая сталь 
,SLNE-006.4S,L0,6.4,Нержавеющая сталь 
,SLNE-008S,L0,8,Нержавеющая сталь 
,SLNE-009.5S,L0,9.5,Нержавеющая сталь 
,SLNE-010S,L0,10,Нержавеющая сталь 
,SLNE-012S,L0,12,Нержавеющая сталь 
