#;match;resource
;^KF\/;/assets/inventory/KF_left_cut.png
;^VCRMA\/;/assets/inventory/VCRMA_left_cut.png
;^VCOF\/;/assets/inventory/VCOF_left_cut.png
;^VCRMB\/;/assets/inventory/VCRMB_left_cut.png
;^W\/;/assets/inventory/W_left_cut.png
;^VCOM\/;/assets/inventory/VCOM_left_cut.png
;^LB\/;/assets/inventory/LB_left_cut.png
;^AIGA\/;/assets/inventory/AIGA_left_cut.png
;^RN\/;/assets/inventory/RN_left_cut.png
;^R\/;/assets/inventory/R_left_cut.png
;^S\/;/assets/inventory/S_left_cut.png
;^GC\/;/assets/inventory/GC_left_cut.png
;^LR\/;/assets/inventory/LR_left_cut.png
;^E\/;/assets/inventory/E_left_cut.png
;^SAE\/;/assets/inventory/SAE_left_cut.png
;^ISO5145\/;/assets/inventory/ISO5145_left_cut.png
;^F\/;/assets/inventory/F_left_cut.png
;^LT\/;/assets/inventory/LT_left_cut.png
;^C\/;/assets/inventory/C_left_cut.png
;^B\/;/assets/inventory/B_left_cut.png
;^AIGA\/;/assets/inventory/AIGA_left_cut.png
;^LV\/;/assets/inventory/LV_left_cut.png
;^K\/;/assets/inventory/K_left_cut.png
;^VCRF\/;/assets/inventory/VCRF_left_cut.png
;^I\/;/assets/inventory/I_left_cut.png
;^KV\/;/assets/inventory/KV_left_cut.png
;^EIGA\/;/assets/inventory/EIGA_left_cut.png
;^H\/;/assets/inventory/H_left_cut.png
;^M\/;/assets/inventory/M_left_cut.png
;^FRENCH\/;/assets/inventory/FRENCH_left_cut.png
;^L\/;/assets/inventory/L_left_cut.png
;^LY\/;/assets/inventory/LY_left_cut.png
;^N\/;/assets/inventory/N_left_cut.png
