#;match;resource
;^KF\/;/assets/inventory/KF_right_cut.png
;^VCRMA\/;/assets/inventory/VCRMA_right_cut.png
;^VCOF\/;/assets/inventory/VCOF_right_cut.png
;^VCRMB\/;/assets/inventory/VCRMB_right_cut.png
;^W\/;/assets/inventory/W_right_cut.png
;^VCOM\/;/assets/inventory/VCOM_right_cut.png
;^LB\/;/assets/inventory/LB_right_cut.png
;^AIGA\/;/assets/inventory/AIGA_right_cut.png
;^RN\/;/assets/inventory/RN_right_cut.png
;^R\/;/assets/inventory/R_right_cut.png
;^S\/;/assets/inventory/S_right_cut.png
;^GC\/;/assets/inventory/GC_right_cut.png
;^LR\/;/assets/inventory/LR_right_cut.png
;^E\/;/assets/inventory/E_right_cut.png
;^SAE\/;/assets/inventory/SAE_right_cut.png
;^ISO5145\/;/assets/inventory/ISO5145_right_cut.png
;^F\/;/assets/inventory/F_right_cut.png
;^LT\/;/assets/inventory/LT_right_cut.png
;^C\/;/assets/inventory/C_right_cut.png
;^B\/;/assets/inventory/B_right_cut.png
;^AIGA\/;/assets/inventory/AIGA_right_cut.png
;^LV\/;/assets/inventory/LV_right_cut.png
;^K\/;/assets/inventory/K_right_cut.png
;^VCRF\/;/assets/inventory/VCRF_right_cut.png
;^I\/;/assets/inventory/I_right_cut.png
;^KV\/;/assets/inventory/KV_right_cut.png
;^EIGA\/;/assets/inventory/EIGA_right_cut.png
;^H\/;/assets/inventory/H_right_cut.png
;^M\/;/assets/inventory/M_right_cut.png
;^FRENCH\/;/assets/inventory/FRENCH_right_cut.png
;^L\/;/assets/inventory/L_right_cut.png
;^LY\/;/assets/inventory/LY_right_cut.png
;^N\/;/assets/inventory/N_right_cut.png
