"pagetitle";"value"
DT110-B-A-2-M-S-S-1;92.5
DT110-B-A-2-M-S-S-2;107.5
DT110-B-A-2-M-S-S-3;167.5
DT110-B-A-2-F-S-S-1;92.5
DT110-B-A-2-F-S-S-2;107.5
DT110-B-A-2-F-S-S-3;167.5
DT110-B-A-4-M-S-S-1;92.5
DT110-B-A-4-M-S-S-2;107.5
DT110-B-A-4-M-S-S-3;167.5
DT110-B-A-4-F-S-S-1;92.5
DT110-B-A-4-F-S-S-2;107.5
DT110-B-A-4-F-S-S-3;167.5
DT110-B-A-6-M-S-S-1;92.5
DT110-B-A-6-M-S-S-2;107.5
DT110-B-A-6-M-S-S-3;167.5
DT110-B-A-6-F-S-S-1;92.5
DT110-B-A-6-F-S-S-2;107.5
DT110-B-A-6-F-S-S-3;167.5
DT110-B-A-M-M-S-S-1;92.5
DT110-B-A-M-M-S-S-2;107.5
DT110-B-A-M-M-S-S-3;167.5
DT110-B-A-M-F-S-S-1;92.5
DT110-B-A-M-F-S-S-2;107.5
DT110-B-A-M-F-S-S-3;167.5
DT110-B-B-2-M-S-S-1;105.0
DT110-B-B-2-M-S-S-2;120.0
DT110-B-B-2-M-S-S-3;180.0
DT110-B-B-2-F-S-S-1;105.0
DT110-B-B-2-F-S-S-2;120.0
DT110-B-B-2-F-S-S-3;180.0
DT110-B-B-4-M-S-S-1;105.0
DT110-B-B-4-M-S-S-2;120.0
DT110-B-B-4-M-S-S-3;180.0
DT110-B-B-4-F-S-S-1;105.0
DT110-B-B-4-F-S-S-2;120.0
DT110-B-B-4-F-S-S-3;180.0
DT110-B-B-6-M-S-S-1;105.0
DT110-B-B-6-M-S-S-2;120.0
DT110-B-B-6-M-S-S-3;180.0
DT110-B-B-6-F-S-S-1;105.0
DT110-B-B-6-F-S-S-2;120.0
DT110-B-B-6-F-S-S-3;180.0
DT110-B-B-M-M-S-S-1;105.0
DT110-B-B-M-M-S-S-2;120.0
DT110-B-B-M-M-S-S-3;180.0
DT110-B-B-M-F-S-S-1;105.0
DT110-B-B-M-F-S-S-2;120.0
DT110-B-B-M-F-S-S-3;180.0
DT110-B-C-2-M-S-S-1;122.5
DT110-B-C-2-M-S-S-2;137.5
DT110-B-C-2-M-S-S-3;197.5
DT110-B-C-2-F-S-S-1;122.5
DT110-B-C-2-F-S-S-2;137.5
DT110-B-C-2-F-S-S-3;197.5
DT110-B-C-4-M-S-S-1;122.5
DT110-B-C-4-M-S-S-2;137.5
DT110-B-C-4-M-S-S-3;197.5
DT110-B-C-4-F-S-S-1;122.5
DT110-B-C-4-F-S-S-2;137.5
DT110-B-C-4-F-S-S-3;197.5
DT110-B-C-6-M-S-S-1;122.5
DT110-B-C-6-M-S-S-2;137.5
DT110-B-C-6-M-S-S-3;197.5
DT110-B-C-6-F-S-S-1;122.5
DT110-B-C-6-F-S-S-2;137.5
DT110-B-C-6-F-S-S-3;197.5
DT110-B-C-M-M-S-S-1;122.5
DT110-B-C-M-M-S-S-2;137.5
DT110-B-C-M-M-S-S-3;197.5
DT110-B-C-M-F-S-S-1;122.5
DT110-B-C-M-F-S-S-2;137.5
DT110-B-C-M-F-S-S-3;197.5
DT110-D-A-2-M-S-S-1;92.5
DT110-D-A-2-M-S-S-2;107.5
DT110-D-A-2-M-S-S-3;167.5
DT110-D-A-2-F-S-S-1;92.5
DT110-D-A-2-F-S-S-2;107.5
DT110-D-A-2-F-S-S-3;167.5
DT110-D-A-4-M-S-S-1;92.5
DT110-D-A-4-M-S-S-2;107.5
DT110-D-A-4-M-S-S-3;167.5
DT110-D-A-4-F-S-S-1;92.5
DT110-D-A-4-F-S-S-2;107.5
DT110-D-A-4-F-S-S-3;167.5
DT110-D-A-6-M-S-S-1;92.5
DT110-D-A-6-M-S-S-2;107.5
DT110-D-A-6-M-S-S-3;167.5
DT110-D-A-6-F-S-S-1;92.5
DT110-D-A-6-F-S-S-2;107.5
DT110-D-A-6-F-S-S-3;167.5
DT110-D-A-M-M-S-S-1;92.5
DT110-D-A-M-M-S-S-2;107.5
DT110-D-A-M-M-S-S-3;167.5
DT110-D-A-M-F-S-S-1;92.5
DT110-D-A-M-F-S-S-2;107.5
DT110-D-A-M-F-S-S-3;167.5
DT110-D-B-2-M-S-S-1;105.0
DT110-D-B-2-M-S-S-2;120.0
DT110-D-B-2-M-S-S-3;180.0
DT110-D-B-2-F-S-S-1;105.0
DT110-D-B-2-F-S-S-2;120.0
DT110-D-B-2-F-S-S-3;180.0
DT110-D-B-4-M-S-S-1;105.0
DT110-D-B-4-M-S-S-2;120.0
DT110-D-B-4-M-S-S-3;180.0
DT110-D-B-4-F-S-S-1;105.0
DT110-D-B-4-F-S-S-2;120.0
DT110-D-B-4-F-S-S-3;180.0
DT110-D-B-6-M-S-S-1;105.0
DT110-D-B-6-M-S-S-2;120.0
DT110-D-B-6-M-S-S-3;180.0
DT110-D-B-6-F-S-S-1;105.0
DT110-D-B-6-F-S-S-2;120.0
DT110-D-B-6-F-S-S-3;180.0
DT110-D-B-M-M-S-S-1;105.0
DT110-D-B-M-M-S-S-2;120.0
DT110-D-B-M-M-S-S-3;180.0
DT110-D-B-M-F-S-S-1;105.0
DT110-D-B-M-F-S-S-2;120.0
DT110-D-B-M-F-S-S-3;180.0
DT110-D-C-2-M-S-S-1;122.5
DT110-D-C-2-M-S-S-2;137.5
DT110-D-C-2-M-S-S-3;197.5
DT110-D-C-2-F-S-S-1;122.5
DT110-D-C-2-F-S-S-2;137.5
DT110-D-C-2-F-S-S-3;197.5
DT110-D-C-4-M-S-S-1;122.5
DT110-D-C-4-M-S-S-2;137.5
DT110-D-C-4-M-S-S-3;197.5
DT110-D-C-4-F-S-S-1;122.5
DT110-D-C-4-F-S-S-2;137.5
DT110-D-C-4-F-S-S-3;197.5
DT110-D-C-6-M-S-S-1;122.5
DT110-D-C-6-M-S-S-2;137.5
DT110-D-C-6-M-S-S-3;197.5
DT110-D-C-6-F-S-S-1;122.5
DT110-D-C-6-F-S-S-2;137.5
DT110-D-C-6-F-S-S-3;197.5
DT110-D-C-M-M-S-S-1;122.5
DT110-D-C-M-M-S-S-2;137.5
DT110-D-C-M-M-S-S-3;197.5
DT110-D-C-M-F-S-S-1;122.5
DT110-D-C-M-F-S-S-2;137.5
DT110-D-C-M-F-S-S-3;197.5
DT110-F-A-2-M-S-S-1;92.5
DT110-F-A-2-M-S-S-2;107.5
DT110-F-A-2-M-S-S-3;167.5
DT110-F-A-2-F-S-S-1;92.5
DT110-F-A-2-F-S-S-2;107.5
DT110-F-A-2-F-S-S-3;167.5
DT110-F-A-4-M-S-S-1;92.5
DT110-F-A-4-M-S-S-2;107.5
DT110-F-A-4-M-S-S-3;167.5
DT110-F-A-4-F-S-S-1;92.5
DT110-F-A-4-F-S-S-2;107.5
DT110-F-A-4-F-S-S-3;167.5
DT110-F-A-6-M-S-S-1;92.5
DT110-F-A-6-M-S-S-2;107.5
DT110-F-A-6-M-S-S-3;167.5
DT110-F-A-6-F-S-S-1;92.5
DT110-F-A-6-F-S-S-2;107.5
DT110-F-A-6-F-S-S-3;167.5
DT110-F-A-M-M-S-S-1;92.5
DT110-F-A-M-M-S-S-2;107.5
DT110-F-A-M-M-S-S-3;167.5
