NV20VS04-O;0;0;$
NV20VS06-O;321.75;0;$
NV20VS09-O;414.15;0;$
NV20VS04-T;273.9;0;$
NV20VS06-T;293.7;0;$
NV20VS09-T;400.95;0;$
NV20VS04-S;227.7;10;$
NV20VS06-S;244.2;0;$
NV20VS09-S;321.75;3;$
NV20VS16-S;1905.75;0;$
NV20VS04-A;224.4;0;$
NV20VS06-A;252.45;10;$
NV20VS09-A;321.75;0;$
NV20VS04-O;293.7;0;$
NV20VS06-O;321.75;0;$
NV20VS09-O;414.15;0;$
NV20VS04-T;273.9;0;$
NV20VS06-T;293.7;0;$
NV20VS09-T;400.95;0;$
NV20VS04-S;227.7;10;$
NV20VS06-S;244.2;0;$
NV20VS09-S;321.75;3;$
NV20VS16-S;1905.75;0;$
NV20VS04-A;224.4;0;$
NV20VS06-A;252.45;10;$
NV20VS09-A;321.75;0;$
