pagetitle,value,count,currency
AR41E020.220/50,708.8,0,$
AR41E030.220/50,793.8,0,$
AR41E050.220/50,860.0,0,$
AR41E080.220/50,860.0,0,$
AR41E100.220/50,1008.0,0,$
AR41E160.220/50,1212.8,0,$
AR41E200.220/50,1323.0,0,$
AR41E250.220/50,1449.0,0,$
AR41E300.220/50,1496.3,0,$
AR41E020.24/DC,771.8,0,$
AR41E030.24/DC,856.8,0,$
AR41E050.24/DC,923.0,0,$
AR41E080.24/DC,923.0,0,$
AR41E100.24/DC,1071.0,0,$
AR41E160.24/DC,1275.8,0,$
AR41E200.24/DC,1386.0,0,$
AR41E250.24/DC,1512.0,0,$
AR41E300.24/DC,1559.3,0,$
AR41E020.LT.220/50,740.3,0,$
AR41E030.LT.220/50,825.3,0,$
AR41E050.LT.220/50,891.5,0,$
AR41E080.LT.220/50,891.5,0,$
AR41E100.LT.220/50,1039.5,0,$
AR41E160.LT.220/50,1244.3,0,$
AR41E200.LT.220/50,1354.5,0,$
AR41E250.LT.220/50,1480.5,0,$
AR41E300.LT.220/50,1527.8,0,$
AR41E020.LT.24/DC,803.3,0,$
AR41E030.LT.24/DC,888.3,0,$
AR41E050.LT.24/DC,954.5,0,$
AR41E080.LT.24/DC,954.5,0,$
AR41E100.LT.24/DC,1102.5,0,$
AR41E160.LT.24/DC,1307.3,0,$
AR41E200.LT.24/DC,1417.5,0,$
AR41E250.LT.24/DC,1543.5,0,$
AR41E300.LT.24/DC,1590.8,0,$
AR41E020.EX.LT.220/50,897.8,0,$
AR41E030.EX.LT.220/50,982.8,0,$
AR41E050.EX.LT.220/50,1049.0,0,$
AR41E080.EX.LT.220/50,1049.0,0,$
AR41E100.EX.LT.220/50,1197.0,0,$
AR41E160.EX.LT.220/50,1401.8,0,$
AR41E200.EX.LT.220/50,1512.0,0,$
AR41E250.EX.LT.220/50,1638.0,0,$
AR41E300.EX.LT.220/50,1685.3,0,$
AR41E020.EX.LT.24/DC,960.8,0,$
AR41E030.EX.LT.24/DC,1045.8,0,$
AR41E050.EX.LT.24/DC,1112.0,0,$
AR41E080.EX.LT.24/DC,1112.0,0,$
AR41E100.EX.LT.24/DC,1260.0,0,$
AR41E160.EX.LT.24/DC,1464.8,0,$
AR41E200.EX.LT.24/DC,1575.0,0,$
AR41E250.EX.LT.24/DC,1701.0,0,$
AR41E300.EX.LT.24/DC,1748.3,0,$
AR41E020.POSI.LT.220/50,1275.8,0,$
AR41E030.POSI.LT.220/50,1360.8,0,$
AR41E050.POSI.LT.220/50,1427.0,0,$
AR41E080.POSI.LT.220/50,1427.0,0,$
AR41E100.POSI.LT.220/50,1575.0,0,$
AR41E160.POSI.LT.220/50,1779.8,0,$
AR41E200.POSI.LT.220/50,1890.0,0,$
AR41E250.POSI.LT.220/50,2016.0,0,$
AR41E300.POSI.LT.220/50,2063.3,0,$
AR41E020.POSI.LT.24/DC,1338.8,0,$
AR41E030.POSI.LT.24/DC,1423.8,0,$
AR41E050.POSI.LT.24/DC,1490.0,0,$
AR41E080.POSI.LT.24/DC,1490.0,0,$
AR41E100.POSI.LT.24/DC,1638.0,0,$
AR41E160.POSI.LT.24/DC,1842.8,0,$
AR41E200.POSI.LT.24/DC,1953.0,0,$
AR41E250.POSI.LT.24/DC,2079.0,0,$
AR41E300.POSI.LT.24/DC,2126.3,0,$
AR41E020.POSI.EX.LT.220/50,1433.3,0,$
AR41E030.POSI.EX.LT.220/50,1518.3,0,$
AR41E050.POSI.EX.LT.220/50,1584.5,0,$
AR41E080.POSI.EX.LT.220/50,1584.5,0,$
AR41E100.POSI.EX.LT.220/50,1732.5,0,$
AR41E160.POSI.EX.LT.220/50,1937.3,0,$
AR41E200.POSI.EX.LT.220/50,2047.5,0,$
AR41E250.POSI.EX.LT.220/50,2173.5,0,$
AR41E300.POSI.EX.LT.220/50,2220.8,0,$
AR41E020.POSI.EX.LT.24/DC,1496.3,0,$
AR41E030.POSI.EX.LT.24/DC,1581.3,0,$
AR41E050.POSI.EX.LT.24/DC,1647.5,0,$
AR41E080.POSI.EX.LT.24/DC,1647.5,0,$
AR41E100.POSI.EX.LT.24/DC,1795.5,0,$
AR41E160.POSI.EX.LT.24/DC,2000.3,0,$
AR41E200.POSI.EX.LT.24/DC,2110.5,0,$
AR41E250.POSI.EX.LT.24/DC,2236.5,0,$
AR41E300.POSI.EX.LT.24/DC,2283.8,0,$
AR41E020.INT.D.220/50,1622.3,0,$
AR41E030.INT.D.220/50,1707.3,0,$
AR41E050.INT.D.220/50,1773.5,0,$
AR41E080.INT.D.220/50,1773.5,0,$
AR41E100.INT.D.220/50,1921.5,0,$
AR41E160.INT.D.220/50,2126.3,0,$
AR41E200.INT.D.220/50,2236.5,0,$
AR41E250.INT.D.220/50,2362.5,0,$
AR41E300.INT.D.220/50,2409.8,0,$
AR41E020.INT.D.24/DC,1685.3,0,$
AR41E030.INT.D.24/DC,1770.3,0,$
AR41E050.INT.D.24/DC,1836.5,0,$
AR41E080.INT.D.24/DC,1836.5,0,$
AR41E100.INT.D.24/DC,1984.5,0,$
AR41E160.INT.D.24/DC,2189.3,0,$
AR41E200.INT.D.24/DC,2299.5,0,$
AR41E250.INT.D.24/DC,2425.5,0,$
AR41E300.INT.D.24/DC,2472.8,0,$
AR41E020.INT.E.220/50,1685.3,0,$
AR41E030.INT.E.220/50,1770.3,0,$
AR41E050.INT.E.220/50,1836.5,0,$
AR41E080.INT.E.220/50,1836.5,0,$
AR41E100.INT.E.220/50,1984.5,0,$
AR41E160.INT.E.220/50,2189.3,0,$
AR41E200.INT.E.220/50,2299.5,0,$
AR41E250.INT.E.220/50,2425.5,0,$
AR41E300.INT.E.220/50,2472.8,0,$
AR41E020.INT.E.24/DC,1748.3,0,$
AR41E030.INT.E.24/DC,1833.3,0,$
AR41E050.INT.E.24/DC,1899.5,0,$
AR41E080.INT.E.24/DC,1899.5,0,$
AR41E100.INT.E.24/DC,2047.5,0,$
AR41E160.INT.E.24/DC,2252.3,0,$
AR41E200.INT.E.24/DC,2362.5,0,$
AR41E250.INT.E.24/DC,2488.5,0,$
AR41E300.INT.E.24/DC,2535.8,0,$
AR41E020.INT.F.220/50,2299.5,0,$
AR41E030.INT.F.220/50,2384.6,0,$
AR41E050.INT.F.220/50,2450.7,0,$
AR41E080.INT.F.220/50,2450.7,0,$
AR41E100.INT.F.220/50,2598.8,0,$
AR41E160.INT.F.220/50,2803.5,0,$
AR41E200.INT.F.220/50,2913.8,0,$
AR41E250.INT.F.220/50,3039.8,0,$
AR41E300.INT.F.220/50,3087.0,0,$
AR41E020.INT.F.24/DC,2362.5,0,$
AR41E030.INT.F.24/DC,2447.6,0,$
AR41E050.INT.F.24/DC,2513.7,0,$
AR41E080.INT.F.24/DC,2513.7,0,$
AR41E100.INT.F.24/DC,2661.8,0,$
AR41E160.INT.F.24/DC,2866.5,0,$
AR41E200.INT.F.24/DC,2976.8,0,$
AR41E250.INT.F.24/DC,3102.8,0,$
AR41E300.INT.F.24/DC,3150.0,0,$
AR41E020.INT.G.220/50,2299.5,0,$
AR41E030.INT.G.220/50,2384.6,0,$
AR41E050.INT.G.220/50,2450.7,0,$
AR41E080.INT.G.220/50,2450.7,0,$
AR41E100.INT.G.220/50,2598.8,0,$
AR41E160.INT.G.220/50,2803.5,0,$
AR41E200.INT.G.220/50,2913.8,0,$
AR41E250.INT.G.220/50,3039.8,0,$
AR41E300.INT.G.220/50,3087.0,0,$
AR41E020.INT.G.24/DC,2362.5,0,$
AR41E030.INT.G.24/DC,2447.6,0,$
AR41E050.INT.G.24/DC,2513.7,0,$
AR41E080.INT.G.24/DC,2513.7,0,$
AR41E100.INT.G.24/DC,2661.8,0,$
AR41E160.INT.G.24/DC,2866.5,0,$
AR41E200.INT.G.24/DC,2976.8,0,$
AR41E250.INT.G.24/DC,3102.8,0,$
AR41E300.INT.G.24/DC,3150.0,0,$
