pagetitle,15;16;25;62;86;87;88;6;19
"OF100-MS-M1-A-0-1-IP-5-O-S(15-70)";"";"NPT 1/4";"15-70 л/ч";"Масло";"Один микровыключатель";"сверху вниз";"M1";;;
"OF100-MS-M1-A-0-1-IP-5-L-S(15-70)";"";"NPT 1/4";"15-70 л/ч";"Жидкость";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-0-1-IP-5-O-S(15-70)";"";"NPT 1/4";"15-70 л/ч";"Масло";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-0-1-IP-5-L-S(15-70)";"";"NPT 1/4";"15-70 л/ч";"Жидкость";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-0-1-IP-5-O-S(18-80)";"";"NPT 1/4";"18-80 л/ч";"Масло";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-0-1-IP-5-L-S(18-80)";"";"NPT 1/4";"18-80 л/ч";"Жидкость";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-0-1-IP-5-O-S(18-80)";"";"NPT 1/4";"18-80 л/ч";"Масло";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-0-1-IP-5-L-S(18-80)";"";"NPT 1/4";"18-80 л/ч";"Жидкость";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-0-1-IP-5-O-S(20-100)";"";"NPT 1/4";"20-100 л/ч";"Масло";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-0-1-IP-5-L-S(20-100)";"";"NPT 1/4";"20-100 л/ч";"Жидкость";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-0-1-IP-5-O-S(20-100)";"";"NPT 1/4";"20-100 л/ч";"Масло";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-0-1-IP-5-L-S(20-100)";"";"NPT 1/4";"20-100 л/ч";"Жидкость";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-0-1-IP-5-O-S(25-125)";"";"NPT 1/4";"25-125 л/ч";"Масло";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-0-1-IP-5-L-S(25-125)";"";"NPT 1/4";"25-125 л/ч";"Жидкость";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-0-1-IP-5-O-S(25-125)";"";"NPT 1/4";"25-125 л/ч";"Масло";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-0-1-IP-5-L-S(25-125)";"";"NPT 1/4";"25-125 л/ч";"Жидкость";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-0-1-IP-5-O-S(30-150)";"";"NPT 1/4";"30-150 л/ч";"Масло";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-0-1-IP-5-L-S(30-150)";"";"NPT 1/4";"30-150 л/ч";"Жидкость";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-0-1-IP-5-O-S(30-150)";"";"NPT 1/4";"30-150 л/ч";"Масло";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-0-1-IP-5-L-S(30-150)";"";"NPT 1/4";"30-150 л/ч";"Жидкость";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-15-2-IP-5-O-S(40-210)";"";"ANSI 150# 1/2";"40-210 л/ч";"Масло";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-15-2-IP-5-L-S(40-210)";"";"ANSI 150# 1/2";"40-210 л/ч";"Жидкость";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-15-2-IP-5-O-S(40-210)";"";"ANSI 150# 1/2";"40-210 л/ч";"Масло";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-15-2-IP-5-L-S(40-210)";"";"ANSI 150# 1/2";"40-210 л/ч";"Жидкость";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-30-2-IP-5-O-S(40-210)";"";"ANSI 300# 1/2";"40-210 л/ч";"Масло";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-30-2-IP-5-L-S(40-210)";"";"ANSI 300# 1/2";"40-210 л/ч";"Жидкость";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-30-2-IP-5-O-S(40-210)";"";"ANSI 300# 1/2";"40-210 л/ч";"Масло";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-30-2-IP-5-L-S(40-210)";"";"ANSI 300# 1/2";"40-210 л/ч";"Жидкость";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-60-2-IP-5-O-S(40-210)";"";"ANSI 600# 1/2";"40-210 л/ч";"Масло";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-60-2-IP-5-L-S(40-210)";"";"ANSI 600# 1/2";"40-210 л/ч";"Жидкость";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-60-2-IP-5-O-S(40-210)";"";"ANSI 600# 1/2";"40-210 л/ч";"Масло";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-60-2-IP-5-L-S(40-210)";"";"ANSI 600# 1/2";"40-210 л/ч";"Жидкость";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-0-2-IP-5-O-S(40-210)";"";"NPT 1/2";"40-210 л/ч";"Масло";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-0-2-IP-5-L-S(40-210)";"";"NPT 1/2";"40-210 л/ч";"Жидкость";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-0-2-IP-5-O-S(40-210)";"";"NPT 1/2";"40-210 л/ч";"Масло";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-0-2-IP-5-L-S(40-210)";"";"NPT 1/2";"40-210 л/ч";"Жидкость";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-G10-2-IP-5-O-S(40-210)";"";"Гост Py10 Dy15";"40-210 л/ч";"Масло";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-G10-2-IP-5-L-S(40-210)";"";"Гост Py10 Dy15";"40-210 л/ч";"Жидкость";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-G10-2-IP-5-O-S(40-210)";"";"Гост Py10 Dy15";"40-210 л/ч";"Масло";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M2-A-G10-2-IP-5-L-S(40-210)";"";"Гост Py10 Dy15";"40-210 л/ч";"Жидкость";"Два микровыключателя";"сверху вниз";"M2";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
"OF100-MS-M1-A-G16-2-IP-5-O-S(40-210)";"";"Гост Py16 Dy15";"40-210 л/ч";"Масло";"Один микровыключатель";"сверху вниз";"M1";"products/flow-control/float-flow-meter-arrow/MS-HL.png";;
