pagetitle,6;15;16;17;18;19;25;38;71;88;89;91;93;95;96;108;123;126;127
"HB1-H-3M";"assets/images/102_H_s100.jpg";"";"Hy-Lok 3мм";"414";"0,18";"";"2,2";"VH86A-D-3M";"от -54&#176;C<br> до +148&#176;C";"PCTFE";"{18:0,18,25:2,2}";"SS-6R3A5-EP-D";"Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>";"<div class=elemento info mat=PCTFE>PCTFE</div>";"Hy-Lok 3мм";"SS316::Корпус|1|1//SS316::Штуцера|1|2//SS316::Шар|1|3//SS316::Фиксатор седла|1|4//PCTFE::Седло шара|1|5//PTFE::Прокладка фиксатора|1|6//SS316::Шток|1|7//SS316::Гайка сальника|0|8//SS316::Гайка крепления на панель|0|9//SS316::Шайба сальника|1|10//PTFE::Сальник|1|11//PTFE::Уплотнение штуцера|1|12//Нейлон::Рукоятка|0|13";"3-B2L-SSP";"3-B2L-SSP";"H6800SSL3 MMPSS";
"HB1-H-3M-P";"assets/images/102_H_s100.jpg";"";"Hy-Lok 3мм";"103";"0,18";"";"2,2";"VH86A-D-3M-P";"от -54&#176;C<br> до +148&#176;C";"PTFE";"{18:0,18,25:2,2}";"SS-4R3A5-EP-D";"Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>";"<div class=elemento info mat=PTFE>PTFE</div>";"Hy-Lok 3мм";"SS316::Корпус|1|1//SS316::Штуцера|1|2//SS316::Шар|1|3//SS316::Фиксатор седла|1|4//PTFE::Седло шара|1|5//PTFE::Прокладка фиксатора|1|6//SS316::Шток|1|7//SS316::Гайка сальника|0|8//SS316::Гайка крепления на панель|0|9//SS316::Шайба сальника|1|10//PTFE::Сальник|1|11//PTFE::Уплотнение штуцера|1|12//Нейлон::Рукоятка|0|13";"3-B2LJ-SSP";"3-B2LJ-SSP";"H6800SSL3 MMPSS";
"HB1-H-3M-PK";"assets/images/102_H_s100.jpg";"";"Hy-Lok 3мм";"414";"0,18";"";"2,2";"VH86A-D-3M-PK";"от -54&#176;C<br> до +232&#176;C";"PEEK";"{18:0,18,25:2,2}";"SS-8R3A1-12-MM-EP-D";"Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>";"<div class=elemento info mat=PEEK>PEEK</div>";"Hy-Lok 3мм";"SS316::Корпус|1|1//SS316::Штуцера|1|2//SS316::Шар|1|3//SS316::Фиксатор седла|1|4//PEEK::Седло шара|1|5//PTFE::Прокладка фиксатора|1|6//SS316::Шток|1|7//SS316::Гайка сальника|0|8//SS316::Гайка крепления на панель|0|9//SS316::Шайба сальника|1|10//PTFE::Сальник|1|11//PTFE::Уплотнение штуцера|1|12//Нейлон::Рукоятка|0|13";"3-B2LPKR-SSP";"3-B2LPKR-SSP";"H6800SSL3 MMASS";
"HB1-H-6M";"assets/images/102_H_s100.jpg";"";"Hy-Lok 6мм";"414";"0,63";"";"4,2";"VH86A-D-6M";"от -54&#176;C<br> до +148&#176;C";"PCTFE";"{18:0,63,25:4,2}";"SS-8R3A1-8-EP-D";"Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>";"<div class=elemento info mat=PCTFE>PCTFE</div>";"Hy-Lok 6мм";"SS316::Корпус|1|1//SS316::Штуцера|1|2//SS316::Шар|1|3//SS316::Фиксатор седла|1|4//PCTFE::Седло шара|1|5//PTFE::Прокладка фиксатора|1|6//SS316::Шток|1|7//SS316::Гайка сальника|0|8//SS316::Гайка крепления на панель|0|9//SS316::Шайба сальника|1|10//PTFE::Сальник|1|11//PTFE::Уплотнение штуцера|1|12//Нейлон::Рукоятка|0|13";"6-B2L-SSP";"6-B2L-SSP";"H6800SSL6 MMPSS";
"HB1-H-6M-P";"assets/images/102_H_s100.jpg";"";"Hy-Lok 6мм";"103";"0,63";"";"4,2";"VH86A-D-6M-P";"от -54&#176;C<br> до +148&#176;C";"PTFE";"{18:0,63,25:4,2}";"SS-8R3A-EP-D";"Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>";"<div class=elemento info mat=PTFE>PTFE</div>";"Hy-Lok 6мм";"SS316::Корпус|1|1//SS316::Штуцера|1|2//SS316::Шар|1|3//SS316::Фиксатор седла|1|4//PTFE::Седло шара|1|5//PTFE::Прокладка фиксатора|1|6//SS316::Шток|1|7//SS316::Гайка сальника|0|8//SS316::Гайка крепления на панель|0|9//SS316::Шайба сальника|1|10//PTFE::Сальник|1|11//PTFE::Уплотнение штуцера|1|12//Нейлон::Рукоятка|0|13";"6-B2LJ-SSP";"6-B2LJ-SSP";"H6800SSL6 MMPSS";
"HB1-H-6M-PK";"assets/images/102_H_s100.jpg";"";"Hy-Lok 6мм";"414";"0,63";"";"4,2";"VH86A-D-6M-PK";"от -54&#176;C<br> до +232&#176;C";"PEEK";"{18:0,63,25:4,2}";"SS-4R3A-EP-D";"Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>";"<div class=elemento info mat=PEEK>PEEK</div>";"Hy-Lok 6мм";"SS316::Корпус|1|1//SS316::Штуцера|1|2//SS316::Шар|1|3//SS316::Фиксатор седла|1|4//PEEK::Седло шара|1|5//PTFE::Прокладка фиксатора|1|6//SS316::Шток|1|7//SS316::Гайка сальника|0|8//SS316::Гайка крепления на панель|0|9//SS316::Шайба сальника|1|10//PTFE::Сальник|1|11//PTFE::Уплотнение штуцера|1|12//Нейлон::Рукоятка|0|13";"6-B2LPKR-SSP";"6-B2LPKR-SSP";"H6800SSL6 MMASS";
"HB2-H-8M";"assets/images/102_H_s100.jpg";"";"Hy-Lok 8мм";"414";"2,34";;"6,4";"VH86A-D-8M";"от -54&#176;C<br> до +148&#176;C";"PCTFE";"{18:2,34,25:6,4}";"SS-12R3A-MM-EP-D";"Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>";"<div class=elemento info mat=PCTFE>PCTFE</div>";"Hy-Lok 8мм";"SS316::Корпус|1|1//SS316::Штуцера|1|2//SS316::Шар|1|3//SS316::Фиксатор седла|1|4//PCTFE::Седло шара|1|5//PTFE::Прокладка фиксатора|1|6//SS316::Шток|1|7//SS316::Гайка сальника|0|8//SS316::Гайка крепления на панель|0|9//SS316::Шайба сальника|1|10//PTFE::Сальник|1|11//PTFE::Уплотнение штуцера|1|12//Нейлон::Рукоятка|0|13";"8-B6L-SSP";"8-B6L-SSP";"H6800SSL8 MMPSS";
"HB2-H-8M-P";"assets/images/102_H_s100.jpg";"";"Hy-Lok 8мм";"103";"2,34";"";"6,4";"VH86A-D-8M-P";"от -54&#176;C<br> до +148&#176;C";"PTFE";"{18:2,34,25:6,4}";"SS-10R3A-MM-EP-D";"Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>";"<div class=elemento info mat=PTFE>PTFE</div>";"Hy-Lok 8мм";"SS316::Корпус|1|1//SS316::Штуцера|1|2//SS316::Шар|1|3//SS316::Фиксатор седла|1|4//PTFE::Седло шара|1|5//PTFE::Прокладка фиксатора|1|6//SS316::Шток|1|7//SS316::Гайка сальника|0|8//SS316::Гайка крепления на панель|0|9//SS316::Шайба сальника|1|10//PTFE::Сальник|1|11//PTFE::Уплотнение штуцера|1|12//Нейлон::Рукоятка|0|13";;;;
"HB2-H-8M-PK";"assets/images/102_H_s100.jpg";"";"Hy-Lok 8мм";"414";"2,34";"";"6,4";"VH86A-D-8M-PK";"от -54&#176;C<br> до +232&#176;C";"PEEK";"{18:2,34,25:6,4}";"SS-8R3A-MM-EP-D";"Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>";"<div class=elemento info mat=PEEK>PEEK</div>";"Hy-Lok 8мм";"SS316::Корпус|1|1//SS316::Штуцера|1|2//SS316::Шар|1|3//SS316::Фиксатор седла|1|4//PEEK::Седло шара|1|5//PTFE::Прокладка фиксатора|1|6//SS316::Шток|1|7//SS316::Гайка сальника|0|8//SS316::Гайка крепления на панель|0|9//SS316::Шайба сальника|1|10//PTFE::Сальник|1|11//PTFE::Уплотнение штуцера|1|12//Нейлон::Рукоятка|0|13";;;;
"HB2-H-10M";"assets/images/102_H_s100.jpg";"";"Hy-Lok 10мм";"414";"2,34";"";"6,4";"VH86B-D-10M";"от -54&#176;C<br> до +148&#176;C";"PCTFE";"{18:2,34,25:6,4}";"SS-6R3A-MM-EP-D";"Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>";"<div class=elemento info mat=PCTFE>PCTFE</div>";"Hy-Lok 10мм";"SS316::Корпус|1|1//SS316::Штуцера|1|2//SS316::Шар|1|3//SS316::Фиксатор седла|1|4//PCTFE::Седло шара|1|5//PTFE::Прокладка фиксатора|1|6//SS316::Шток|1|7//SS316::Гайка сальника|0|8//SS316::Гайка крепления на панель|0|9//SS316::Шайба сальника|1|10//PTFE::Сальник|1|11//PTFE::Уплотнение штуцера|1|12//Нейлон::Рукоятка|0|13";"10-B6L-SSP";"10-B6L-SSP";"H6800SSL10 MMPSS";
