pagetitle,15;16;17;18;19;58;60;82;93;94;95;96;102;118;119;123;126;127;6
"072S-0025L-1S";"";"NPT 1/4";"0.1-1.7 бар";"0.06";"";"dol";"S";"нерж. сталь 316L";"нет";"Мембрана";"нет";"без";"072*-0025L-1S";"44-2260-241";"44-5260-241";"IR4000SK3PX4B";"IR4000SK3PX4B";"HRG5SL-D1FG1S-PP";;
"072B-0025L-1S";"";"NPT 1/4";"0.1-1.7 бар";"0.06";"";"dol";"B";"никел. латунь";"нет";"Мембрана";"нет";"без";"072*-0025L-1S";"44-2210-241";"44-5210-241";"IR4200SK3PXX4B";"IR4200SK3PXX4B";"HRG5SL-D1FG1C-PP";"assets/images/1Man100x100.jpg";
"072B-0025L-1S-5";"";"NPT 1/4";"0.1-1.7 бар";"0.06";"";;"B";"никел. латунь";"нет";"Мембрана";"нет";"5-35 бар";"072*-0025L-1S-5";;;"IR4200SK3PX4B";"IR4200SK3PX4B";"HRG5SL-P1FG1C-PP";"assets/images/1Man100x100.jpg";
"072B-0025L-1S-5-GAUGE";"";"NPT 1/4";"0.1-1.7 бар";"0.06";"";;"B";"никел. латунь";"нет";"Мембрана";"да";"5-35 бар";"072*-0025L-1S-5-GAUGE";;;"IR4200SK3PY4B";"IR4200SK3PY4B";"HRG5SL-P1FG1C-PP";"assets/images/ports/L-gauge.jpg";
"072B-0025L-1S-5-V";"";"NPT 1/4";"0.1-1.7 бар";"0.06";;;"B";"никел. латунь";"да";"Мембрана";"нет";"5-35 бар";"072*-0025L-1S-5-V";;;;;"HRG5SL-P1FG1C-PP";"assets/images/1Man100x100.jpg";
"072B-0025L-1S-V";"";"NPT 1/4";"0.1-1.7 бар";"0.06";;;"B";"никел. латунь";"да";"Мембрана";"нет";"без";"072*-0025L-1S-V";"44-5210-241V";;;;"HRG5SL-D1FG1C-PP";"assets/images/1Man100x100.jpg";
"072B-0025L-1S-V-GAUGE";"";"NPT 1/4";"0.1-1.7 бар";"0.06";;;"B";"никел. латунь";"нет";"Мембрана";"да";"без";"072*-0025L-1S-V-GAUGE";"44-5210-241V";;;;"HRG5SL-D1FG1C-PP";"assets/images/ports/L-gauge.jpg";
"072S-0025L-1S-5";"";"NPT 1/4";"0.1-1.7 бар";"0.06";"";;"S";"нерж. сталь 316L";"нет";"Мембрана";"нет";"5-35 бар";"072*-0025L-1S-5";;;"IR4000SK3PX4B";"IR4000SK3PX4B";"HRG5SL-P1FG1S-PP";"assets/images/1Man100x100.jpg";
"072S-0025L-1S-5-GAUGE";"";"NPT 1/4";"0.1-1.7 бар";"0.06";"";;"S";"нерж. сталь 316L";"нет";"Мембрана";"да";"5-35 бар";"072*-0025L-1S-5-GAUGE";;;"IR4000SK3PY4B";"IR4000SK3PY4B";"HRG5SL-P1FG1S-PP";"assets/images/ports/L-gauge.jpg";
"072S-0025L-1S-5-H1";"";"NPT 1/4";"0.1-1.7 бар";"0.06";;;"S";"нерж. сталь 316L";"нет";"Мембрана";"нет";"5-35 бар";"072*-0025L-1S-5-H1";;;"IR4000SK3PX4B";"IR4000SK3PX4B";"HRG5SL-P1FG1S-PP";"assets/images/1Man100x100.jpg";
"072S-0025L-1S-5-V";"";"NPT 1/4";"0.1-1.7 бар";"0.06";;;"S";"нерж. сталь 316L";"да";"Мембрана";"нет";"5-35 бар";"072*-0025L-1S-5-V";;;;;"HRG5SL-P1FG1S-PP";"assets/images/1Man100x100.jpg";
"072S-0025L-1S-5-V-GAUGE";"";"NPT 1/4";"0.1-1.7 бар";"0.06";;;"S";"нерж. сталь 316L";"нет";"Мембрана";"да";"5-35 бар";"072*-0025L-1S-5-V-GAUGE";;;;;"HRG5SL-P1FG1S-PP";"assets/images/ports/L-gauge.jpg";
"072S-0025L-1S-H1-GAUGE";"";"NPT 1/4";"0.1-1.7 бар";"0.06";"";;"S";"нерж. сталь 316L";"нет";"Мембрана";"да";"без";"072*-0025L-1S-H1-GAUGE";"44-5260-241-H1";;"IR4000SK3PY4B";"IR4000SK3PY4B";"HRG5SL-D1FG1S-PP";"assets/images/ports/L-gauge.jpg";
"072S-0025L-1S-V";"";"NPT 1/4";"0.1-1.7 бар";"0.06";;;"S";"нерж. сталь 316L";"да";"Мембрана";"нет";"без";"072*-0025L-1S-V";"44-5260-241V";;;;"HRG5SL-D1FG1S-PP";"assets/images/1Man100x100.jpg";
"072S-0025L-1S-V-GAUGE";"";"NPT 1/4";"0.1-1.7 бар";"0.06";;;"S";"нерж. сталь 316L";"нет";"Мембрана";"да";"без";"072*-0025L-1S-V-GAUGE";"44-5260-241V";;;;"HRG5SL-D1FG1S-PP";"assets/images/ports/L-gauge.jpg";
"072S-0050L-1S";"";"NPT 1/4";"0.1-3.5 бар";"0.06";"";"dol";"S";"нерж. сталь 316L";"нет";"Мембрана";"нет";"без";"072*-0050L-1S";"44-2261-241";"44-5261-241";"IR4001SK3PX4B";"IR4001SK3PX4B";"HRG5SL-D1FG1S-PP";"assets/images/1Man100x100.jpg";
