pagetitle,15;16;17;19;25;6
"AR01E003.220/50";"";"30 Нм ";"220/50";"";"привод   вкл/выкл";;
"AR01E005.220/50";"";"50 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E008.220/50";"";"80 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E010.220/50";"";"100 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E015.220/50";"";"150 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E020.220/50";"";"200 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E030.220/50";"";"300 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E040.220/50";"";"400 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E060.220/50";"";"600 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E080.220/50";"";"800 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E100.220/50";"";"1000 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E160.220/50";"";"1600 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E200.220/50";"";"2000 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E300.220/50";"";"3000 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E400.220/50";"";"4000 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E500.220/50";"";"5000 Нм ";"220/50";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E003.24/DC";"";"30 Нм ";"24/DC";"";"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E005.24/DC";"";"50 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E008.24/DC";"";"80 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E010.24/DC";"";"100 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E015.24/DC";"";"150 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E020.24/DC";"";"200 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E030.24/DC";"";"300 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E040.24/DC";"";"400 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E060.24/DC";"";"600 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E080.24/DC";"";"800 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E100.24/DC";"";"1000 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E160.24/DC";"";"1600 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E200.24/DC";"";"2000 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E300.24/DC";"";"3000 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E400.24/DC";"";"4000 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E500.24/DC";"";"5000 Нм ";"24/DC";;"привод   вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E003.LT.220/50";"";"30 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E005.LT.220/50";"";"50 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E008.LT.220/50";"";"80 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E010.LT.220/50";"";"100 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E015.LT.220/50";"";"150 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E020.LT.220/50";"";"200 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E030.LT.220/50";"";"300 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E040.LT.220/50";"";"400 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E060.LT.220/50";"";"600 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E080.LT.220/50";"";"800 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E100.LT.220/50";"";"1000 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E160.LT.220/50";"";"1600 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E200.LT.220/50";"";"2000 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E300.LT.220/50";"";"3000 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
"AR01E400.LT.220/50";"";"4000 Нм ";"220/50";;"привод -40°C  вкл/выкл";"products/valves/zatvor/AR01E.png";
