pagetitle,16;18;60;62;77;82;84;85;86;87;88;15;19
"NP-Type-NPS-1-3-1-1-1-1-1-L-0";"ANSI 150# 3/8";"0,1-1 л/мин";"SS304";"Вода";"SS304/SS304/SS304/NBR/Стекло";"SS304";"NBR";"SS304";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - SS304, Уплотнение - NBR, Панель индикации - Боросиликатное стекло";"Боросиликатное стекло";"Нет";;;
"NP-Type-NPS-1-3-1-1-1-1-1-L-1R";"ANSI 150# 3/8";"0,1-1 л/мин";"SS304";"Вода";"SS304/SS304/SS304/NBR/Стекло";"SS304";"NBR";"SS304";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - SS304, Уплотнение - NBR, Панель индикации - Боросиликатное стекло";"Боросиликатное стекло";"Один";"";;
"NP-Type-NPS-1-3-1-1-1-1-1-L-2R";"ANSI 150# 3/8";"0,1-1 л/мин";"SS304";"Вода";"SS304/SS304/SS304/NBR/Стекло";"SS304";"NBR";"SS304";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - SS304, Уплотнение - NBR, Панель индикации - Боросиликатное стекло";"Боросиликатное стекло";"Два";"";;
"NP-Type-NPS-1-3-1-1-1-2-1-L-0";"ANSI 150# 3/8";"0,1-1 л/мин";"SS304";"Вода";"SS304/SS304/SS304/Витон/Стекло";"SS304";"Витон";"SS304";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - SS304, Уплотнение - Витон, Панель индикации - Боросиликатное стекло";"Боросиликатное стекло";"Нет";"";;
"NP-Type-NPS-1-3-1-1-1-2-1-L-1R";"ANSI 150# 3/8";"0,1-1 л/мин";"SS304";"Вода";"SS304/SS304/SS304/Витон/Стекло";"SS304";"Витон";"SS304";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - SS304, Уплотнение - Витон, Панель индикации - Боросиликатное стекло";"Боросиликатное стекло";"Один";"";;
"NP-Type-NPS-1-3-1-1-1-2-1-L-2R";"ANSI 150# 3/8";"0,1-1 л/мин";"SS304";"Вода";"SS304/SS304/SS304/Витон/Стекло";"SS304";"Витон";"SS304";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - SS304, Уплотнение - Витон, Панель индикации - Боросиликатное стекло";"Боросиликатное стекло";"Два";"";;
"NP-Type-NPS-1-3-1-1-2-1-1-L-0";"ANSI 150# 3/8";"0,1-1 л/мин";"SS316";"Вода";"SS304/SS304/SS316/NBR/Стекло";"SS304";"NBR";"SS304";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - SS316, Уплотнение - NBR, Панель индикации - Боросиликатное стекло";"Боросиликатное стекло";"Нет";"";;
"NP-Type-NPS-1-3-1-1-2-1-1-L-1R";"ANSI 150# 3/8";"0,1-1 л/мин";"SS316";"Вода";"SS304/SS304/SS316/NBR/Стекло";"SS304";"NBR";"SS304";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - SS316, Уплотнение - NBR, Панель индикации - Боросиликатное стекло";"Боросиликатное стекло";"Один";"";;
"NP-Type-NPS-1-3-1-1-2-1-1-L-2R";"ANSI 150# 3/8";"0,1-1 л/мин";"SS316";"Вода";"SS304/SS304/SS316/NBR/Стекло";"SS304";"NBR";"SS304";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - SS316, Уплотнение - NBR, Панель индикации - Боросиликатное стекло";"Боросиликатное стекло";"Два";"";;
"NP-Type-NPS-1-3-1-1-2-2-1-L-0";"ANSI 150# 3/8";"0,1-1 л/мин";"SS316";"Вода";"SS304/SS304/SS316/Витон/Стекло";"SS304";"Витон";"SS304";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - SS316, Уплотнение - Витон, Панель индикации - Боросиликатное стекло";"Боросиликатное стекло";"Нет";"";;
