pagetitle,15;16;17;18;19;21;38;77;86;87;91;108;121;123;126;6
"CVH1-H-3M-1/3";"";"Hy-Lok 3mm";"0,023 бар";"{18:0,67,25:4,8}";"";"Hy-Lok 3mm";"VH36A-D-3M-1/3";"Viton";"414 бар";"от -23° до 191°C";"SS-CHS3MM-1/3";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Уплотнение|1|3//SS316::Тарельчатый клапан|1|4//SS302::Пружина|1|5//Viton::Уплотнительное кольцо|1|6//PTFE::Шайба|1|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10";"<div class=elemento info mat=Viton>Viton</div>";"M3A-C4L-1/3-SS";"M3A-C4L-1/3-SS";;
"CVH1-H-6M-1/3";"";"Hy-Lok 6mm";"0,023 бар";"{18:0,67,25:4,8}";"";"Hy-Lok 6mm";"VH36A-D-6M-1/3";"Viton";"414 бар";"от -23° до 191°C";"SS-CHS6MM-1/3";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Уплотнение|1|3//SS316::Тарельчатый клапан|1|4//SS302::Пружина|1|5//Viton::Уплотнительное кольцо|1|6//PTFE::Шайба|1|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10";"<div class=elemento info mat=Viton>Viton</div>";"M6A-C4L-1/3-SS";"M6A-C4L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CVH2-H-8M-1/3";"";"Hy-Lok 8mm";"0,023 бар";"{18:1,8,25:7,8}";"";"Hy-Lok 8mm";"VH36B-D-8M-1/3";"Viton";"414 бар";"от -23° до 191°C";"SS-CHS8MM-1/3";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Уплотнение|1|3//SS316::Тарельчатый клапан|1|4//SS302::Пружина|1|5//Viton::Уплотнительное кольцо|1|6//PTFE::Шайба|1|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10";"<div class=elemento info mat=Viton>Viton</div>";"M8A-C6L-1/3-SS";"M8A-C6L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CVH2-H-10M-1/3";"";"Hy-Lok 10mm";"0,023 бар";"{18:1,8,25:7,8}";"";"Hy-Lok 10mm";"VH36B-D-10M-1/3";"Viton";"414 бар";"от -23° до 191°C";"SS-CHS10MM-1/3";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Уплотнение|1|3//SS316::Тарельчатый клапан|1|4//SS302::Пружина|1|5//Viton::Уплотнительное кольцо|1|6//PTFE::Шайба|1|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10";"<div class=elemento info mat=Viton>Viton</div>";"M10A-C6L-1/3-SS";"M10A-C6L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CVH2-H-12M-1/3";"";"Hy-Lok 12mm";"0,023 бар";"{18:1,8,25:7,8}";"";"Hy-Lok 12mm";"VH36B-D-12M-1/3";"Viton";"414 бар";"от -23° до 191°C";"SS-CHS12MM-1/3";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Уплотнение|1|3//SS316::Тарельчатый клапан|1|4//SS302::Пружина|1|5//Viton::Уплотнительное кольцо|1|6//PTFE::Шайба|1|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10";"<div class=elemento info mat=Viton>Viton</div>";"M12A-C6L-1/3-SS";"M12A-C6L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CVH2-H-14M-1/3";"";"Hy-Lok 14mm";"0,023 бар";"{18:1,8,25:7,8}";"";"Hy-Lok 14mm";"VH36B-D-14M-1/3";"Viton";"414 бар";"от -23° до 191°C";"SS-CHS14MM-1/3";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Уплотнение|1|3//SS316::Тарельчатый клапан|1|4//SS302::Пружина|1|5//Viton::Уплотнительное кольцо|1|6//PTFE::Шайба|1|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10";"<div class=elemento info mat=Viton>Viton</div>";"1M4A-C6L-1/3-SS";"1M4A-C6L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CVH2-H-16M-1/3";"";"Hy-Lok 16mm";"0,023 бар";"{18:1,8,25:7,8}";"";"Hy-Lok 16mm";"VH36B-D-16M-1/3";"Viton";"414 бар";"от -23° до 191°C";"SS-CHS16MM-1/3";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Уплотнение|1|3//SS316::Тарельчатый клапан|1|4//SS302::Пружина|1|5//Viton::Уплотнительное кольцо|1|6//PTFE::Шайба|1|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10";"<div class=elemento info mat=Viton>Viton</div>";"1M6A-C6L-1/3-SS";"1M6A-C6L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CVH3-H-18M-1/3";"";"Hy-Lok 18mm";"0,023 бар";"{18:4,7,25:15}";"";"Hy-Lok 18mm";"VH36C-D-18M-1/3";"Viton";"345 бар";"от -23° до 191°C";"SS-CHS18MM-1/3";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Уплотнение|1|3//SS316::Тарельчатый клапан|1|4//SS302::Пружина|1|5//Viton::Уплотнительное кольцо|1|6//PTFE::Шайба|1|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10";"<div class=elemento info mat=Viton>Viton</div>";"1M8A-C12L-1/3-SS";"1M8A-C12L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CVH3-H-22M-1/3";"";"Hy-Lok 22mm";"0,023 бар";"{18:4,7,25:15}";;"Hy-Lok 22mm";"VH36C-D-22M-1/3";"Viton";"345 бар";"от -23° до 191°C";"SS-CHS22MM-1/3";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Уплотнение|1|3//SS316::Тарельчатый клапан|1|4//SS302::Пружина|1|5//Viton::Уплотнительное кольцо|1|6//PTFE::Шайба|1|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10";"<div class=elemento info mat=Viton>Viton</div>";"M22A-C12L-1/3-SS";"M22A-C12L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CVH3-H-25M-1/3";"";"Hy-Lok 25mm";"0,023 бар";"{18:4,7,25:15}";"";"Hy-Lok 25mm";"VH36C-D-25M-1/3";"Viton";"345 бар";"от -23° до 191°C";"SS-CHS25MM-1/3";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Уплотнение|1|3//SS316::Тарельчатый клапан|1|4//SS302::Пружина|1|5//Viton::Уплотнительное кольцо|1|6//PTFE::Шайба|1|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10";"<div class=elemento info mat=Viton>Viton</div>";"M25A-C12L-1/3-SS";"M25A-C12L-1/3-SS";"assets/images/CV700_H_s100.jpg";
