pagetitle,16;19;60;62;67;77;82;86;87;15
"PF-4~40-LPH-Water-T-A1-PC-A-A-B";"NPT 1/2";"";"Тефлон";"Вода";"Поликорбанат";"ПК/ПВХ/Тефлон";"ПВХ";"4-40 л/час";"Корпус - Поликорбанат<br/>Подсоединение - ПВХ<br/>Поплавок - Тефлон";;
"PF-4~40-LPH-Water-T-A1-PSU-A-A-B";"NPT 1/2";;"Тефлон";"Вода";"Полисульфон";"ПСУ/ПВХ/Тефлон";"ПВХ";"4-40 л/час";"Корпус - Полисульфон<br/>Подсоединение - ПВХ<br/>Поплавок - Тефлон";"";
"PF-4~40-LPH-Water-T-A1-PC-C-A-B";"NPT 1/2";;"Тефлон";"Вода";"Поликорбанат";"ПК/SS316/Тефлон";"SS316";"4-40 л/час";"Корпус - Поликорбанат<br/>Подсоединение - SS316<br/>Поплавок - Тефлон";"";
"PF-4~40-LPH-Water-T-A1-PSU-C-A-B";"NPT 1/2";;"Тефлон";"Вода";"Полисульфон";"ПСУ/SS316/Тефлон";"SS316";"4-40 л/час";"Корпус - Полисульфон<br/>Подсоединение - SS316<br/>Поплавок - Тефлон";"";
"PF-6~60-LPH-Water-T-A2-PC-A-A-B";"NPT 1/2";;"Тефлон";"Вода";"Поликорбанат";"ПК/ПВХ/Тефлон";"ПВХ";"6-60 л/час";"Корпус - Поликорбанат<br/>Подсоединение - ПВХ<br/>Поплавок - Тефлон";"";
"PF-6~60-LPH-Water-T-A2-PSU-A-A-B";"NPT 1/2";;"Тефлон";"Вода";"Полисульфон";"ПСУ/ПВХ/Тефлон";"ПВХ";"6-60 л/час";"Корпус - Полисульфон<br/>Подсоединение - ПВХ<br/>Поплавок - Тефлон";"";
"PF-6~60-LPH-Water-T-A2-PC-C-A-B";"NPT 1/2";;"Тефлон";"Вода";"Поликорбанат";"ПК/SS316/Тефлон";"SS316";"6-60 л/час";"Корпус - Поликорбанат<br/>Подсоединение - SS316<br/>Поплавок - Тефлон";"";
"PF-6~60-LPH-Water-T-A2-PSU-C-A-B";"NPT 1/2";;"Тефлон";"Вода";"Полисульфон";"ПСУ/SS316/Тефлон";"SS316";"6-60 л/час";"Корпус - Полисульфон<br/>Подсоединение - SS316<br/>Поплавок - Тефлон";"";
"PF-10~100-LPH-Water-T-A3-PC-A-A-B";"NPT 1/2";"";"Тефлон";"Вода";"Поликорбанат";"ПК/ПВХ/Тефлон";"ПВХ";"10-100 л/час";"Корпус - Поликорбанат<br/>Подсоединение - ПВХ<br/>Поплавок - Тефлон";"";
"PF-10-100-LPH-Water-T-B1-PC-A-A-B";"NPT 1/2";;"Тефлон";"Вода";"Поликорбанат";"ПК/ПВХ/Тефлон";"ПВХ";"10-100 л/час";"Корпус - Поликорбанат<br/>Подсоединение - ПВХ<br/>Поплавок - Тефлон";"";
"PF-10~100-LPH-Water-T-A3-PSU-A-A-B";"NPT 1/2";;"Тефлон";"Вода";"Полисульфон";"ПСУ/ПВХ/Тефлон";"ПВХ";"10-100 л/час";"Корпус - Полисульфон<br/>Подсоединение - ПВХ<br/>Поплавок - Тефлон";"";
"PF-10-100-LPH-Water-T-B1-PSU-A-A-B";"NPT 1/2";;"Тефлон";"Вода";"Полисульфон";"ПСУ/ПВХ/Тефлон";"ПВХ";"10-100 л/час";"Корпус - Полисульфон<br/>Подсоединение - ПВХ<br/>Поплавок - Тефлон";"";
"PF-10~100-LPH-Water-T-A3-PC-C-A-B";"NPT 1/2";;"Тефлон";"Вода";"Поликорбанат";"ПК/SS316/Тефлон";"SS316";"10-100 л/час";"Корпус - Поликорбанат<br/>Подсоединение - SS316<br/>Поплавок - Тефлон";"";
"PF-10-100-LPH-Water-T-B1-PC-C-A-B";"NPT 1/2";;"Тефлон";"Вода";"Поликорбанат";"ПК/SS316/Тефлон";"SS316";"10-100 л/час";"Корпус - Поликорбанат<br/>Подсоединение - SS316<br/>Поплавок - Тефлон";"";
