pagetitle,15;16;59;60;65;77;82;83;84;87;88;6;19
"SLT-1-A-1-1-1-A-1-500mm-A";"";"MNPT 1/2";"500";"Стекло";"Да";"Стекло/SS304/Витон";"Витон";"С защитной опорной трубкой (резьбовой)";"SS304";"с аварийным затвором";"Материалы: Трубка - Стекло, Клапан - SS304, Уплотнение - Витон";;;
"SLT-1-A-1-1-1-A-1-500mm-B";"";"MNPT 1/2";"500";"Стекло";"нет";"Стекло/SS304/Витон";"Витон";"С защитной опорной трубкой (резьбовой)";"SS304";"с аварийным затвором";"Материалы: Трубка - Стекло, Клапан - SS304, Уплотнение - Витон";"assets/images/SLT-1.png";;
"SLT-1-A-1-1-1-A-1-600mm-A";"";"MNPT 1/2";"600";"Стекло";"Да";"Стекло/SS304/Витон";"Витон";"С защитной опорной трубкой (резьбовой)";"SS304";"с аварийным затвором";"Материалы: Трубка - Стекло, Клапан - SS304, Уплотнение - Витон";"assets/images/SLT-1.png";;
"SLT-1-A-1-1-1-A-1-600mm-B";"";"MNPT 1/2";"600";"Стекло";"нет";"Стекло/SS304/Витон";"Витон";"С защитной опорной трубкой (резьбовой)";"SS304";"с аварийным затвором";"Материалы: Трубка - Стекло, Клапан - SS304, Уплотнение - Витон";"assets/images/SLT-1.png";;
"SLT-1-A-1-1-1-A-1-700mm-A";"";"MNPT 1/2";"700";"Стекло";"Да";"Стекло/SS304/Витон";"Витон";"С защитной опорной трубкой (резьбовой)";"SS304";"с аварийным затвором";"Материалы: Трубка - Стекло, Клапан - SS304, Уплотнение - Витон";"assets/images/SLT-1.png";;
"SLT-1-A-1-1-1-A-1-700mm-B";"";"MNPT 1/2";"700";"Стекло";"нет";"Стекло/SS304/Витон";"Витон";"С защитной опорной трубкой (резьбовой)";"SS304";"с аварийным затвором";"Материалы: Трубка - Стекло, Клапан - SS304, Уплотнение - Витон";"assets/images/SLT-1.png";;
"SLT-1-A-1-1-1-A-1-800mm-A";"";"MNPT 1/2";"800";"Стекло";"Да";"Стекло/SS304/Витон";"Витон";"С защитной опорной трубкой (резьбовой)";"SS304";"с аварийным затвором";"Материалы: Трубка - Стекло, Клапан - SS304, Уплотнение - Витон";"assets/images/SLT-1.png";"";
"SLT-1-A-1-1-1-A-1-800mm-B";"";"MNPT 1/2";"800";"Стекло";"нет";"Стекло/SS304/Витон";"Витон";"С защитной опорной трубкой (резьбовой)";"SS304";"с аварийным затвором";"Материалы: Трубка - Стекло, Клапан - SS304, Уплотнение - Витон";"assets/images/SLT-1.png";;
"SLT-1-A-1-1-1-A-1-900mm-A";"";"MNPT 1/2";"900";"Стекло";"Да";"Стекло/SS304/Витон";"Витон";"С защитной опорной трубкой (резьбовой)";"SS304";"с аварийным затвором";"Материалы: Трубка - Стекло, Клапан - SS304, Уплотнение - Витон";"assets/images/SLT-1.png";;
"SLT-1-A-1-1-1-A-1-900mm-B";"";"MNPT 1/2";"900";"Стекло";"нет";"Стекло/SS304/Витон";"Витон";"С защитной опорной трубкой (резьбовой)";"SS304";"с аварийным затвором";"Материалы: Трубка - Стекло, Клапан - SS304, Уплотнение - Витон";"assets/images/SLT-1.png";;
