pagetitle,15;16;17;18;19;21;77;86;87;91;108;118;121;6
"CVA-F-4N-A";"";"NPT 1/4";"0,2..3,5бар";"&#216; 4,8мм";"";"NPT 1/4 внутр.";"Viton";"206 бар";"от -23&#176; до 191&#176;C";"SS-4CPA4-3";"SS316::Корпус|1|1//SS316::Поршень|1|2//Viton::Уплотнительное кольцо|1|3//SS316::Седло|1|4//SS316::Фиксатор седла|1|5//SS302::Пружина|1|6//SS316::Гайки настройки пружины|1|7";"VA33A-F-4N-3";"<div class=elemento info mat=Viton>Viton</div>";;
"CVA-F-8N-A";"";"NPT 1/2";"0,2..3,5бар";"&#216; 10мм";"";"NPT 1/2 внутр.";"Viton";"206 бар";"от -23&#176; до 191&#176;C";"SS-8CPA4-3";"SS316::Корпус|1|1//SS316::Поршень|1|2//Viton::Уплотнительное кольцо|1|3//SS316::Седло|1|4//SS316::Фиксатор седла|1|5//SS302::Пружина|1|6//SS316::Гайки настройки пружины|1|7";"VA33B-F-8N-3";"<div class=elemento info mat=Viton>Viton</div>";"assets/images/CV700_F_s100.jpg";
"CVA-M-4N-A";"";"NPT 1/4";"0,2..3,5бар";"&#216; 4,8мм";"";"NPT 1/4 наруж.";"Viton";"206 бар";"от -23&#176; до 191&#176;C";"SS-4CPA2-3";"SS316::Корпус|1|1//SS316::Поршень|1|2//Viton::Уплотнительное кольцо|1|3//SS316::Седло|1|4//SS316::Фиксатор седла|1|5//SS302::Пружина|1|6//SS316::Гайки настройки пружины|1|7";"VA33A-M-4N-3";"<div class=elemento info mat=Viton>Viton</div>";"assets/images/CV700_M_s100.jpg";
"CVA-M-8N-A";"";"NPT 1/2";"0,2..3,5бар";"&#216; 10мм";"";"NPT 1/2 наруж.";"Viton";"206 бар";"от -23&#176; до 191&#176;C";"SS-8CPA2-3";"SS316::Корпус|1|1//SS316::Поршень|1|2//Viton::Уплотнительное кольцо|1|3//SS316::Седло|1|4//SS316::Фиксатор седла|1|5//SS302::Пружина|1|6//SS316::Гайки настройки пружины|1|7";"VA33B-M-8N-3";"<div class=elemento info mat=Viton>Viton</div>";"assets/images/CV700_M_s100.jpg";
"CVA-M-4R-A";"";"RT 1/4";"0,2..3,5бар";"&#216; 4,8мм";;"RT 1/4 наруж.";"Viton";"206 бар";"от -23&#176; до 191&#176;C";"SS-4CPA2-RT-3";"SS316::Корпус|1|1//SS316::Поршень|1|2//Viton::Уплотнительное кольцо|1|3//SS316::Седло|1|4//SS316::Фиксатор седла|1|5//SS302::Пружина|1|6//SS316::Гайки настройки пружины|1|7";"VA33A-M-4R-3";"<div class=elemento info mat=Viton>Viton</div>";"assets/images/CV700_M_s100.jpg";
"CVA-M-8R-A";"";"RT 1/2";"0,2..3,5бар";"&#216; 10мм";"";"RT 1/2 наруж.";"Viton";"206 бар";"от -23&#176; до 191&#176;C";"SS-8CPA2-RT-3";"SS316::Корпус|1|1//SS316::Поршень|1|2//Viton::Уплотнительное кольцо|1|3//SS316::Седло|1|4//SS316::Фиксатор седла|1|5//SS302::Пружина|1|6//SS316::Гайки настройки пружины|1|7";"VA33B-M-8R-3";"<div class=elemento info mat=Viton>Viton</div>";"assets/images/CV700_M_s100.jpg";
"CVA-MF-4N-A";"";"NPT 1/4";"0,2..3,5бар";"&#216; 4,8мм";;"NPT 1/4 наруж. и внутр.";"Viton";"206 бар";"от -23&#176; до 191&#176;C";;"SS316::Корпус|1|1//SS316::Поршень|1|2//Viton::Уплотнительное кольцо|1|3//SS316::Седло|1|4//SS316::Фиксатор седла|1|5//SS302::Пружина|1|6//SS316::Гайки настройки пружины|1|7";"VA33A-MF-4N-3";"<div class=elemento info mat=Viton>Viton</div>";"assets/images/CV700_MF_s100.jpg";
"CVA-MF-8N-A";"";"NPT 1/2";"0,2..3,5бар";"&#216; 10мм";;"NPT 1/2 наруж. и внутр.";"Viton";"206 бар";"от -23&#176; до 191&#176;C";;"SS316::Корпус|1|1//SS316::Поршень|1|2//Viton::Уплотнительное кольцо|1|3//SS316::Седло|1|4//SS316::Фиксатор седла|1|5//SS302::Пружина|1|6//SS316::Гайки настройки пружины|1|7";"VA33B-MF-8N-3";"<div class=elemento info mat=Viton>Viton</div>";"assets/images/CV700_MF_s100.jpg";
"CVA-F-4N-B";"";"NPT 1/4";"3,5..10,3бар";"&#216; 4,8мм";;"NPT 1/4 внутр.";"Viton";"206 бар";"от -23&#176; до 191&#176;C";"SS-4CPA4-50";"SS316::Корпус|1|1//SS316::Поршень|1|2//Viton::Уплотнительное кольцо|1|3//SS316::Седло|1|4//SS316::Фиксатор седла|1|5//SS302::Пружина|1|6//SS316::Гайки настройки пружины|1|7";"VA33A-F-4N-50";"<div class=elemento info mat=Viton>Viton</div>";"assets/images/CV700_F_s100.jpg";
"CVA-F-8N-B";"";"NPT 1/2";"3,5..10,3бар";"&#216; 10мм";;"NPT 1/2 внутр.";"Viton";"206 бар";"от -23&#176; до 191&#176;C";"SS-8CPA4-50";"SS316::Корпус|1|1//SS316::Поршень|1|2//Viton::Уплотнительное кольцо|1|3//SS316::Седло|1|4//SS316::Фиксатор седла|1|5//SS302::Пружина|1|6//SS316::Гайки настройки пружины|1|7";"VA33B-F-8N-50";"<div class=elemento info mat=Viton>Viton</div>";"assets/images/CV700_F_s100.jpg";
