pagetitle,15;16;17;18;33;60;82;86;87;88;118;119;123;126;6;19
"DR80-A-S-070-A-1-S";"";"NPT 1/4";"420 бар";"0.06";"2 порта";"нерж. сталь";"Нержавеющая сталь 316L";"70 бар";"нет";"<img src='assets/images/ports/Af_filter.jpg'/>";"26-2016T24270";"";"XPRS82P1010010604ON";"XPRS82P1010010604ON";;;
"DR80-A-S-070-A-1-O";"";"NPT 1/4";"420 бар";"0.2";"2 порта";"нерж. сталь";"Нержавеющая сталь 316L";"70 бар";"нет";"<img src='assets/images/ports/Af_filter.jpg'/>";;;;;"assets/images/ports/A.jpg";;
"DR80-A-S-070-C-1-S";"";"NPT 1/4";"420 бар";"0.06";"4 порта";"нерж. сталь";"Нержавеющая сталь 316L";"70 бар";"нет";"<img src='assets/images/ports/Cf_filter.jpg'/>";"26-2016T24272";"";"XPRS84P101004ON";"XPRS84P101004ON";"assets/images/ports/C.jpg";"";
"DR80-A-S-070-C-1-O";"";"NPT 1/4";"420 бар";"0.2";"4 порта";"нерж. сталь";"Нержавеющая сталь 316L";"70 бар";"нет";"<img src='assets/images/ports/Cf_filter.jpg'/>";;;;;"assets/images/ports/C.jpg";;
"DR80-A-S-070-M-1-S";"";"NPT 1/4";"420 бар";"0.06";"4 порта";"нерж. сталь";"Нержавеющая сталь 316L";"70 бар";"нет";"<img src='assets/images/ports/Mf_filter.jpg'/>";"26-2016T24273";"";"XPRS84P101004ON";"XPRS84P101004ON";"assets/images/ports/M.jpg";;
"DR80-A-S-070-M-1-O";"";"NPT 1/4";"420 бар";"0.2";"4 порта";"нерж. сталь";"Нержавеющая сталь 316L";"70 бар";"нет";"<img src='assets/images/ports/Mf_filter.jpg'/>";;;;;"assets/images/ports/M.jpg";;
"DR80-A-S-150-A-1-S";"";"NPT 1/4";"420 бар";"0.06";"2 порта";"нерж. сталь";"Нержавеющая сталь 316L";"150 бар";"нет";"<img src='assets/images/ports/Af_filter.jpg'/>";"26-2014T24270";"";"XPRS152P201004ON";"XPRS152P201004ON";"assets/images/ports/A.jpg";;
"DR80-A-S-150-A-1-O";"";"NPT 1/4";"420 бар";"0.2";"2 порта";"нерж. сталь";"Нержавеющая сталь 316L";"150 бар";"нет";"<img src='assets/images/ports/Af_filter.jpg'/>";;;;;"assets/images/ports/A.jpg";;
"DR80-A-S-150-C-1-S";"";"NPT 1/4";"420 бар";"0.06";"4 порта";"нерж. сталь";"Нержавеющая сталь 316L";"150 бар";"нет";"<img src='assets/images/ports/Cf_filter.jpg'/>";"26-2014T24272";"";"XPRS154P201004ON";"XPRS154P201004ON";"assets/images/ports/C.jpg";"";
"DR80-A-S-150-C-1-O";"";"NPT 1/4";"420 бар";"0.2";"4 порта";"нерж. сталь";"Нержавеющая сталь 316L";"150 бар";"нет";"<img src='assets/images/ports/Cf_filter.jpg'/>";;;;;"assets/images/ports/C.jpg";;
"DR80-A-S-150-M-1-S";"";"NPT 1/4";"420 бар";"0.06";"4 порта";"нерж. сталь";"Нержавеющая сталь 316L";"150 бар";"нет";"<img src='assets/images/ports/Mf_filter.jpg'/>";"26-2014T24273";"";"XPRS154P201004ON";"XPRS154P201004ON";"assets/images/ports/M.jpg";;
"DR80-A-S-150-M-1-O";"";"NPT 1/4";"420 бар";"0.2";"4 порта";"нерж. сталь";"Нержавеющая сталь 316L";"150 бар";"нет";"<img src='assets/images/ports/Mf_filter.jpg'/>";;;;;"assets/images/ports/M.jpg";;
