pagetitle,15;16;17;18;19;21;33;38;77;86;87;91;99;108;121;123;126;6
"CV1-H-3M-1/3";"";"Hy-Lok 3mm";"0,023бар";"{18:0,16,25:4,8}";"";"Hy-Lok 3mm";"Cv до 0,16, &#216; 4,8мм ";"V33A-D-3M-1/3";"Viton";"206бар";"от -23&#176; до 191&#176;C";"SS-3C-MM-1/3";"23,81";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Поршень|1|3//Viton::Уплотнение седла|1|4//SS302::Пружина|1|5//SS316::Обжимная гайка|1|6//SS316::Переднее кольцо|1|7//SS316::Заднее кольцо|1|8";"<div class=elemento info mat=Viton>Viton</div>";"M3A-C4L-1/3-SS";"M3A-C4L-1/3-SS";;
"CV1-H-6M-1/3";"";"Hy-Lok 6mm";"0,023бар";"{18:0,47,25:4,8}";"";"Hy-Lok 6mm";"Cv до 0,47, &#216; 4,8мм ";"V33A-D-6M-1/3";"Viton";"206бар";"от -23&#176; до 191&#176;C";"SS-6C-MM-1/3";"22,89";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Поршень|1|3//Viton::Уплотнение седла|1|4//SS302::Пружина|1|5//SS316::Обжимная гайка|1|6//SS316::Переднее кольцо|1|7//SS316::Заднее кольцо|1|8";"<div class=elemento info mat=Viton>Viton</div>";"M6A-C4L-1/3-SS";"M6A-C4L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CV2-H-8M-1/3";"";"Hy-Lok 8mm";"0,023бар";"{18:0,47,25:4,8}";;"Hy-Lok 8mm";"Cv до 0,47, &#216; 4,8мм ";"V33B-D-8M-1/3";"Viton";"206бар";"от -23&#176; до 191&#176;C";"SS-8C-MM-1/3";"22,89";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Поршень|1|3//Viton::Уплотнение седла|1|4//SS302::Пружина|1|5//SS316::Обжимная гайка|1|6//SS316::Переднее кольцо|1|7//SS316::Заднее кольцо|1|8";"<div class=elemento info mat=Viton>Viton</div>";"M8A-C6L-1/3-SS";"M8A-C6L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CV2-H-10M-1/3";"";"Hy-Lok 10mm";"0,023бар";"{18:1,48,25:7,1}";"";"Hy-Lok 10mm";"Cv до 1,48, &#216; 7,1мм ";"V33B-D-10M-1/3";"Viton";"206бар";"от -23&#176; до 191&#176;C";"SS-10C-MM-1/3";"45,08";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Поршень|1|3//Viton::Уплотнение седла|1|4//SS302::Пружина|1|5//SS316::Обжимная гайка|1|6//SS316::Переднее кольцо|1|7//SS316::Заднее кольцо|1|8";"<div class=elemento info mat=Viton>Viton</div>";"M10A-C6L-1/3-SS";"M10A-C6L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CV3-H-12M-1/3";"";"Hy-Lok 12mm";"0,023бар";"{18:1,7,25:10}";"";"Hy-Lok 12mm";"Cv до 1,7, &#216; 10мм ";"V33C-D-12M-1/3";"Viton";"206бар";"от -23&#176; до 191&#176;C";"SS-12C-MM-1/3";"47,15";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Поршень|1|3//Viton::Уплотнение седла|1|4//SS302::Пружина|1|5//SS316::Обжимная гайка|1|6//SS316::Переднее кольцо|1|7//SS316::Заднее кольцо|1|8";"<div class=elemento info mat=Viton>Viton</div>";"M12A-C6L-1/3-SS";"M12A-C6L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CV6-H-25M-1/3";"";"Hy-Lok 25mm";"0,023бар";"{18:8,25:18}";"";"Hy-Lok 25mm";"Cv до 8, &#216; 18мм";"V33F-D-25M-1/3";"Viton";"137бар";"от -23&#176; до 191&#176;C";"SS-25C-MM-1/3";;"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Поршень|1|3//Viton::Уплотнение седла|1|4//SS302::Пружина|1|5//SS316::Обжимная гайка|1|6//SS316::Переднее кольцо|1|7//SS316::Заднее кольцо|1|8";"<div class=elemento info mat=Viton>Viton</div>";"M25A-C16L-1/3-SS";"M25A-C16L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CV1-H-2T-1/3";"";"Hy-Lok 1/8";"0,023бар";"{18:0,16,25:4,8}";"";"Hy-Lok 1/8";"Cv до 0,16, &#216; 4,8мм ";"V33A-D-2T-1/3";"Viton";"206бар";"от -23&#176; до 191&#176;C";"SS-2C-1/3";"23,81";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Поршень|1|3//Viton::Уплотнение седла|1|4//SS302::Пружина|1|5//SS316::Обжимная гайка|1|6//SS316::Переднее кольцо|1|7//SS316::Заднее кольцо|1|8";"<div class=elemento info mat=Viton>Viton</div>";"2A-C4L-1/3-SS";"2A-C4L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CV1-H-4T-1/3";"";"Hy-Lok 1/4";"0,023бар";"{18:0,47,25:4,8}";"";"Hy-Lok 1/4";"Cv до 0,47, &#216; 4,8мм ";"V33A-D-4T-1/3";"Viton";"206бар";"от -23&#176; до 191&#176;C";"SS-4C-1/3";"22,89";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Поршень|1|3//Viton::Уплотнение седла|1|4//SS302::Пружина|1|5//SS316::Обжимная гайка|1|6//SS316::Переднее кольцо|1|7//SS316::Заднее кольцо|1|8";"<div class=elemento info mat=Viton>Viton</div>";"4A-C4L-1/3-SS";"4A-C4L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CV2-H-6T-1/3";"";"Hy-Lok 3/8";"0,023бар";"{18:1,48,25:7,1}";"";"Hy-Lok 3/8";"Cv до 1,48, &#216; 7,1мм ";"V33B-D-6T-1/3";"Viton";"206бар";"от -23&#176; до 191&#176;C";"SS-6C-1/3";"45,08";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Поршень|1|3//Viton::Уплотнение седла|1|4//SS302::Пружина|1|5//SS316::Обжимная гайка|1|6//SS316::Переднее кольцо|1|7//SS316::Заднее кольцо|1|8";"<div class=elemento info mat=Viton>Viton</div>";"6A-C6L-1/3-SS";"6A-C6L-1/3-SS";"assets/images/CV700_H_s100.jpg";
"CV3-H-8T-1/3";"";"Hy-Lok 1/2";"0,023бар";"{18:1,7,25:10}";"";"Hy-Lok 1/2";"Cv до 1,7, &#216; 10мм ";"V33C-D-8T-1/3";"Viton";"206бар";"от -23&#176; до 191&#176;C";"SS-8C-1/3";"47,15";"SS316::Корпус|1|1//SS316::Ввертной штуцер|1|2//SS316::Поршень|1|3//Viton::Уплотнение седла|1|4//SS302::Пружина|1|5//SS316::Обжимная гайка|1|6//SS316::Переднее кольцо|1|7//SS316::Заднее кольцо|1|8";"<div class=elemento info mat=Viton>Viton</div>";"8A-C6L-1/3-SS";"8A-C6L-1/3-SS";"assets/images/CV700_H_s100.jpg";
