pagetitle,15;16;17;18;19;21;38;71;82;83;86;91;95;96;108;116;121;123;126;6
"GB1-H-6M";"";"Hy-Lok 6mm";"414бар";"{18:0,35,25:4}";"";"Hy-Lok 6mm";"V16A-D-6M";"от -54&#176;C<br/>до 232&#176;C";"PTFE (стандарт)";"V";"Проходной<br><img src=assets/images/GB_H_s100.jpg>";"SS-3NBS6MM";"V-образная<br><img src=assets/images/NV-needle-V.jpg>";"V-образная";"Нержавеющая сталь SS316::Корпус|1|1//Нержавеющая сталь SS316::Игла|1|2//Нержавеющая сталь SS316::Наконечник иглы|1|3//Нержавеющая сталь SS316::Крышка|1|4//Нержавеющая сталь SS316::Проставка уплотнений|1|5//PTFE::Уплотнительные кольца|1|6//Армированный PTFE::Уплотнительная шайба|1|7//Нержавеющая сталь SS316::Фиксирующая гайка|0|8//Нержавеющая сталь SS316::Рукоятка|0|9//Нержавеющая сталь SS316::Гайка для крепления|1|10//Нержавеющая сталь SS316::Фиксатор уплотнений|1|11//Нержавеющая сталь SS316::Обжимная гайка|1|12//Нержавеющая сталь SS316::Переднее кольцо|1|13//Нержавеющая сталь SS316::Заднее кольцо|1|14";"SS-3NBS6MM";"<div class=elemento info mat=PTFE>PTFE (стандарт)</div>";"M6A-U6-T-SS";"M6A-U6-T-SS";;
"GB1-H-8M";"";"Hy-Lok 8mm";"414бар";"{18:0,35,25:4}";"";"Hy-Lok 8mm";"V16A-D-8M";"от -54&#176;C<br/>до 232&#176;C";"PTFE (стандарт)";"V";"Проходной<br><img src=assets/images/GB_H_s100.jpg>";"SS-3NBS8MM";"V-образная<br><img src=assets/images/NV-needle-V.jpg>";"V-образная";"Нержавеющая сталь SS316::Корпус|1|1//Нержавеющая сталь SS316::Игла|1|2//Нержавеющая сталь SS316::Наконечник иглы|1|3//Нержавеющая сталь SS316::Крышка|1|4//Нержавеющая сталь SS316::Проставка уплотнений|1|5//PTFE::Уплотнительные кольца|1|6//Армированный PTFE::Уплотнительная шайба|1|7//Нержавеющая сталь SS316::Фиксирующая гайка|0|8//Нержавеющая сталь SS316::Рукоятка|0|9//Нержавеющая сталь SS316::Гайка для крепления|1|10//Нержавеющая сталь SS316::Фиксатор уплотнений|1|11//Нержавеющая сталь SS316::Обжимная гайка|1|12//Нержавеющая сталь SS316::Переднее кольцо|1|13//Нержавеющая сталь SS316::Заднее кольцо|1|14";"SS-3NBS8MM";"<div class=elemento info mat=PTFE>PTFE (стандарт)</div>";"M8A-U6-T-SS";"M8A-U6-T-SS";"assets/images/GB_H_s100.jpg";
"GB2-H-10M";"";"Hy-Lok 10mm";"414бар";"{18:0,86,25:6,4}";"";"Hy-Lok 10mm";"V16B-D-10M";"от -54&#176;C<br/>до 232&#176;C";"PTFE (стандарт)";"V";"Проходной<br><img src=assets/images/GB_H_s100.jpg>";"SS-6NBS10MM";"V-образная<br><img src=assets/images/NV-needle-V.jpg>";"V-образная";"Нержавеющая сталь SS316::Корпус|1|1//Нержавеющая сталь SS316::Игла|1|2//Нержавеющая сталь SS316::Наконечник иглы|1|3//Нержавеющая сталь SS316::Крышка|1|4//Нержавеющая сталь SS316::Проставка уплотнений|1|5//PTFE::Уплотнительные кольца|1|6//Армированный PTFE::Уплотнительная шайба|1|7//Нержавеющая сталь SS316::Фиксирующая гайка|0|8//Нержавеющая сталь SS316::Рукоятка|0|9//Нержавеющая сталь SS316::Гайка для крепления|1|10//Нержавеющая сталь SS316::Фиксатор уплотнений|1|11//Нержавеющая сталь SS316::Обжимная гайка|1|12//Нержавеющая сталь SS316::Переднее кольцо|1|13//Нержавеющая сталь SS316::Заднее кольцо|1|14";"SS-6NBS10MM";"<div class=elemento info mat=PTFE>PTFE (стандарт)</div>";"M10A-U12-T-SS";"M10A-U12-T-SS";"assets/images/GB_H_s100.jpg";
"GB2-H-12M";"";"Hy-Lok 12mm";"414бар";"{18:0,86,25:6,4}";"";"Hy-Lok 12mm";"V16B-D-12M";"от -54&#176;C<br/>до 232&#176;C";"PTFE (стандарт)";"V";"Проходной<br><img src=assets/images/GB_H_s100.jpg>";"SS-6NBS12MM";"V-образная<br><img src=assets/images/NV-needle-V.jpg>";"V-образная";"Нержавеющая сталь SS316::Корпус|1|1//Нержавеющая сталь SS316::Игла|1|2//Нержавеющая сталь SS316::Наконечник иглы|1|3//Нержавеющая сталь SS316::Крышка|1|4//Нержавеющая сталь SS316::Проставка уплотнений|1|5//PTFE::Уплотнительные кольца|1|6//Армированный PTFE::Уплотнительная шайба|1|7//Нержавеющая сталь SS316::Фиксирующая гайка|0|8//Нержавеющая сталь SS316::Рукоятка|0|9//Нержавеющая сталь SS316::Гайка для крепления|1|10//Нержавеющая сталь SS316::Фиксатор уплотнений|1|11//Нержавеющая сталь SS316::Обжимная гайка|1|12//Нержавеющая сталь SS316::Переднее кольцо|1|13//Нержавеющая сталь SS316::Заднее кольцо|1|14";"SS-6NBS12MM";"<div class=elemento info mat=PTFE>PTFE (стандарт)</div>";"M2A-U12-T-SS";"M2A-U12-T-SS";"assets/images/GB_H_s100.jpg";
"GB3-H-12M";"";"Hy-Lok 12mm";"414бар";"{18:0,86,25:6,4}";"";"Hy-Lok 12mm";"V16C-D-12M";"от -54&#176;C<br/>до 232&#176;C";"PTFE (стандарт)";"V";"Проходной<br><img src=assets/images/GB_H_s100.jpg>";"SS-12NBS12MM";"V-образная<br><img src=assets/images/NV-needle-V.jpg>";"V-образная";"Нержавеющая сталь SS316::Корпус|1|1//Нержавеющая сталь SS316::Игла|1|2//Нержавеющая сталь SS316::Наконечник иглы|1|3//Нержавеющая сталь SS316::Крышка|1|4//Нержавеющая сталь SS316::Проставка уплотнений|1|5//PTFE::Уплотнительные кольца|1|6//Армированный PTFE::Уплотнительная шайба|1|7//Нержавеющая сталь SS316::Фиксирующая гайка|0|8//Нержавеющая сталь SS316::Рукоятка|0|9//Нержавеющая сталь SS316::Гайка для крепления|1|10//Нержавеющая сталь SS316::Фиксатор уплотнений|1|11//Нержавеющая сталь SS316::Обжимная гайка|1|12//Нержавеющая сталь SS316::Переднее кольцо|1|13//Нержавеющая сталь SS316::Заднее кольцо|1|14";"SS-12NBS12MM";"<div class=elemento info mat=PTFE>PTFE (стандарт)</div>";"M2A-U16-T-SS";"M2A-U16-T-SS";"assets/images/GB_H_s100.jpg";
"GB3-H-18M";"";"Hy-Lok 18mm";"414бар";"{18:2,2,25:11}";"";"Hy-Lok 18mm";"V16C-D-18M";"от -54&#176;C<br/>до 232&#176;C";"PTFE (стандарт)";"V";"Проходной<br><img src=assets/images/GB_H_s100.jpg>";"SS-12NBS18MM";"V-образная<br><img src=assets/images/NV-needle-V.jpg>";"V-образная";"Нержавеющая сталь SS316::Корпус|1|1//Нержавеющая сталь SS316::Игла|1|2//Нержавеющая сталь SS316::Наконечник иглы|1|3//Нержавеющая сталь SS316::Крышка|1|4//Нержавеющая сталь SS316::Проставка уплотнений|1|5//PTFE::Уплотнительные кольца|1|6//Армированный PTFE::Уплотнительная шайба|1|7//Нержавеющая сталь SS316::Фиксирующая гайка|0|8//Нержавеющая сталь SS316::Рукоятка|0|9//Нержавеющая сталь SS316::Гайка для крепления|1|10//Нержавеющая сталь SS316::Фиксатор уплотнений|1|11//Нержавеющая сталь SS316::Обжимная гайка|1|12//Нержавеющая сталь SS316::Переднее кольцо|1|13//Нержавеющая сталь SS316::Заднее кольцо|1|14";"SS-12NBS18MM";"<div class=elemento info mat=PTFE>PTFE (стандарт)</div>";"M8A-U16-T-SS";"M8A-U16-T-SS";"assets/images/GB_H_s100.jpg";
"GB3-H-25M";"";"Hy-Lok 25mm";"414бар";"{18:2,2,25:11}";"";"Hy-Lok 25mm";"V16C-D-25M";"от -54&#176;C<br/>до 232&#176;C";"PTFE (стандарт)";"V";"Проходной<br><img src=assets/images/GB_H_s100.jpg>";"SS-12NBS25MM";"V-образная<br><img src=assets/images/NV-needle-V.jpg>";"V-образная";"Нержавеющая сталь SS316::Корпус|1|1//Нержавеющая сталь SS316::Игла|1|2//Нержавеющая сталь SS316::Наконечник иглы|1|3//Нержавеющая сталь SS316::Крышка|1|4//Нержавеющая сталь SS316::Проставка уплотнений|1|5//PTFE::Уплотнительные кольца|1|6//Армированный PTFE::Уплотнительная шайба|1|7//Нержавеющая сталь SS316::Фиксирующая гайка|0|8//Нержавеющая сталь SS316::Рукоятка|0|9//Нержавеющая сталь SS316::Гайка для крепления|1|10//Нержавеющая сталь SS316::Фиксатор уплотнений|1|11//Нержавеющая сталь SS316::Обжимная гайка|1|12//Нержавеющая сталь SS316::Переднее кольцо|1|13//Нержавеющая сталь SS316::Заднее кольцо|1|14";"SS-12NBS25MM";"<div class=elemento info mat=PTFE>PTFE (стандарт)</div>";"M25A-U16-T-SS";"M25A-U16-T-SS";"assets/images/GB_H_s100.jpg";
"GB1-H-4T";"";"Hy-Lok 1/4";"414бар";"{18:0,35,25:4}";"";"Hy-Lok 1/4";"V16A-D-4T";"от -54&#176;C<br/>до 232&#176;C";"PTFE (стандарт)";"V";"Проходной<br><img src=assets/images/GB_H_s100.jpg>";"SS-3NBS4";"V-образная<br><img src=assets/images/NV-needle-V.jpg>";"V-образная";"Нержавеющая сталь SS316::Корпус|1|1//Нержавеющая сталь SS316::Игла|1|2//Нержавеющая сталь SS316::Наконечник иглы|1|3//Нержавеющая сталь SS316::Крышка|1|4//Нержавеющая сталь SS316::Проставка уплотнений|1|5//PTFE::Уплотнительные кольца|1|6//Армированный PTFE::Уплотнительная шайба|1|7//Нержавеющая сталь SS316::Фиксирующая гайка|0|8//Нержавеющая сталь SS316::Рукоятка|0|9//Нержавеющая сталь SS316::Гайка для крепления|1|10//Нержавеющая сталь SS316::Фиксатор уплотнений|1|11//Нержавеющая сталь SS316::Обжимная гайка|1|12//Нержавеющая сталь SS316::Переднее кольцо|1|13//Нержавеющая сталь SS316::Заднее кольцо|1|14";"SS-3NBS4";"<div class=elemento info mat=PTFE>PTFE (стандарт)</div>";"4A-U6-T-SS";"4A-U6-T-SS";"assets/images/GB_H_s100.jpg";
"GB2-H-6T";"";"Hy-Lok 3/8";"414бар";"{18:0,86,25:6,4}";"";"Hy-Lok 3/8";"V16B-D-6T";"от -54&#176;C<br/>до 232&#176;C";"PTFE (стандарт)";"V";"Проходной<br><img src=assets/images/GB_H_s100.jpg>";"SS-3NBS6";"V-образная<br><img src=assets/images/NV-needle-V.jpg>";"V-образная";"Нержавеющая сталь SS316::Корпус|1|1//Нержавеющая сталь SS316::Игла|1|2//Нержавеющая сталь SS316::Наконечник иглы|1|3//Нержавеющая сталь SS316::Крышка|1|4//Нержавеющая сталь SS316::Проставка уплотнений|1|5//PTFE::Уплотнительные кольца|1|6//Армированный PTFE::Уплотнительная шайба|1|7//Нержавеющая сталь SS316::Фиксирующая гайка|0|8//Нержавеющая сталь SS316::Рукоятка|0|9//Нержавеющая сталь SS316::Гайка для крепления|1|10//Нержавеющая сталь SS316::Фиксатор уплотнений|1|11//Нержавеющая сталь SS316::Обжимная гайка|1|12//Нержавеющая сталь SS316::Переднее кольцо|1|13//Нержавеющая сталь SS316::Заднее кольцо|1|14";"SS-3NBS6";"<div class=elemento info mat=PTFE>PTFE (стандарт)</div>";"6A-U12-T-SS";"6A-U12-T-SS";"assets/images/GB_H_s100.jpg";
"GB2-H-8T";"";"Hy-Lok 1/2";"414бар";"{18:0,86,25:6,4}";"";"Hy-Lok 1/2";"V16B-D-8T";"от -54&#176;C<br/>до 232&#176;C";"PTFE (стандарт)";"V";"Проходной<br><img src=assets/images/GB_H_s100.jpg>";"SS-6NBS8";"V-образная<br><img src=assets/images/NV-needle-V.jpg>";"V-образная";"Нержавеющая сталь SS316::Корпус|1|1//Нержавеющая сталь SS316::Игла|1|2//Нержавеющая сталь SS316::Наконечник иглы|1|3//Нержавеющая сталь SS316::Крышка|1|4//Нержавеющая сталь SS316::Проставка уплотнений|1|5//PTFE::Уплотнительные кольца|1|6//Армированный PTFE::Уплотнительная шайба|1|7//Нержавеющая сталь SS316::Фиксирующая гайка|0|8//Нержавеющая сталь SS316::Рукоятка|0|9//Нержавеющая сталь SS316::Гайка для крепления|1|10//Нержавеющая сталь SS316::Фиксатор уплотнений|1|11//Нержавеющая сталь SS316::Обжимная гайка|1|12//Нержавеющая сталь SS316::Переднее кольцо|1|13//Нержавеющая сталь SS316::Заднее кольцо|1|14";"SS-6NBS8";"<div class=elemento info mat=PTFE>PTFE (стандарт)</div>";"8A-U12-T-SS";"8A-U12-T-SS";"assets/images/GB_H_s100.jpg";
