pagetitle,15;16;17;18;25;82;86;91;94;95;96;118;119;123;126;6
"HB1-M-4N-APB-C";"";"1/4” NPT";"414 бар";"0.93";"4.2мм";"PVDF (стандарт)";"нет";"SS-83KM4-A15C3";"да";"Нормально закрытый";"нет";"VH86A-M-4N-PCS1";"";"4M-B2L-SSP";"4M-B2L-SSP";"assets/images/102_M_s100.jpg";
"HB1-F-2N-APB-C";"";"1/8” NPT внутр.";"414 бар";"0.93";"4.2мм";"PVDF (стандарт)";"нет";"SS-83KF2-A15C3";"да";"Нормально закрытый";"нет";"VH86A-F-2N-PCS1";"";"2F-B2L-SSP";"2F-B2L-SSP";"assets/images/102_F_s100.jpg";
"HB2-F-4N-APB-C";"";"1/4” NPT внутр.";"414 бар";"2.34";"6.4мм";"PVDF (стандарт)";"нет";"SS-83KF4-A15C3";"да";"Нормально закрытый";"нет";"VH86B-F-4N-PCS1";"";"4F-B6L-SSP";"4F-B6L-SSP";"assets/images/102_F_s100.jpg";
"HB3-F-6N-APB-C";"";"3/8” NPT внутр.";"414 бар";"6.42";"10.3мм";"PVDF (стандарт)";"нет";"SS-83KF6-A15C3";"да";"Нормально закрытый";"нет";"VH86C-F-6N-PCS2";"";"6F-B8L-SSP";"6F-B8L-SSP";"assets/images/102_F_s100.jpg";
"HB3-F-8N-APB-C";"";"NPT 1/2 внутр.";"414 бар";"6.42";"10.3мм";"PVDF (стандарт)";"нет";"SS-83KF8-A15C3";"да";"Нормально закрытый";"нет";"VH86C-F-8N-PCS2";"";"8F-B8L-SSP";"8F-B8L-SSP";"assets/images/102_F_s100.jpg";
"H1B-H-6M-PK-ML-APB-C";"";"Hy-Lok 6мм";"690 бар";"1.2";"10мм";"PEEK";"да";"SS-H83KS6MM-A15C4";"да";"Нормально закрытый";"нет";"V86A-D-6M-PK-P2-PCS1";"";"M6-HB4L-SSP";"M6-HB4L-SSP";"assets/images/105_H_s100.jpg";
"H1B-H-10M-PK-ML-APB-C";"";"Hy-Lok 10мм";"690 бар";"3.7";"10мм";"PEEK";"да";"SS-H83KS10MM-A15C4";"да";"Нормально закрытый";"нет";"V86A-D-10M-PK-P2-PCS1";"";"M10-HB4L-SSP";"M10-HB4L-SSP";"assets/images/105_H_s100.jpg";
"H1B-H-12M-PK-ML-APB-C";"";"Hy-Lok 12мм";"690 бар";"7.5";"10мм";"PEEK";"да";"SS-H83KS12MM-A15C4";"да";"Нормально закрытый";"нет";"V86A-D-12M-PK-P2-PCS1";"";"M12-HB4L-SSP";"M12-HB4L-SSP";"assets/images/105_H_s100.jpg";
"H1B-H-14M-PK-ML-APB-C";"";"Hy-Lok 14мм";"690 бар";"7.5";"10мм";"PEEK";"да";"SS-H83KS14MM-A15C4";"да";"Нормально закрытый";"нет";"V86A-D-14M-PK-P2-PCS1";"";"M14-HB4L-SSP";"M14-HB4L-SSP";"assets/images/105_H_s100.jpg";
"H2B-H-16M-PK-ML-APB-C";"";"Hy-Lok 16мм";"410 бар";"10";"12.7мм";"PEEK";"да";"SS-H83KS16MM-A15C4";"да";"Нормально закрытый";"нет";"V86B-D-16M-PK-P2-PCS1";"VC86B-D-16M-PK-P2-PCS1";"M16-HB4L-SSP";"M16-HB4L-SSP";"assets/images/105_H_s100.jpg";
"H2B-H-18M-PK-ML-APB-C";"";"Hy-Lok 18мм";"410 бар";"10";"12.7мм";"PEEK";"да";"SS-63PS18MM-A30C4";"да";"Нормально закрытый";"нет";"V86B-D-18M-PK-P2-PCS1";"VC86B-D-18M-PK-P2-PCS1";"M18-HB4L-SSP";"M18-HB4L-SSP";"assets/images/105_H_s100.jpg";
"H3B-H-20M-PK-ML-APB-C";"";"Hy-Lok 20мм";"410 бар";"-";;"PEEK";"да";"SS-65PS20MM-A60C4";"да";"Нормально закрытый";"нет";"V86C-D-20M-PK-P2-PCS2";"VC86C-D-20M-PK-P2-PCS2";"M20-HB4L-SSP";"M20-HB4L-SSP";"assets/images/105_H_s100.jpg";
"H3B-H-25M-PK-ML-APB-C";"";"Hy-Lok 25мм";"410 бар";"-";;"PEEK";"да";"SS-65PS25MM-A60C4";"да";"Нормально закрытый";"нет";"V86C-D-25M-PK-P2-PCS2";"VC86C-D-25M-PK-P2-PCS2";"M25-HB4L-SSP";"M25-HB4L-SSP";"assets/images/105_H_s100.jpg";
