pagetitle,15;16;19;25;38;60;91;94;102;127;128;6;123;126
"FI4-H-8T-WF";"";"Hy-Lok 1/2";"";"10.4";"V73D-D-8T-NE";"S316";"SS-8F-LE";"без фильтрующего элемента";"FI4-H-8T-WF-*";"H-600-SS-L-1/2-LE";"";"assets/images/CV700_H_s100.jpg";;;
"FI2-H-6M-WF";"";"Hy-Lok 6мм";"";"4.8";"V73B-D-6M-NE";"S316";"SS-6F-MM-LE";"без фильтрующего элемента";"FI2-H-6M-WF-*";"H-600-SS-L-6 MM-LE";"";"assets/images/CV700_H_s100.jpg";;;
"FI1-F-2N-WF-BRAS";"";"NPT 1/8 внутр.";;"2.4";"V73A-F-2N-NE-B";"BRAS";"B-2F4-LE";"без фильтрующего элемента";"FI1-F-2N-WF-*";"H-610-B-N-1/8-LE";"";"assets/images/CV700_F_s100.jpg";;;
"FI2-F-4N-WF-BRAS";"";"NPT 1/4 внутр.";;"4.8";"V73B-F-4N-NE-B";"BRAS";"B-4F4-LE";"без фильтрующего элемента";"FI2-F-4N-WF-*";"H-610-B-N-1/4-LE";"";"assets/images/CV700_F_s100.jpg";;;
"FI3-F-6N-WF-BRAS";"";"NPT 3/8 внутр.";;"7.1";"V73C-F-6N-NE-B";"BRAS";"B-6F4-LE";"без фильтрующего элемента";"FI3-F-6N-WF-*";"H-610-B-N-3/8-LE";"";"assets/images/CV700_F_s100.jpg";;;
"FI4-F-8N-WF-BRAS";"";"NPT 1/2 внутр.";;"10.4";"V73D-F-8N-NE-B";"BRAS";"B-8F4-LE";"без фильтрующего элемента";"FI4-F-8N-WF-*";"H-610-B-N-1/2-LE";"";"assets/images/CV700_F_s100.jpg";;;
"FI1-M-2N-WF-BRAS";"";"NPT 1/8 наруж.";;"2.4";"V73A-M-2N-NE-B";"BRAS";"B-2F2-LE";"без фильтрующего элемента";"FI1-M-2N-WF-*";"H-680-B-N-1/8-LE";"";"assets/images/CV700_M_s100.jpg";;;
"FI1-M-4N-WF-BRAS";"";"NPT 1/4 наруж.";;"4.8";"V73A-M-4N-NE-B";"BRAS";"B-4F2-LE";"без фильтрующего элемента";"FI1-M-4N-WF-*";"H-680-B-N-1/4-LE";"";"assets/images/CV700_M_s100.jpg";;;
"FI2-M-6N-WF-BRAS";"";"NPT 3/8 наруж.";;"7.1";"V73B-M-6N-NE-B";"BRAS";"B-6F2-LE";"без фильтрующего элемента";"FI2-M-6N-WF-*";"H-680-B-N-3/8-LE";"";"assets/images/CV700_M_s100.jpg";;;
"FI3-M-8N-WF-BRAS";"";"NPT 1/2 наруж.";;"10.4";"V73C-M-8N-NE-B";"BRAS";"B-8F2-LE";"без фильтрующего элемента";"FI3-M-8N-WF-*";"H-680-B-N-1/2-LE";"";"assets/images/CV700_M_s100.jpg";;;
"FI1-H-2T-WF-BRAS";"";"Hy-Lok 1/8";"";"2.4";"V73A-D-2T-NE-B";"BRAS";"B-2F-LE";"без фильтрующего элемента";"FI1-H-2T-WF-*";"H-600-B-L-1/8-LE";"";"assets/images/CV700_H_s100.jpg";;;
