pagetitle,16;18;60;61;62;77;82;84;85;86;88;15;19
"P-Type-PS-1-3-2-1-3-2-1-L-0";"MNPT 1/4";"0,03-0,3 л/мин";"SS304";"Боросиликатное стекло";"Вода";"SS304/SS304/ПВХ/Витон/Стекло";"ПВХ";"Витон";"SS304";"Нет";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - ПВХ, Уплотнение - Витон, Панель индикации - Боросиликатное стекло";"";;
"P-Type-PS-1-3-2-1-3-2-1-L-1R";"MNPT 1/4";"0,03-0,3 л/мин";"SS304";"Боросиликатное стекло";"Вода";"SS304/SS304/ПВХ/Витон/Стекло";"ПВХ";"Витон";"SS304";"Один";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - ПВХ, Уплотнение - Витон, Панель индикации - Боросиликатное стекло";"";;
"P-Type-PS-1-3-2-1-3-2-1-L-2R";"MNPT 1/4";"0,03-0,3 л/мин";"SS304";"Боросиликатное стекло";"Вода";"SS304/SS304/ПВХ/Витон/Стекло";"ПВХ";"Витон";"SS304";"Два";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - ПВХ, Уплотнение - Витон, Панель индикации - Боросиликатное стекло";"";;
"P-Type-PS-1-3-2-1-4-1-1-L-0";"MNPT 1/4";"0,03-0,3 л/мин";"SS304";"Боросиликатное стекло";"Вода";"SS304/SS304/ПП/NBR/Стекло";"Полипропилен";"NBR";"SS304";"Нет";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - Полипропилен, Уплотнение - NBR, Панель индикации - Боросиликатное стекло";"";;
"P-Type-PS-1-3-2-1-4-1-1-L-1R";"MNPT 1/4";"0,03-0,3 л/мин";"SS304";"Боросиликатное стекло";"Вода";"SS304/SS304/ПП/NBR/Стекло";"Полипропилен";"NBR";"SS304";"Один";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - Полипропилен, Уплотнение - NBR, Панель индикации - Боросиликатное стекло";"";;
"P-Type-PS-1-3-2-1-4-1-1-L-2R";"MNPT 1/4";"0,03-0,3 л/мин";"SS304";"Боросиликатное стекло";"Вода";"SS304/SS304/ПП/NBR/Стекло";"Полипропилен";"NBR";"SS304";"Два";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - Полипропилен, Уплотнение - NBR, Панель индикации - Боросиликатное стекло";"";;
"P-Type-PS-1-3-2-1-4-2-1-L-0";"MNPT 1/4";"0,03-0,3 л/мин";"SS304";"Боросиликатное стекло";"Вода";"SS304/SS304/ПП/Витон/Стекло";"Полипропилен";"Витон";"SS304";"Нет";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - Полипропилен, Уплотнение - Витон, Панель индикации - Боросиликатное стекло";"";;
"P-Type-PS-1-3-2-1-4-2-1-L-1R";"MNPT 1/4";"0,03-0,3 л/мин";"SS304";"Боросиликатное стекло";"Вода";"SS304/SS304/ПП/Витон/Стекло";"Полипропилен";"Витон";"SS304";"Один";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - Полипропилен, Уплотнение - Витон, Панель индикации - Боросиликатное стекло";"";;
"P-Type-PS-1-3-2-1-4-2-1-L-2R";"MNPT 1/4";"0,03-0,3 л/мин";"SS304";"Боросиликатное стекло";"Вода";"SS304/SS304/ПП/Витон/Стекло";"Полипропилен";"Витон";"SS304";"Два";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - Полипропилен, Уплотнение - Витон, Панель индикации - Боросиликатное стекло";"";;
"P-Type-PS-1-3-2-1-5-1-1-L-0";"MNPT 1/4";"0,03-0,3 л/мин";"SS304";"Боросиликатное стекло";"Вода";"SS304/SS304/Нейлон/NBR/Стекло";"Нейлон";"NBR";"SS304";"Нет";"Материалы: Корпус - SS304, Защита - SS304, Поплавок - Нейлон, Уплотнение - NBR, Панель индикации - Боросиликатное стекло";"";;
