pagetitle,15;16;17;25;6
"AR41E100.EX.LT.24/DC";"";"10000 Н ";"24/DC";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E160.EX.LT.24/DC";"";"16000 Н ";"24/DC";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E200.EX.LT.24/DC";"";"20000 Н ";"24/DC";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E250.EX.LT.24/DC";"";"25000 Н ";"24/DC";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E300.EX.LT.24/DC";"";"30000 Н ";"24/DC";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E020.POSI.LT.220/50";"";"2000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E030.POSI.LT.220/50";"";"3000 H ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E050.POSI.LT.220/50";"";"5000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E080.POSI.LT.220/50";"";"8000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E100.POSI.LT.220/50";"";"10000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E160.POSI.LT.220/50";"";"16000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E200.POSI.LT.220/50";"";"20000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E250.POSI.LT.220/50";"";"25000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E300.POSI.LT.220/50";"";"30000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E020.POSI.LT.24/DC";"";"2000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E030.POSI.LT.24/DC";"";"3000 H ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E050.POSI.LT.24/DC";"";"5000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E080.POSI.LT.24/DC";"";"8000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E100.POSI.LT.24/DC";"";"10000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E160.POSI.LT.24/DC";"";"16000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E200.POSI.LT.24/DC";"";"20000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E250.POSI.LT.24/DC";"";"25000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E300.POSI.LT.24/DC";"";"30000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E020.POSI.EX.LT.220/50";"";"2000 Н ";"220/50";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E030.POSI.EX.LT.220/50";"";"3000 H ";"220/50";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E050.POSI.EX.LT.220/50";"";"5000 Н ";"220/50";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E080.POSI.EX.LT.220/50";"";"8000 Н ";"220/50";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E100.POSI.EX.LT.220/50";"";"10000 Н ";"220/50";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E160.POSI.EX.LT.220/50";"";"16000 Н ";"220/50";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E200.POSI.EX.LT.220/50";"";"20000 Н ";"220/50";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E250.POSI.EX.LT.220/50";"";"25000 Н ";"220/50";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E300.POSI.EX.LT.220/50";"";"30000 Н ";"220/50";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E020.POSI.EX.LT.24/DC";"";"2000 Н ";"24/DC";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E030.POSI.EX.LT.24/DC";"";"3000 H ";"24/DC";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E050.POSI.EX.LT.24/DC";"";"5000 Н ";"24/DC";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E080.POSI.EX.LT.24/DC";"";"8000 Н ";"24/DC";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E100.POSI.EX.LT.24/DC";"";"10000 Н ";"24/DC";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E160.POSI.EX.LT.24/DC";"";"16000 Н ";"24/DC";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E200.POSI.EX.LT.24/DC";"";"20000 Н ";"24/DC";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E250.POSI.EX.LT.24/DC";"";"25000 Н ";"24/DC";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E300.POSI.EX.LT.24/DC";"";"30000 Н ";"24/DC";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E020.INT.D.220/50";"";"2000 Н ";"220/50";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E030.INT.D.220/50";"";"3000 H ";"220/50";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E050.INT.D.220/50";"";"5000 Н ";"220/50";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E080.INT.D.220/50";"";"8000 Н ";"220/50";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E100.INT.D.220/50";"";"10000 Н ";"220/50";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E160.INT.D.220/50";"";"16000 Н ";"220/50";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E200.INT.D.220/50";"";"20000 Н ";"220/50";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E250.INT.D.220/50";"";"25000 Н ";"220/50";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E300.INT.D.220/50";"";"30000 Н ";"220/50";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E020.INT.D.24/DC";"";"2000 Н ";"24/DC";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E030.INT.D.24/DC";"";"3000 H ";"24/DC";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E050.INT.D.24/DC";"";"5000 Н ";"24/DC";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E080.INT.D.24/DC";"";"8000 Н ";"24/DC";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E100.INT.D.24/DC";"";"10000 Н ";"24/DC";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E160.INT.D.24/DC";"";"16000 Н ";"24/DC";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E200.INT.D.24/DC";"";"20000 Н ";"24/DC";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E250.INT.D.24/DC";"";"25000 Н ";"24/DC";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E300.INT.D.24/DC";"";"30000 Н ";"24/DC";"интеллектуальный блок ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E020.INT.E.220/50";"";"2000 Н ";"220/50";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E030.INT.E.220/50";"";"3000 H ";"220/50";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E050.INT.E.220/50";"";"5000 Н ";"220/50";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E080.INT.E.220/50";"";"8000 Н ";"220/50";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E100.INT.E.220/50";"";"10000 Н ";"220/50";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E160.INT.E.220/50";"";"16000 Н ";"220/50";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E200.INT.E.220/50";"";"20000 Н ";"220/50";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E250.INT.E.220/50";"";"25000 Н ";"220/50";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E300.INT.E.220/50";"";"30000 Н ";"220/50";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E020.INT.E.24/DC";"";"2000 Н ";"24/DC";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E030.INT.E.24/DC";"";"3000 H ";"24/DC";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E050.INT.E.24/DC";"";"5000 Н ";"24/DC";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
