#;Заказной код;Размер;Параметр:Размер:Наружный диаметр трубы (D);Условное обозначение:Размер:Наружный диаметр трубы (D);Параметр:Размер:d Min.;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CUA;2M;Hy-Lok 2мм;Наружный диаметр трубы;"""1.7""";-;S316;Нержавеющая сталь
;;3M;Hy-Lok 3мм;Наружный диаметр трубы;"""2.4""";BRAS;BRAS;Латунь
;;4M;Hy-Lok 4мм;Наружный диаметр трубы;"""2.4""";STEL;STEL;Углеродистая сталь
;;6M;Hy-Lok 6мм;Наружный диаметр трубы;"""4.8""";;;
;;8M;Hy-Lok 8мм;Наружный диаметр трубы;"""6.4""";;;
;;10M;Hy-Lok 10мм;Наружный диаметр трубы;"""7.9""";;;
;;12M;Hy-Lok 12мм;Наружный диаметр трубы;"""9.5""";;;
;;14M;Hy-Lok 14мм;Наружный диаметр трубы;"""11.1""";;;
;;15M;Hy-Lok 15мм;Наружный диаметр трубы;"""11.9""";;;
;;16M;Hy-Lok 16мм;Наружный диаметр трубы;"""12.7""";;;
;;18M;Hy-Lok 18мм;Наружный диаметр трубы;"""15.1""";;;
;;20M;Hy-Lok 20мм;Наружный диаметр трубы;"""15.9""";;;
;;22M;Hy-Lok 22мм;Наружный диаметр трубы;"""18.3""";;;
;;25M;Hy-Lok 25мм;Наружный диаметр трубы;"""21.8""";;;
;;28M;Hy-Lok 28мм;Наружный диаметр трубы;"""21.8""";;;
;;32M;Hy-Lok 32мм;Наружный диаметр трубы;"""28.6""";;;
;;38M;Hy-Lok 38мм;Наружный диаметр трубы;"""33.7""";;;
;;42M;Hy-Lok 42мм;Наружный диаметр трубы;"""36.0""";;;
