#;Серия;Параметр:Серия:Серия;Условное обозначение:Серия:Cерия;Форма корпуса;Параметр:Форма корпуса:Форма корпуса;Условное обозначение:Форма корпуса:Форма корпуса;Тип подсоединения;Параметр:Тип подсоединения:Тип подсоединения;Условное обозначение:Тип подсоединения:Тип подсоединения;Размеры подсоединений;Параметр:Размеры подсоединений:Размеры подсоединений;Условное обозначение:Размеры подсоединений:Размеры подсоединений;Материал седла;Параметр:Материал седла:Материал седла;Условное обозначение:Материал седла:Материал седла;Применение для кислых сред;Параметр:Применение для кислых сред:Применение для кислых сред;Условное обозначение:Применение для кислых сред:Применение для кислых сред;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал;Серия привода;Параметр:Серия привода:Серия привода;Условное обозначение:Серия привода:Серия привода
;HB1;HB1;Ду 4.2мм;-;-;Проходной 2-х ходовой (по умолчанию);H;H;Трубный фитинг Hy-Lok;2N;2N;"NPT 1/8""";-;-;PCTFE (по умолчанию);-;-;Отсутствует (стандарт);-;S316;Нержавеющая сталь;-;-;Отсутствует
;HB2;HB2;Ду 6.4мм;B3;B3;3-х ходовой;M;M;Наружная резьба;4N;4N;"NPT 1/4""";PK;PK;PEEK;SOG;SOG;NACE MR-01-75;BRAS;BRAS;Латунь;APB-C;APB-C;APB-C пневмопривод нормально закрытый
;HB3;HB3;Ду 10.3мм;;;;F;F;Внутренняя резьба;6N;6N;"NPT 3/8""";P;P;PTFE;;;;;;;APB-O;APB-O;APB-O пневмопривод нормально открытый
;;;;;;;MH;MH;Наружная резьба и трубный фитинг Hy-Lok;8N;8N;"NPT 1/2""";;;;;;;;;;AEB-24DC;AEB-24DC;AEB-24DC электропривод 24v
;;;;;;;MF;MF;Наружная резьба и внутренняя резьба;2R;2R;"RT (BSPT) 1/8""";;;;;;;;;;AEB-220AC;AEB-220AC;AEB-220AC электропривод 220V
;;;;;;;;;;4R;4R;"RT (BSPT) 1/4""";;;;;;;;;;;;
;;;;;;;;;;6R;6R;"RT (BSPT) 3/8""";;;;;;;;;;;;
;;;;;;;;;;8R;8R;"RT (BSPT) 1/2""";;;;;;;;;;;;
;;;;;;;;;;2G;2G;"G (BSPP) 1/8""";;;;;;;;;;;;
;;;;;;;;;;4G;4G;"G (BSPP) 1/4""";;;;;;;;;;;;
;;;;;;;;;;6G;6G;"G (BSPP) 3/8""";;;;;;;;;;;;
;;;;;;;;;;8G;8G;"G (BSPP) 1/2""";;;;;;;;;;;;
;;;;;;;;;;3M;3M;Hy-Lok 3мм;;;;;;;;;;;;
;;;;;;;;;;6M;6M;Hy-Lok 6мм;;;;;;;;;;;;
;;;;;;;;;;8M;8M;Hy-Lok 8мм;;;;;;;;;;;;
;;;;;;;;;;10M;10M;Hy-Lok 10мм;;;;;;;;;;;;
;;;;;;;;;;12M;12M;Hy-Lok 12мм;;;;;;;;;;;;
;;;;;;;;;;2T;2T;"Hy-Lok 1/8""";;;;;;;;;;;;
;;;;;;;;;;4T;4T;"Hy-Lok 1/4""";;;;;;;;;;;;
;;;;;;;;;;6T;6T;"Hy-Lok 3/8""";;;;;;;;;;;;
;;;;;;;;;;8T;8T;"Hy-Lok 1/2""";;;;;;;;;;;;
;;;;;;;;;;12T;12T;"Hy-Lok 3/4""";;;;;;;;;;;;
