#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Штуцер,Параметр:Заказной код:Диапазон давления
,36517751,63 мм,G1/2,снизу,-1..0 бар
,36517750,63 мм,G1/2,снизу,"-1..0,6 бар"
,36496351,63 мм,G1/2,снизу,"-1..1,5 бар"
,36517749,63 мм,G1/2,снизу,-1..3 бар
,36517748,63 мм,G1/2,снизу,-1..5 бар
,36517747,63 мм,G1/2,снизу,-1..9 бар
,36517746,63мм,G1/2,снизу,-1..15 бар
,36517745,63мм,G1/2,снизу,"0,6 бар"
,36517744,63мм,G1/2,снизу,1 бар
,36517743,63мм,G1/2,снизу,"1,6 бар"
,36517742,63мм,G1/2,снизу,"2,5 бар"
,36509406,63мм,G1/2,снизу,4 бар
,36517741,63мм,G1/2,снизу,6 бар
,36494973,63мм,G1/2,снизу,10 бар
,36517739,63мм,G1/2,снизу,16 бар
,36517738,63мм,G1/2,снизу,25 бар
,36517737,63мм,G1/2,снизу,40 бар
,36517736,63мм,G1/2,снизу,60 бар
,36517735,63мм,G1/2,снизу,100 бар
,36517727,63мм,G1/2,снизу,160 бар
,36517726,63мм,G1/2,снизу,250 бар
,36517725,63мм,G1/2,снизу,400 бар
,36517721,63мм,G1/2,снизу,600 бар
,36517719,63мм,G1/2,снизу,1000 бар
,36517720,63мм,G1/2,снизу,1600 бар
,36518879,63мм,G1/2,сзади,-1..0 бар
,36517718,63мм,G1/2,сзади,"-1..0,6 бар"
,36517717,63мм,G1/2,сзади,"-1..1,5 бар"
,36517716,63мм,G1/2,сзади,-1..3 бар
,36517715,63мм,G1/2,сзади,-1..5 бар
,36517714,63мм,G1/2,сзади,-1..9 бар
,36517713,63мм,G1/2,сзади,-1..15 бар
,36517712,63мм,G1/2,сзади,"0,6 бар"
,36517711,63мм,G1/2,сзади,1 бар
,36517710,63мм,G1/2,сзади,"1,6 бар"
,36517709,63мм,G1/2,сзади,"2,5 бар"
,36517706,63мм,G1/2,сзади,4 бар
,36517703,63мм,G1/2,сзади,6 бар
,36517700,63мм,G1/2,сзади,10 бар
,36517698,63мм,G1/2,сзади,16 бар
,36517695,63мм,G1/2,сзади,25 бар
,36517685,63мм,G1/2,сзади,40 бар
,36517684,63мм,G1/2,сзади,60 бар
,36517681,63мм,G1/2,сзади,100 бар
,36517670,63мм,G1/2,сзади,160 бар
,36517669,63мм,G1/2,сзади,250 бар
,36517668,100 мм,G1/2,сзади,400 бар
,36517665,100 мм,G1/2,сзади,600 бар
,36517650,100 мм,G1/2,сзади,1000 бар
,36517649,100 мм,G1/2,сзади,1600 бар
