#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Размер шкалы,Параметр:Заказной код:Давление
,G80.1-S-4N-80A-2.5bar-CL0.25,"NPT 1/4""",80мм,"2,5 бар"
,G80.1-S-4N-80A-10bar-CL0.25,"NPT 1/4""",80мм,10 бар
,G80.1-S-4N-80A-25bar-CL0.25,"NPT 1/4""",80мм,25 бар
,G80.1-S-4N-80A-100bar-CL0.25,"NPT 1/4""",80мм,100 бар
,G80.1-S-4N-80A-250bar-CL0.25,"NPT 1/4""",80мм,250 бар
,G80.1-S-4N-80A-400bar-CL0.25,"NPT 1/4""",80мм,400 бар
,G80.1-S-4N-80A-600bar-CL0.25,"NPT 1/4""",80мм,600 бар
,G80.1-S-4N-80A-1000bar-CL0.25,"NPT 1/4""",80мм,1000 бар
,G80.1-S-8N-80A-4bar-CL0.25,"NPT 1/2""",80мм,4 бар
,G80.1-S-8N-80A-10bar-CL0.25,"NPT 1/2""",80мм,10 бар
,G80.1-S-8N-80A-40bar-CL0.25,"NPT 1/2""",80мм,40 бар
,G80.1-S-8N-80A-100bar-CL0.25,"NPT 1/2""",80мм,100 бар
,G80.1-S-8N-80A-250bar-CL0.25,"NPT 1/2""",80мм,250 бар
,G80.1-S-8N-80A-400bar-CL0.25,"NPT 1/2""",80мм,400 бар
,G80.1-S-8N-80A-600bar-CL0.25,"NPT 1/2""",80мм,600 бар
