#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Корпус
,36594858,250 мм,"G1/2""","2,5 бар","0,1",Алюминий
,36594859,250 мм,"G1/2""",6 бар,"0,1",Алюминий
,36526190,250 мм,"G1/2""",10 бар,"0,1",Алюминий
,36586417,250 мм,"G1/2""",25 бар,"0,1",Алюминий
,36594860,250 мм,"G1/2""",40 бар,"0,1",Алюминий
,36590659,250 мм,"G1/2""",70 бар,"0,1",Алюминий
,36567317,250 мм,"G1/2""",100 бар,"0,1",Алюминий
,36594861,250 мм,"G1/2""",160 бар,"0,1",Алюминий
,36594862,250 мм,"G1/2""",250 бар,"0,1",Алюминий
,36594863,250 мм,"G1/2""",400 бар,"0,1",Алюминий
,36594864,250 мм,"G1/2""",600 бар,"0,1",Алюминий
