#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диапазон давления
,36580758,100 мм,"G 1/2""",1,"0,6 бар"
,36590705,100 мм,"G 1/2""",1,1 бар
,36590706,100 мм,"G 1/2""",1,"1,6 бар"
,36583932,100 мм,"G 1/2""",1,"2,5 бар"
,36519867,100 мм,"G 1/2""",1,4 бар
,36580756,100 мм,"G 1/2""",1,6 бар
,36524335,100 мм,"G 1/2""",1,10 бар
,36558620,100 мм,"G 1/2""",1,16 бар
,36590708,100 мм,"G 1/2""",1,25 бар
,36590710,100 мм,"G 1/2""",1,40 бар
