#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Диапазон давления
,36562256,4,27 мм,"G1/8""",Латунь,4 бар
,36519247,4,27 мм,"G1/8""",Латунь,6 бар
,36541178,4,27 мм,"G1/8""",Латунь,10 бар
,36587501,4,27 мм,"G1/8""",Латунь,16 бар
,36587502,4,27 мм,"G1/8""",Латунь,25 бар
,36587503,4,27 мм,"G1/8""",Латунь,40 бар
,36587504,4,27 мм,"G1/8""",Латунь,100 бар
,36587505,4,27 мм,"G1/8""",Латунь,160 бар
,36554685,4,27 мм,"G1/8""",Латунь,250 бар
,36528875,4,27 мм,"G1/8""",Латунь,400 бар
