#,Заказной код,Параметр:Заказной код:Диапазон давления,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Подсоединение к процессу,Параметр:Заказной код:Тип взрывозащиты
,PSA2000X-10R-A-1-F-1-A,"0,7-7 бар",SS316,"FNPT 1/2""",A*
,PSA2000X-20R-A-1-F-1-A,"2,4-13,8 бар",SS316,"FNPT 1/2""",A*
,PSA2000X-30R-A-1-F-1-A,"3,4-20,7 бар",SS316,"FNPT 1/2""",A*
,PSA2000X-60R-A-1-F-1-A,"6,9-41,4 бар",SS316,"FNPT 1/2""",A*
,PSA2000X-130R-A-1-F-1-A,"13,8-90 бар",SS316,"FNPT 1/2""",A*
,PSA2000X-10R-A-1-F-1-B,"0,7-7 бар",SS316,"FNPT 1/2""",B*
,PSA2000X-20R-A-1-F-1-B,"2,4-13,8 бар",SS316,"FNPT 1/2""",B*
,PSA2000X-30R-A-1-F-1-B,"3,4-20,7 бар",SS316,"FNPT 1/2""",B*
,PSA2000X-60R-A-1-F-1-B,"6,9-41,4 бар",SS316,"FNPT 1/2""",B*
,PSA2000X-130R-A-1-F-1-B,"13,8-90 бар",SS316,"FNPT 1/2""",B*
,PSA2000X-10R-A-1-F-1-C,"0,7-7 бар",SS316,"FNPT 1/2""",C*
,PSA2000X-20R-A-1-F-1-C,"2,4-13,8 бар",SS316,"FNPT 1/2""",C*
,PSA2000X-30R-A-1-F-1-C,"3,4-20,7 бар",SS316,"FNPT 1/2""",C*
,PSA2000X-60R-A-1-F-1-C,"6,9-41,4 бар",SS316,"FNPT 1/2""",C*
,PSA2000X-130R-A-1-F-1-C,"13,8-90 бар",SS316,"FNPT 1/2""",C*
,PSA2000X-10R-A-2-F-1-A,"0,7-7 бар",SS316,"FNPT 1/4""",A*
,PSA2000X-20R-A-2-F-1-A,"2,4-13,8 бар",SS316,"FNPT 1/4""",A*
,PSA2000X-30R-A-2-F-1-A,"3,4-20,7 бар",SS316,"FNPT 1/4""",A*
,PSA2000X-60R-A-2-F-1-A,"6,9-41,4 бар",SS316,"FNPT 1/4""",A*
,PSA2000X-130R-A-2-F-1-A,"13,8-90 бар",SS316,"FNPT 1/4""",A*
,PSA2000X-10R-A-2-F-1-B,"0,7-7 бар",SS316,"FNPT 1/4""",B*
,PSA2000X-20R-A-2-F-1-B,"2,4-13,8 бар",SS316,"FNPT 1/4""",B*
,PSA2000X-30R-A-2-F-1-B,"3,4-20,7 бар",SS316,"FNPT 1/4""",B*
,PSA2000X-60R-A-2-F-1-B,"6,9-41,4 бар",SS316,"FNPT 1/4""",B*
,PSA2000X-130R-A-2-F-1-B,"13,8-90 бар",SS316,"FNPT 1/4""",B*
,PSA2000X-10R-A-2-F-1-C,"0,7-7 бар",SS316,"FNPT 1/4""",C*
,PSA2000X-20R-A-2-F-1-C,"2,4-13,8 бар",SS316,"FNPT 1/4""",C*
,PSA2000X-30R-A-2-F-1-C,"3,4-20,7 бар",SS316,"FNPT 1/4""",C*
,PSA2000X-60R-A-2-F-1-C,"6,9-41,4 бар",SS316,"FNPT 1/4""",C*
,PSA2000X-130R-A-2-F-1-C,"13,8-90 бар",SS316,"FNPT 1/4""",C*
,PSA2000X-10R-A-M-F-1-A,"0,7-7 бар",SS316,M20x1.5,A*
,PSA2000X-20R-A-M-F-1-A,"2,4-13,8 бар",SS316,M20x1.5,A*
,PSA2000X-30R-A-M-F-1-A,"3,4-20,7 бар",SS316,M20x1.5,A*
,PSA2000X-60R-A-M-F-1-A,"6,9-41,4 бар",SS316,M20x1.5,A*
,PSA2000X-130R-A-M-F-1-A,"13,8-90 бар",SS316,M20x1.5,A*
,PSA2000X-10R-A-M-F-1-B,"0,7-7 бар",SS316,M20x1.5,B*
,PSA2000X-20R-A-M-F-1-B,"2,4-13,8 бар",SS316,M20x1.5,B*
,PSA2000X-30R-A-M-F-1-B,"3,4-20,7 бар",SS316,M20x1.5,B*
,PSA2000X-60R-A-M-F-1-B,"6,9-41,4 бар",SS316,M20x1.5,B*
,PSA2000X-130R-A-M-F-1-B,"13,8-90 бар",SS316,M20x1.5,B*
,PSA2000X-10R-A-M-F-1-C,"0,7-7 бар",SS316,M20x1.5,C*
,PSA2000X-20R-A-M-F-1-C,"2,4-13,8 бар",SS316,M20x1.5,C*
,PSA2000X-30R-A-M-F-1-C,"3,4-20,7 бар",SS316,M20x1.5,C*
,PSA2000X-60R-A-M-F-1-C,"6,9-41,4 бар",SS316,M20x1.5,C*
,PSA2000X-130R-A-M-F-1-C,"13,8-90 бар",SS316,M20x1.5,C*
