#,Заказной код,Параметр:Заказной код:Точность,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Питание,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Корпус
,14122591,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,-1...0 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14122676,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,"0...0,1 бар","4...20 мA, 2-проводной",Нерж. сталь
,14122677,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,"0...0,16 бар","4...20 мA, 2-проводной",Нерж. сталь
,14122678,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,"0...0,25 бар","4...20 мA, 2-проводной",Нерж. сталь
,14122680,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,"0...0,4 бар","4...20 мA, 2-проводной",Нерж. сталь
,14122681,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,"0...0,6 бар","4...20 мA, 2-проводной",Нерж. сталь
,14122683,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,0...1 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14122686,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,"0...1,6 бар","4...20 мA, 2-проводной",Нерж. сталь
,14122690,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,"0...2,5 бар","4...20 мA, 2-проводной",Нерж. сталь
,14122691,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,0...4 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14122694,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,0...6 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14122696,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,0...10 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14122697,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,0...16 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14122698,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,0...25 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14122700,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,0...40 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14122703,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,0...60 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14122704,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,0...100 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14122705,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,0...160 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14122706,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,0...250 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14122707,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,0...400 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14122709,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,0...600 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14122713,"0,50%","G 1/2"" наруж.",10 ... 30 В пост. Тока,0...1000 бар,"4...20 мA, 2-проводной",Нерж. сталь
