#,Заказной код,Параметр:Заказной код:Диапазон давления,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Подсоединение к процессу,Параметр:Заказной код:Тип взрывозащиты
,PS1000X-1R-A-1-F-1-A,от -25 до -760мм рт.столба,SS316,"FNPT 1/2""",A*
,PS1000X-1R-A-1-F-1-B,от -25 до -760мм рт.столба,SS316,"FNPT 1/2""",B*
,PS1000X-1R-A-1-F-1-C,от -25 до -760мм рт.столба,SS316,"FNPT 1/2""",C*
,PS1000X-1R-A-2-F-1-A,от -25 до -760мм рт.столба,SS316,"FNPT 1/4""",A*
,PS1000X-1R-A-2-F-1-B,от -25 до -760мм рт.столба,SS316,"FNPT 1/4""",B*
,PS1000X-1R-A-2-F-1-C,от -25 до -760мм рт.столба,SS316,"FNPT 1/4""",C*
,PS1000X-1R-A-M-F-1-A,от -25 до -760мм рт.столба,SS316,M20x1.5,A*
,PS1000X-1R-A-M-F-1-B,от -25 до -760мм рт.столба,SS316,M20x1.5,B*
,PS1000X-1R-A-M-F-1-C,от -25 до -760мм рт.столба,SS316,M20x1.5,C*
