#,Заказной код,Параметр:Заказной код:Подсоединение инструмента,Параметр:Заказной код:Подсоединение процесса,Параметр:Заказной код:Материал верхней части корпуса,Параметр:Заказной код:Диаметр мембраны,Параметр:Заказной код:Материал нижней части корпуса,Параметр:Заказной код:Материал мембраны
,DT110-B-A-2-M-S-S-1,FNPT 1/4,MNPT 1/4,SS316,&Oslash;45мм,SS316,SS316L
,DT110-B-A-2-M-S-S-2,FNPT 1/4,MNPT 1/4,SS316,&Oslash;45мм,SS316,Хастеллой C276
,DT110-B-A-2-M-S-S-3,FNPT 1/4,MNPT 1/4,SS316,&Oslash;45мм,SS316,Танталум
,DT110-B-A-2-F-S-S-1,FNPT 1/4,FNPT 1/4,SS316,&Oslash;45мм,SS316,SS316L
,DT110-B-A-2-F-S-S-2,FNPT 1/4,FNPT 1/4,SS316,&Oslash;45мм,SS316,Хастеллой C276
,DT110-B-A-2-F-S-S-3,FNPT 1/4,FNPT 1/4,SS316,&Oslash;45мм,SS316,Танталум
,DT110-B-A-4-M-S-S-1,FNPT 1/4,MNPT 3/8,SS316,&Oslash;45мм,SS316,SS316L
,DT110-B-A-4-M-S-S-2,FNPT 1/4,MNPT 3/8,SS316,&Oslash;45мм,SS316,Хастеллой C276
,DT110-B-A-4-M-S-S-3,FNPT 1/4,MNPT 3/8,SS316,&Oslash;45мм,SS316,Танталум
,DT110-B-A-4-F-S-S-1,FNPT 1/4,FNPT 3/8,SS316,&Oslash;45мм,SS316,SS316L
,DT110-B-A-4-F-S-S-2,FNPT 1/4,FNPT 3/8,SS316,&Oslash;45мм,SS316,Хастеллой C276
,DT110-B-A-4-F-S-S-3,FNPT 1/4,FNPT 3/8,SS316,&Oslash;45мм,SS316,Танталум
,DT110-B-A-6-M-S-S-1,FNPT 1/4,MNPT 1/2,SS316,&Oslash;45мм,SS316,SS316L
,DT110-B-A-6-M-S-S-2,FNPT 1/4,MNPT 1/2,SS316,&Oslash;45мм,SS316,Хастеллой C276
,DT110-B-A-6-M-S-S-3,FNPT 1/4,MNPT 1/2,SS316,&Oslash;45мм,SS316,Танталум
,DT110-B-A-6-F-S-S-1,FNPT 1/4,FNPT 1/2,SS316,&Oslash;45мм,SS316,SS316L
,DT110-B-A-6-F-S-S-2,FNPT 1/4,FNPT 1/2,SS316,&Oslash;45мм,SS316,Хастеллой C276
,DT110-B-A-6-F-S-S-3,FNPT 1/4,FNPT 1/2,SS316,&Oslash;45мм,SS316,Танталум
,DT110-B-A-M-M-S-S-1,FNPT 1/4,M20x1.5 наруж. ,SS316,&Oslash;45мм,SS316,SS316L
,DT110-B-A-M-M-S-S-2,FNPT 1/4,M20x1.5 наруж. ,SS316,&Oslash;45мм,SS316,Хастеллой C276
,DT110-B-A-M-M-S-S-3,FNPT 1/4,M20x1.5 наруж. ,SS316,&Oslash;45мм,SS316,Танталум
