#,Заказной код,Параметр:Заказной код:Диапазон давления,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Подсоединение к процессу,Параметр:Заказной код:Микропереключатели
,DPS2000X-09R-A-1-A-1,"0-0,6 бар",SS316,"FNPT 1/4""",SPDTx1
,DPS2000X-11R-A-1-A-1,"0-0,75 бар",SS316,"FNPT 1/4""",SPDTx1
,DPS2000X-14R-A-1-A-1,0-1 бар,SS316,"FNPT 1/4""",SPDTx1
,DPS2000X-30R-A-1-A-1,0-2 бар,SS316,"FNPT 1/4""",SPDTx1
,DPS2000X-40R-A-1-A-1,"0-2,5 бар",SS316,"FNPT 1/4""",SPDTx1
,DPS2000X-60R-A-1-A-1,0-4 бар,SS316,"FNPT 1/4""",SPDTx1
,DPS2000X-100R-A-1-A-1,0-7 бар,SS316,"FNPT 1/4""",SPDTx1
,DPS2000X-140R-A-1-A-1,0-10 бар,SS316,"FNPT 1/4""",SPDTx1
,DPS2000X-200R-A-1-A-1,0-14 бар,SS316,"FNPT 1/4""",SPDTx1
