#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давления абсолютное,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Корпус
,36589673,100 мм,"G1/2""","0,6 бар","1,6","Нержавеющая сталь 1,4301"
,36594879,100 мм,"G1/2""","2,5 бар","1,6","Нержавеющая сталь 1,4301"
,36594880,100 мм,"G1/2""",4 бар,"1,6","Нержавеющая сталь 1,4301"
,36594881,100 мм,"G1/2""",6 бар,"1,6","Нержавеющая сталь 1,4301"
,36509598,100 мм,"G1/2""",10 бар,"1,6","Нержавеющая сталь 1,4301"
,36594882,100 мм,"G1/2""",16 бар,"1,6","Нержавеющая сталь 1,4301"
,36589684,100 мм,"G1/2""",25 бар,"1,6","Нержавеющая сталь 1,4301"
