#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Штуцер,Параметр:Заказной код:Диапазон давления
,612-20-160-600-0m,160 мм,G1/2B,снизу,от -600 до 0 мбар
,612-20-160-400-0m,160 мм,G1/2B,снизу,от -400 до 0 мбар
,612-20-160-250-0m,160 мм,G1/2B,снизу,от -250 до 0 мбар
,612-20-160-160-0m,160 мм,G1/2B,снизу,от -160 до 0 мбар
,612-20-160-100-0m,160 мм,G1/2B,снизу,от -100 до 0 мбар
,612-20-160-60-0m,160 мм,G1/2B,снизу,от -60 до 0 мбар
,612-20-160-40-0m,160 мм,G1/2B,снизу,от -40 до 0 мбар
,612-20-160-25-0m,160 мм,G1/2B,снизу,от -25 до 0 мбар
,612-20-160-16-0m,160 мм,G1/2B,снизу,от -16 до 0 мбар
,612-20-160-10-0m,160 мм,G1/2B,снизу,от -10 до 0 мбар
,612-20-160-6-0m,160 мм,G1/2B,снизу,от -6 до 0 мбар
,612-20-160-0-6m,160 мм,G1/2B,снизу,от 0 до 6 мбар
,612-20-160-0-10m,160 мм,G1/2B,снизу,от 0 до 10 мбар
,612-20-160-0-16m,160 мм,G1/2B,снизу,от 0 до 16 мбар
,612-20-160-0-25m,160 мм,G1/2B,снизу,от 0 до 25 мбар
,612-20-160-0-40m,160 мм,G1/2B,снизу,от 0 до 40 мбар
,612-20-160-0-60m,160 мм,G1/2B,снизу,от 0 до 60 мбар
,612-20-160-0-100m,160 мм,G1/2B,снизу,от 0 до 100 мбар
,612-20-160-0-160m,160 мм,G1/2B,снизу,от 0 до 160 мбар
,612-20-160-0-250m,160 мм,G1/2B,снизу,от 0 до 250 мбар
,612-20-160-0-400m,160 мм,G1/2B,снизу,от 0 до 400 мбар
,612-20-160-0-600m,160 мм,G1/2B,снизу,от 0 до 600 мбар
,612-20-160-600-0m-b,160 мм,G1/2B,сзади,от -600 до 0 мбар
,612-20-160-400-0m-b,160 мм,G1/2B,сзади,от -400 до 0 мбар
,612-20-160-250-0m-b,160 мм,G1/2B,сзади,от -250 до 0 мбар
,612-20-160-160-0m-b,160 мм,G1/2B,сзади,от -160 до 0 мбар
,612-20-160-100-0m-b,160 мм,G1/2B,сзади,от -100 до 0 мбар
,612-20-160-60-0m-b,160 мм,G1/2B,сзади,от -60 до 0 мбар
