#,Заказной код,Параметр:Заказной код:Диапазон давления,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Подсоединение к процессу
,PS1000W-1R-A-1-F-2,от -25 до -760 мм рт.столба,SS316,"FNPT 1/2"""
,PS1000W-1R-A-2-F-2,от -25 до -760 мм рт.столба,SS316,"FNPT 1/4"""
,PS1000W-1R-A-M-F-2,от -25 до -760 мм рт.столба,SS316,M20x1.5
