#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Материал
,36586537,1,160мм,"G 1/2""","0,6 бар",Нержавеющая сталь
,36553644,1,160мм,"G 1/2""","1,6 бар",Нержавеющая сталь
,36537562,1,160мм,"G 1/2""","2,5 бар",Нержавеющая сталь
,36586538,1,160мм,"G 1/2""",4 бар,Нержавеющая сталь
,36547232,1,160мм,"G 1/2""",6 бар,Нержавеющая сталь
,36502420,1,160мм,"G 1/2""",10 бар,Нержавеющая сталь
,36516661,1,160мм,"G 1/2""",16 бар,Нержавеющая сталь
,36547231,1,160мм,"G 1/2""",25 бар,Нержавеющая сталь
,36537561,1,160мм,"G 1/2""",40 бар,Нержавеющая сталь
,36617993,1,160мм,"G 1/2""",60 бар,Нержавеющая сталь
,36586539,1,160мм,"G 1/2""",70 бар,Нержавеющая сталь
,36549283,1,160мм,"G 1/2""",100 бар,Нержавеющая сталь
,36586540,1,160мм,"G 1/2""",160 бар,Нержавеющая сталь
,36571197,1,160мм,"G 1/2""",250 бар,Нержавеющая сталь
,36526553,1,160мм,"G 1/2""",400 бар,Нержавеющая сталь
,36509471,1,160мм,"G 1/2""",600 бар,Нержавеющая сталь
