#,Заказной код,Параметр:Заказной код:Подсоединение инструмента,Параметр:Заказной код:Подсоединение процесса,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Материал мембраны,
,DT103-B-3-S-1,"FNPT 1/4""","BSPP 1"" наруж.",SS316,SS316L,
,DT103-B-4-S-1,"FNPT 1/4""","BSPP 1 1/2"" наруж.",SS316,SS316L,
,DT103-B-5-S-1,"FNPT 1/4""","BSPP 2"" наруж.",SS316,SS316L,
,DT103-D-3-S-1,"FNPT 3/8""","BSPP 1"" наруж.",SS316,SS316L,
,DT103-D-4-S-1,"FNPT 3/8""","BSPP 1 1/2"" наруж.",SS316,SS316L,
,DT103-D-5-S-1,"FNPT 3/8""","BSPP 2"" наруж.",SS316,SS316L,
,DT103-F-3-S-1,"FNPT 1/2""","BSPP 1"" наруж.",SS316,SS316L,
,DT103-F-4-S-1,"FNPT 1/2""","BSPP 1 1/2"" наруж.",SS316,SS316L,
,DT103-F-5-S-1,"FNPT 1/2""","BSPP 2"" наруж.",SS316,SS316L,
,DT103-M-6-S-1,M20x1.5 внутр.,"BSPP 1"" наруж.",SS316,SS316L,
,DT103-M-7-S-1,M20x1.5 внутр.,"BSPP 1 1/2"" наруж.",SS316,SS316L,
,DT103-M-8-S-1,M20x1.5 внутр.,"BSPP 2"" наруж.",SS316,SS316L,
