#,Заказной код,Параметр:Заказной код:Подсоединение инструмента,Параметр:Заказной код:Подсоединение процесса,Параметр:Заказной код:Материал верхней части корпуса,Параметр:Заказной код:Материал нижней части корпуса,Параметр:Заказной код:Материал мембраны
,DT108-B-2-M-S-S-1,FNPT 1/4,MNPT 1/4,SS316,SS316,SS316L
,DT108-B-2-F-S-S-1,FNPT 1/4,FNPT 1/4,SS316,SS316,SS316L
,DT108-B-4-M-S-S-1,FNPT 1/4,MNPT 3/8,SS316,SS316,SS316L
,DT108-B-4-F-S-S-1,FNPT 1/4,FNPT 3/8,SS316,SS316,SS316L
,DT108-B-6-M-S-S-1,FNPT 1/4,MNPT 1/2,SS316,SS316,SS316L
,DT108-B-6-F-S-S-1,FNPT 1/4,FNPT 1/2,SS316,SS316,SS316L
,DT108-B-M-M-S-S-1,FNPT 1/4,MNPT 1/4,SS316,SS316,SS316L
,DT108-B-M-F-S-S-1,FNPT 1/4,M20x1.5 внутр.,SS316,SS316,SS316L
,DT108-D-2-M-S-S-1,FNPT 3/8,MNPT 3/8,SS316,SS316,SS316L
,DT108-D-2-F-S-S-1,FNPT 3/8,FNPT 1/4,SS316,SS316,SS316L
,DT108-D-4-M-S-S-1,FNPT 3/8,MNPT 1/2,SS316,SS316,SS316L
,DT108-D-4-F-S-S-1,FNPT 3/8,FNPT 3/8,SS316,SS316,SS316L
,DT108-D-6-M-S-S-1,FNPT 3/8,MNPT 1/4,SS316,SS316,SS316L
,DT108-D-6-F-S-S-1,FNPT 3/8,FNPT 1/2,SS316,SS316,SS316L
,DT108-D-M-M-S-S-1,FNPT 3/8,MNPT 3/8,SS316,SS316,SS316L
,DT108-D-M-F-S-S-1,FNPT 3/8,M20x1.5 внутр.,SS316,SS316,SS316L
,DT108-F-2-M-S-S-1,FNPT 1/2,MNPT 1/2,SS316,SS316,SS316L
,DT108-F-2-F-S-S-1,FNPT 1/2,FNPT 1/4,SS316,SS316,SS316L
,DT108-F-4-M-S-S-1,FNPT 1/2,MNPT 1/4,SS316,SS316,SS316L
,DT108-F-4-F-S-S-1,FNPT 1/2,FNPT 3/8,SS316,SS316,SS316L
,DT108-F-6-M-S-S-1,FNPT 1/2,MNPT 3/8,SS316,SS316,SS316L
,DT108-F-6-F-S-S-1,FNPT 1/2,FNPT 1/2,SS316,SS316,SS316L
,DT108-F-M-M-S-S-1,FNPT 1/2,MNPT 1/2,SS316,SS316,SS316L
,DT108-F-M-F-S-S-1,FNPT 1/2,M20x1.5 внутр.,SS316,SS316,SS316L
,DT108-M-2-M-S-S-1,M20x1.5 внутр.,MNPT 1/4,SS316,SS316,SS316L
,DT108-M-2-F-S-S-1,M20x1.5 внутр.,FNPT 1/4,SS316,SS316,SS316L
,DT108-M-4-M-S-S-1,M20x1.5 внутр.,MNPT 3/8,SS316,SS316,SS316L
,DT108-M-4-F-S-S-1,M20x1.5 внутр.,FNPT 3/8,SS316,SS316,SS316L
,DT108-M-6-M-S-S-1,M20x1.5 внутр.,MNPT 1/2,SS316,SS316,SS316L
,DT108-M-6-F-S-S-1,M20x1.5 внутр.,FNPT 1/2,SS316,SS316,SS316L
,DT108-M-7-M-S-S-1,M20x1.5 внутр.,M20x1.5 наруж.,SS316,SS316,SS316L
,DT108-M-7-F-S-S-1,M20x1.5 внутр.,M20x1.5 внутр.,SS316,SS316,SS316L
,DT108-B-1-M-S-S-1,G1/4 внутр.,G 1/4 наруж.,SS316,SS316,SS316L
,DT108-B-1-F-S-S-1,G1/4 внутр.,G 1/4 внутр.,SS316,SS316,SS316L
,DT108-B-3-M-S-S-1,G1/4 внутр.,G 3/8 наруж.,SS316,SS316,SS316L
,DT108-B-3-F-S-S-1,G1/4 внутр.,G 3/8 внутр.,SS316,SS316,SS316L
,DT108-B-5-M-S-S-1,G1/4 внутр.,G 1/2 наруж.,SS316,SS316,SS316L
,DT108-B-5-F-S-S-1,G1/4 внутр.,G 1/2 внутр.,SS316,SS316,SS316L
,DT108-A-M-F-S-S-1,G1/4 внутр.,M20x1.5 внутр.,SS316,SS316,SS316L
,DT108-D-3-M-S-S-1,G3/8 внутр.,G 3/8 наруж.,SS316,SS316,SS316L
,DT108-D-1-F-S-S-1,G3/8 внутр.,G 1/4 внутр.,SS316,SS316,SS316L
,DT108-D-5-M-S-S-1,G3/8 внутр.,G 1/2 наруж.,SS316,SS316,SS316L
