#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диапазон давления
,36595123  ,63 мм,"клэмп BS4825 DN 1 1/2'""","2,5",-1…2 бар
,36595125  ,63 мм,"клэмп BS4825 DN 1 1/2'""","2,5",-1…4 бар
,36564106  ,63 мм,"клэмп BS4825 DN 1 1/2'""","2,5",-1…9 бар
,36595126  ,63 мм,"клэмп BS4825 DN 1 1/2'""","2,5",0…3 бар
,36595128  ,63 мм,"клэмп BS4825 DN 1 1/2'""","2,5",0…5 бар
,36595129  ,63 мм,"клэмп BS4825 DN 1 1/2'""","2,5",0…10 бар
