#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Диапазон давления
,36532321,"2,5","G 1/4""",сталь,"0…0,6 бар"
,36532322,"2,5","G 1/4""",сталь,0…1 бар
,36532323,"2,5","G 1/4""",сталь,"0…1,6 бар"
,36532324,"2,5","G 1/4""",сталь,"0…2,5 бар"
,36532325,"2,5","G 1/4""",сталь,0…4 бар
,9040480,"2,5","G 1/4""",сталь,0…6 бар
,9070478,"2,5","G 1/4""",сталь,0…10 бар
,36532327,"2,5","G 1/4""",сталь,0…16 бар
,36532328,"2,5","G 1/4""",сталь,0…25 бар
,36532343,"1,6","G 1/4""",сталь,"0…0,6 бар"
,36532344,"1,6","G 1/4""",сталь,0…1 бар
,36532346,"1,6","G 1/4""",сталь,"0…1,6 бар"
,36532347,"1,6","G 1/4""",сталь,"0…2,5 бар"
,36532348,"1,6","G 1/4""",сталь,0…4 бар
,36532349,"1,6","G 1/4""",сталь,0…6 бар
,36532350,"1,6","G 1/4""",сталь,0…10 бар
,36532351,"1,6","G 1/4""",сталь,0…16 бар
,36532352,"1,6","G 1/4""",сталь,0…25 бар
,36516969,"2,5","М20х1,5",сталь,-1…0 бар
,36516970,"2,5","М20х1,5",сталь,0…6 бар
,36516971,"2,5","М20х1,5",сталь,0…10 бар
,36516972,"2,5","М20х1,5",сталь,0…16 бар
,36516973,"2,5","М20х1,5",сталь,0…25 бар
,36516974,"2,5","М20х1,5",сталь,0…40 бар
,36516975,"1,6","М20х1,5",сталь,-1…0 бар
,36516976,"1,6","М20х1,5",сталь,0…6 бар
,36516977,"1,6","М20х1,5",сталь,0…10 бар
,36516978,"1,6","М20х1,5",сталь,0…16 бар
,36516979,"1,6","М20х1,5",сталь,0…25 бар
,36516980,"1,6","М20х1,5",сталь,0…40 бар
