#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Питание,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Корпус
,36573451,"G1/4"" наруж.",8…30V DC,"0,6 бар","4-20 мА, 2-проводной",Нерж. сталь
,12719049,"G1/4"" наруж.",8…30V DC,1 бар,"4-20 мА, 2-проводной",Нерж. сталь
,12719405,"G1/4"" наруж.",8…30V DC,"1,6 бар","4-20 мА, 2-проводной",Нерж. сталь
,12719243,"G1/4"" наруж.",8…30V DC,"2,5 бар","4-20 мА, 2-проводной",Нерж. сталь
,12719251,"G1/4"" наруж.",8…30V DC,4 бар,"4-20 мА, 2-проводной",Нерж. сталь
,12719391,"G1/4"" наруж.",8…30V DC,6 бар,"4-20 мА, 2-проводной",Нерж. сталь
,12719260,"G1/4"" наруж.",8…30V DC,10 бар,"4-20 мА, 2-проводной",Нерж. сталь
,12719286,"G1/4"" наруж.",8…30V DC,16 бар,"4-20 мА, 2-проводной",Нерж. сталь
,12719308,"G1/4"" наруж.",8…30V DC,25 бар,"4-20 мА, 2-проводной",Нерж. сталь
,12719316,"G1/4"" наруж.",8…30V DC,40 бар,"4-20 мА, 2-проводной",Нерж. сталь
,12719324,"G1/4"" наруж.",8…30V DC,60 бар,"4-20 мА, 2-проводной",Нерж. сталь
,12719383,"G1/4"" наруж.",8…30V DC,100 бар,"4-20 мА, 2-проводной",Нерж. сталь
,12719375,"G1/4"" наруж.",8…30V DC,160 бар,"4-20 мА, 2-проводной",Нерж. сталь
,12719332,"G1/4"" наруж.",8…30V DC,250 бар,"4-20 мА, 2-проводной",Нерж. сталь
,12719341,"G1/4"" наруж.",8…30V DC,400 бар,"4-20 мА, 2-проводной",Нерж. сталь
,12719367,"G1/4"" наруж.",8…30V DC,600 бар,"4-20 мА, 2-проводной",Нерж. сталь
,45702091,"G1/4"" наруж.",8…30V DC,1000 бар,"4-20 мА, 2-проводной",Нерж. сталь
,14116248,"G1/4"" наруж.",14…30V DC,"0,6 бар","0-10 V, 3-проводной",Нерж. сталь
,12852822,"G1/4"" наруж.",14…30V DC,1 бар,"0-10 V, 3-проводной",Нерж. сталь
,12963446,"G1/4"" наруж.",14…30V DC,"1,6 бар","0-10 V, 3-проводной",Нерж. сталь
,12909913,"G1/4"" наруж.",14…30V DC,"2,5 бар","0-10 V, 3-проводной",Нерж. сталь
,12725421,"G1/4"" наруж.",14…30V DC,4 бар,"0-10 V, 3-проводной",Нерж. сталь
,13212532,"G1/4"" наруж.",14…30V DC,6 бар,"0-10 V, 3-проводной",Нерж. сталь
,12725057,"G1/4"" наруж.",14…30V DC,10 бар,"0-10 V, 3-проводной",Нерж. сталь
,12784720,"G1/4"" наруж.",14…30V DC,16 бар,"0-10 V, 3-проводной",Нерж. сталь
,12873315,"G1/4"" наруж.",14…30V DC,25 бар,"0-10 V, 3-проводной",Нерж. сталь
,12910903,"G1/4"" наруж.",14…30V DC,40 бар,"0-10 V, 3-проводной",Нерж. сталь
,12725448,"G1/4"" наруж.",14…30V DC,60 бар,"0-10 V, 3-проводной",Нерж. сталь
,12850838,"G1/4"" наруж.",14…30V DC,100 бар,"0-10 V, 3-проводной",Нерж. сталь
,12887430,"G1/4"" наруж.",14…30V DC,160 бар,"0-10 V, 3-проводной",Нерж. сталь
,12725111,"G1/4"" наруж.",14…30V DC,250 бар,"0-10 V, 3-проводной",Нерж. сталь
,12725102,"G1/4"" наруж.",14…30V DC,400 бар,"0-10 V, 3-проводной",Нерж. сталь
,12850781,"G1/4"" наруж.",14…30V DC,600 бар,"0-10 V, 3-проводной",Нерж. сталь
,14059245,"G1/4"" наруж.",14…30V DC,1000 бар,"0-10 V, 3-проводной",Нерж. сталь
