#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Корпус
,36592084,100 мм,1/4 VCR накидная гайка,1 бар,"0,25% ASME","Нерж сталь 1,4301"
,36592087,100 мм,1/4 VCR накидная гайка,4 бар,"0,25% ASME","Нерж сталь 1,4302"
,36592088,100 мм,1/4 VCR накидная гайка,10 бар,"0,25% ASME","Нерж сталь 1,4303"
,36592089,100 мм,1/4 VCR накидная гайка,16 бар,"0,25% ASME","Нерж сталь 1,4304"
,36592090,100 мм,1/4 VCR накидная гайка,25 бар,"0,25% ASME","Нерж сталь 1,4305"
,36592091,100 мм,1/4 VCR накидная гайка,40 бар,"0,25% ASME","Нерж сталь 1,4306"
,36592092,100 мм,1/4 VCR накидная гайка,140 бар,"0,25% ASME","Нерж сталь 1,4307"
,36592093,100 мм,1/4 VCR накидная гайка,250 бар,"0,25% ASME","Нерж сталь 1,4308"
,36592094,100 мм,1/4 VCR накидная гайка,315 бар,"0,25% ASME","Нерж сталь 1,4308"
