#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Диапазон давления
,36532296,"2,5","G 1/2""",пластик,"0…0,6 бар"
,36532298,"2,5","G 1/2""",пластик,0…1 бар
,36532299,"2,5","G 1/2""",пластик,"0…1,6 бар"
,36532300,"2,5","G 1/2""",пластик,"0…2,5 бар"
,36532301,"2,5","G 1/2""",пластик,0…4 бар
,31104987,"2,5","G 1/2""",пластик,0…6 бар
,9012575,"2,5","G 1/2""",пластик,0…10 бар
,31104925,"2,5","G 1/2""",пластик,0…16 бар
,36532302,"2,5","G 1/2""",пластик,0…25 бар
,7581999,"1,6","G 1/2""",сталь,"0…0,6 бар"
,7150785,"1,6","G 1/2""",сталь,0…1 бар
,9329063,"1,6","G 1/2""",сталь,"0…2,5 бар"
,9329065,"1,6","G 1/2""",сталь,0…4 бар
,9329066,"1,6","G 1/2""",сталь,0…6 бар
,9329067,"1,6","G 1/2""",сталь,0…10 бар
,9329068,"1,6","G 1/2""",сталь,0…16 бар
,9329070,"1,6","G 1/2""",сталь,0…25 бар
,36516957,"2,5","М20х1,5",пластик,-1…0 бар
,36516958,"2,5","М20х1,5",пластик,0…6 бар
,36516959,"2,5","М20х1,5",пластик,0…10 бар
,36516960,"2,5","М20х1,5",пластик,0…16 бар
,36516961,"2,5","М20х1,5",пластик,0…25 бар
,36516962,"2,5","М20х1,5",пластик,0…40 бар
,9329088,"1,6","М20х1,5",сталь,0…6 бар
,9329082,"1,6","М20х1,5",сталь,0…10 бар
,9329083,"1,6","М20х1,5",сталь,0…16 бар
,9329084,"1,6","М20х1,5",сталь,0…25 бар
,9329086,"1,6","М20х1,5",сталь,0…40 бар
