#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Диапазон давления
,36532308,"2,5","G 1/4""",пластик,"0…0,6 бар"
,36532312,"2,5","G 1/4""",пластик,0…1 бар
,36532313,"2,5","G 1/4""",пластик,"0…1,6 бар"
,36532314,"2,5","G 1/4""",пластик,"0…2,5 бар"
,36532315,"2,5","G 1/4""",пластик,0…4 бар
,36532316,"2,5","G 1/4""",пластик,0…6 бар
,9083952,"2,5","G 1/4""",пластик,0…10 бар
,36532318,"2,5","G 1/4""",пластик,0…16 бар
,36532319,"2,5","G 1/4""",пластик,0…25 бар
,36516963,"2,5","М12х1,5",пластик,-1…0 бар
,36516964,"2,5","М12х1,5",пластик,0…6 бар
,36516965,"2,5","М12х1,5",пластик,0…10 бар
,36516966,"2,5","М12х1,5",пластик,0…16 бар
,36516967,"2,5","М12х1,5",пластик,0…25 бар
,36516968,"2,5","М12х1,5",пластик,0…40 бар
