#,Заказной код,Параметр:Заказной код:Диаметр шкалы,Параметр:Заказной код:Диапазон давлений,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Подсоединение к процессу
,"G66-S-4N-100D-0,10bar",100 мм,"0-0,10 бар",SS316,"FNPT 1/4"""
,"G66-S-4N-150D-0,10bar",150 мм,"0-0,10 бар",SS316,"FNPT 1/4"""
,"G66-S-4N-100D-0,16bar",100 мм,"0-0,16 бар",SS316,"FNPT 1/4"""
,"G66-S-4N-150D-0,16bar",150 мм,"0-0,16 бар",SS316,"FNPT 1/4"""
,"G66-S-4N-100D-0,20bar",100 мм,"0-0,20 бар",SS316,"FNPT 1/4"""
,"G66-S-4N-150D-0,20bar",150 мм,"0-0,20 бар",SS316,"FNPT 1/4"""
,"G66-S-4N-100D-0,25bar",100 мм,"0-0,25 бар",SS316,"FNPT 1/4"""
,"G66-S-4N-150D-0,25bar",150 мм,"0-0,25 бар",SS316,"FNPT 1/4"""
,"G66-S-4N-100D-0,40bar",100 мм,"0-0,40 бар",SS316,"FNPT 1/4"""
,"G66-S-4N-150D-0,40bar",150 мм,"0-0,40 бар",SS316,"FNPT 1/4"""
,"G66-S-4N-100D-0,050bar",100 мм,"0-0,050 бар",SS316,"FNPT 1/4"""
,"G66-S-4N-150D-0,050bar",150 мм,"0-0,050 бар",SS316,"FNPT 1/4"""
,"G66-S-4N-100D-0,075bar",100 мм,"0-0,075 бар",SS316,"FNPT 1/4"""
,"G66-S-4N-150D-0,075bar",150 мм,"0-0,075 бар",SS316,"FNPT 1/4"""
,"G66-S-8N-100D-0,10bar",100 мм,"0-0,10 бар",SS316,"FNPT 1/2"""
,"G66-S-8N-150D-0,10bar",150 мм,"0-0,10 бар",SS316,"FNPT 1/2"""
,"G66-S-8N-100D-0,16bar",100 мм,"0-0,16 бар",SS316,"FNPT 1/2"""
,"G66-S-8N-150D-0,16bar",150 мм,"0-0,16 бар",SS316,"FNPT 1/2"""
,"G66-S-8N-100D-0,20bar",100 мм,"0-0,20 бар",SS316,"FNPT 1/2"""
,"G66-S-8N-150D-0,20bar",150 мм,"0-0,20 бар",SS316,"FNPT 1/2"""
,"G66-S-8N-100D-0,25bar",100 мм,"0-0,25 бар",SS316,"FNPT 1/2"""
,"G66-S-8N-150D-0,25bar",150 мм,"0-0,25 бар",SS316,"FNPT 1/2"""
,"G66-S-8N-100D-0,40bar",100 мм,"0-0,40 бар",SS316,"FNPT 1/2"""
,"G66-S-8N-150D-0,40bar",150 мм,"0-0,40 бар",SS316,"FNPT 1/2"""
,"G66-S-8N-100D-0,050bar",100 мм,"0-0,050 бар",SS316,"FNPT 1/2"""
,"G66-S-8N-150D-0,050bar",150 мм,"0-0,050 бар",SS316,"FNPT 1/2"""
,"G66-S-8N-100D-0,075bar",100 мм,"0-0,075 бар",SS316,"FNPT 1/2"""
,"G66-S-8N-150D-0,075bar",150 мм,"0-0,075 бар",SS316,"FNPT 1/2"""
,"G66-S-20M-100D-0,10bar",100 мм,"0-0,10 бар",SS316,M20x1.5
,"G66-S-20M-150D-0,10bar",150 мм,"0-0,10 бар",SS316,M20x1.5
,"G66-S-20M-100D-0,16bar",100 мм,"0-0,16 бар",SS316,M20x1.5
,"G66-S-20M-150D-0,16bar",150 мм,"0-0,16 бар",SS316,M20x1.5
,"G66-S-20M-100D-0,20bar",100 мм,"0-0,20 бар",SS316,M20x1.5
,"G66-S-20M-150D-0,20bar",150 мм,"0-0,20 бар",SS316,M20x1.5
,"G66-S-20M-100D-0,25bar",100 мм,"0-0,25 бар",SS316,M20x1.5
,"G66-S-20M-150D-0,25bar",150 мм,"0-0,25 бар",SS316,M20x1.5
,"G66-S-20M-100D-0,40bar",100 мм,"0-0,40 бар",SS316,M20x1.5
,"G66-S-20M-150D-0,40bar",150 мм,"0-0,40 бар",SS316,M20x1.5
,"G66-S-20M-100D-0,050bar",100 мм,"0-0,050 бар",SS316,M20x1.5
,"G66-S-20M-150D-0,050bar",150 мм,"0-0,050 бар",SS316,M20x1.5
,"G66-S-20M-100D-0,075bar",100 мм,"0-0,075 бар",SS316,M20x1.5
,"G66-S-20M-150D-0,075bar",150 мм,"0-0,075 бар",SS316,M20x1.5
