,"Код","Параметр:Код:Подсоед. инструмента","Параметр:Код:Подсоед. к процессу","Параметр:Код:Материал верхней части корпуса","Параметр:Код:Диаметр мембраны","Параметр:Код:Материал нижней части корпуса","Параметр:Код:Материал мембраны"
,"DT123-B-B-2-G16-S-T-1","FNPT 1/4","Гост Py16 Dy20","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-B-2-G16-S-T-2","FNPT 1/4","Гост Py16 Dy20","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-B-2-G16-S-T-3","FNPT 1/4","Гост Py16 Dy20","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-B-2-G25-S-T-1","FNPT 1/4","Гост Py25 Dy20","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-B-2-G25-S-T-2","FNPT 1/4","Гост Py25 Dy20","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-B-2-G25-S-T-3","FNPT 1/4","Гост Py25 Dy20","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-B-3-1-S-T-1","FNPT 1/4","ANSI 150# 1","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-B-3-1-S-T-2","FNPT 1/4","ANSI 150# 1","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-B-3-1-S-T-3","FNPT 1/4","ANSI 150# 1","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-B-3-2-S-T-1","FNPT 1/4","ANSI 300# 1","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-B-3-2-S-T-2","FNPT 1/4","ANSI 300# 1","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-B-3-2-S-T-3","FNPT 1/4","ANSI 300# 1","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-B-3-G10-S-T-1","FNPT 1/4","Гост Py10 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-B-3-G10-S-T-2","FNPT 1/4","Гост Py10 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-B-3-G10-S-T-3","FNPT 1/4","Гост Py10 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-B-3-G16-S-T-1","FNPT 1/4","Гост Py16 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-B-3-G16-S-T-2","FNPT 1/4","Гост Py16 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-B-3-G16-S-T-3","FNPT 1/4","Гост Py16 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-B-3-G25-S-T-1","FNPT 1/4","Гост Py25 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-B-3-G25-S-T-2","FNPT 1/4","Гост Py25 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-B-3-G25-S-T-3","FNPT 1/4","Гост Py25 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-B-4-1-S-T-1","FNPT 1/4","ANSI 150# 1 1/2","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-B-4-1-S-T-2","FNPT 1/4","ANSI 150# 1 1/2","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-B-4-1-S-T-3","FNPT 1/4","ANSI 150# 1 1/2","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-B-4-2-S-T-1","FNPT 1/4","ANSI 300# 1 1/2","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-B-4-2-S-T-2","FNPT 1/4","ANSI 300# 1 1/2","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-B-4-2-S-T-3","FNPT 1/4","ANSI 300# 1 1/2","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-B-4-G10-S-T-1","FNPT 1/4","Гост Py10 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-B-4-G10-S-T-2","FNPT 1/4","Гост Py10 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-B-4-G10-S-T-3","FNPT 1/4","Гост Py10 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-B-4-G16-S-T-1","FNPT 1/4","Гост Py16 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-B-4-G16-S-T-2","FNPT 1/4","Гост Py16 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-B-4-G16-S-T-3","FNPT 1/4","Гост Py16 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-B-4-G25-S-T-1","FNPT 1/4","Гост Py25 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-B-4-G25-S-T-2","FNPT 1/4","Гост Py25 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-B-4-G25-S-T-3","FNPT 1/4","Гост Py25 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-C-5-1-S-T-1","FNPT 1/4","ANSI 150# 2","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-C-5-1-S-T-2","FNPT 1/4","ANSI 150# 2","SS316","ø75мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-C-5-1-S-T-3","FNPT 1/4","ANSI 150# 2","SS316","ø75мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-C-5-2-S-T-1","FNPT 1/4","ANSI 300# 2","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-C-5-2-S-T-2","FNPT 1/4","ANSI 300# 2","SS316","ø75мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-C-5-2-S-T-3","FNPT 1/4","ANSI 300# 2","SS316","ø75мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-C-5-G10-S-T-1","FNPT 1/4","Гост Py10 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-C-5-G10-S-T-2","FNPT 1/4","Гост Py10 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-C-5-G10-S-T-3","FNPT 1/4","Гост Py10 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-C-5-G16-S-T-1","FNPT 1/4","Гост Py16 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-B-C-5-G16-S-T-2","FNPT 1/4","Гост Py16 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-B-C-5-G16-S-T-3","FNPT 1/4","Гост Py16 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-B-C-5-G25-S-T-1","FNPT 1/4","Гост Py25 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
