#,Заказной код,Параметр:Заказной код:Диапазон давления,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Подсоединение к процессу
,PS2200W-04R-A-1-F-2,"0,003-0,12 бар",SS316,"FNPT 1/2"""
,PS2200W-10R-A-1-F-2,"0,03-0,2 бар",SS316,"FNPT 1/2"""
,PS2200W-20R-A-1-F-2,"0,03-0,3 бар",SS316,"FNPT 1/2"""
,PS2200W-30R-A-1-F-2,"0,11-0,7 бар",SS316,"FNPT 1/2"""
,PS2200W-04R-A-2-F-2,"0,003-0,12 бар",SS316,"FNPT 1/4"""
,PS2200W-10R-A-2-F-2,"0,03-0,2 бар",SS316,"FNPT 1/4"""
,PS2200W-20R-A-2-F-2,"0,03-0,3 бар",SS316,"FNPT 1/4"""
,PS2200W-30R-A-2-F-2,"0,11-0,7 бар",SS316,"FNPT 1/4"""
,PS2200W-04R-A-M-F-2,"0,003-0,12 бар",SS316,M20x1.5
,PS2200W-10R-A-M-F-2,"0,03-0,2 бар",SS316,M20x1.5
,PS2200W-20R-A-M-F-2,"0,03-0,3 бар",SS316,M20x1.5
,PS2200W-30R-A-M-F-2,"0,11-0,7 бар",SS316,M20x1.5
