#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Штуцер,Параметр:Заказной код:Диапазон давления
,36518892,100 мм,G1/2B,снизу,-1..0 бар
,36518891,100 мм,G1/2B,снизу,"-1..0,6 бар"
,36518890,100 мм,G1/2B,снизу,"-1..1,5 бар"
,36518889,100 мм,G1/2B,снизу,-1..3 бар
,36518888,100 мм,G1/2B,снизу,-1..5 бар
,36518887,100 мм,G1/2B,снизу,-1..9 бар
,36518886,100 мм,G1/2B,снизу,-1..15 бар
,36518885,100 мм,G1/2B,снизу,"0,6 бар"
,36518884,100 мм,G1/2B,снизу,1 бар
,36518883,100 мм,G1/2B,снизу,"1,6 бар"
,36518882,100 мм,G1/2B,снизу,"2,5 бар"
,36518989,100 мм,G1/2B,снизу,4 бар
,36509689,100 мм,G1/2B,снизу,6 бар
,36495144,100 мм,G1/2B,снизу,10 бар
,36498009,100 мм,G1/2B,снизу,16 бар
,36495599,100 мм,G1/2B,снизу,25 бар
,36502201,100 мм,G1/2B,снизу,40 бар
,36517634,100 мм,G1/2B,снизу,60 бар
,36517635,100 мм,G1/2B,снизу,100 бар
,36517636,100 мм,G1/2B,снизу,160 бар
,36517637,100 мм,G1/2B,снизу,250 бар
,36517638,100 мм,G1/2B,снизу,400 бар
,36517639,100 мм,G1/2B,снизу,600 бар
,36517640,100 мм,G1/2B,снизу,1000 бар
,36518993,100 мм,G1/2B,сзади,-1..0 бар
,36518994,100 мм,G1/2B,сзади,"-1..0,6 бар"
,36518995,100 мм,G1/2B,сзади,"-1..1,5 бар"
,36518996,100 мм,G1/2B,сзади,-1..3 бар
,36518997,100 мм,G1/2B,сзади,-1..5 бар
,36518998,100 мм,G1/2B,сзади,-1..9 бар
,36518999,100 мм,G1/2B,сзади,-1..15 бар
,36518868,100 мм,G1/2B,сзади,"0,6 бар"
,36518867,100 мм,G1/2B,сзади,1 бар
,36518655,100 мм,G1/2B,сзади,"1,6 бар"
,36518654,100 мм,G1/2B,сзади,"2,5 бар"
,36518990,100 мм,G1/2B,сзади,4 бар
,36518653,100 мм,G1/2B,сзади,6 бар
,36518991,100 мм,G1/2B,сзади,10 бар
,36505793,100 мм,G1/2B,сзади,16 бар
,36518652,100 мм,G1/2B,сзади,25 бар
,36518649,100 мм,G1/2B,сзади,40 бар
,36518648,100 мм,G1/2B,сзади,60 бар
,36518646,100 мм,G1/2B,сзади,100 бар
,36518645,100 мм,G1/2B,сзади,160 бар
,36518644,100 мм,G1/2B,сзади,250 бар
,36518643,100 мм,G1/2B,сзади,400 бар
,36517759,100 мм,G1/2B,сзади,600 бар
,36517641,100 мм,G1/2B,сзади,1000 бар
