#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Корпус
,36594822,160 мм,"G1/2""","0,6 бар","0,6",Нержавеющая сталь
,36594823,160 мм,"G1/2""","2,5 бар","0,6",Нержавеющая сталь
,36544027,160 мм,"G1/2""",6 бар,"0,6",Нержавеющая сталь
,36594824,160 мм,"G1/2""",10 бар,"0,6",Нержавеющая сталь
,36594825,160 мм,"G1/2""",25 бар,"0,6",Нержавеющая сталь
,36594826,160 мм,"G1/2""",40 бар,"0,6",Нержавеющая сталь
,36594828,160 мм,"G1/2""",70 бар,"0,6",Нержавеющая сталь
,36594831,160 мм,"G1/2""",100 бар,"0,6",Нержавеющая сталь
,36594833,160 мм,"G1/2""",160 бар,"0,6",Нержавеющая сталь
,36594834,160 мм,"G1/2""",250 бар,"0,6",Нержавеющая сталь
,36594835,160 мм,"G1/2""",400 бар,"0,6",Нержавеющая сталь
,36594838,160 мм,"G1/2""",600 бар,"0,6",Нержавеющая сталь
