#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Питание,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Корпус
,36516765,"G1/4"" наруж.",8…30V DC,16 бар,"4-20 мА, 2-проводной",Нерж. сталь
,36516763,"G1/4"" наруж.",8…30V DC,25 бар,"4-20 мА, 2-проводной",Нерж. сталь
,36516762,"G1/4"" наруж.",8…30V DC,40 бар,"4-20 мА, 2-проводной",Нерж. сталь
,36516761,"G1/4"" наруж.",8…30V DC,60 бар,"4-20 мА, 2-проводной",Нерж. сталь
,36492737,"G1/4"" наруж.",8…30V DC,100 бар,"4-20 мА, 2-проводной",Нерж. сталь
,36516757,"G1/4"" наруж.",8…30V DC,160 бар,"4-20 мА, 2-проводной",Нерж. сталь
,36492735,"G1/4"" наруж.",8…30V DC,250 бар,"4-20 мА, 2-проводной",Нерж. сталь
,36492736,"G1/4"" наруж.",8…30V DC,400 бар,"4-20 мА, 2-проводной",Нерж. сталь
,36516758,"G1/4"" наруж.",8…30V DC,600 бар,"4-20 мА, 2-проводной",Нерж. сталь
,14073491,"G1/4"" наруж.",8…30V DC,6 бар,"4-20 мА, 2-проводной",Нерж. сталь
,14073511,"G1/4"" наруж.",8…30V DC,10 бар,"4-20 мА, 2-проводной",Нерж. сталь
,14073516,"G1/4"" наруж.",8…30V DC,16 бар,"4-20 мА, 2-проводной",Нерж. сталь
,14073521,"G1/4"" наруж.",8…30V DC,25 бар,"4-20 мА, 2-проводной",Нерж. сталь
,36516767,"G1/4"" наруж.",8…30V DC,40 бар,"4-20 мА, 2-проводной",Нерж. сталь
