#,Заказной код,Параметр:Заказной код:Точность,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Питание,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Корпус
,9810714,"0,50%","G 1 B, внешняя мембрана с уплотнительным кольцом",DC 10 (14)...30 В,-1…0 бар,4…20 мА,нержавеющая сталь
,9083537,"0,50%","G 1 B, внешняя мембрана с уплотнительным кольцом",DC 10 (14)...30 В,"0…0,1 бар",4…20 мА,нержавеющая сталь
,9083545,"0,50%","G 1 B, внешняя мембрана с уплотнительным кольцом",DC 10 (14)...30 В,"0…0,16 бар",4…20 мА,нержавеющая сталь
,9021264,"0,50%","G 1 B, внешняя мембрана с уплотнительным кольцом",DC 10 (14)...30 В,"0…0,25 бар",4…20 мА,нержавеющая сталь
,7159524,"0,50%","G 1 B, внешняя мембрана с уплотнительным кольцом",DC 10 (14)...30 В,"0…0,4 бар",4…20 мА,нержавеющая сталь
,9021280,"0,50%","G 1 B, внешняя мембрана с уплотнительным кольцом",DC 10 (14)...30 В,"0…0,6 бар",4…20 мА,нержавеющая сталь
,7053955,"0,50%","G 1 B, внешняя мембрана с уплотнительным кольцом",DC 10 (14)...30 В,0…1 бар,4…20 мА,нержавеющая сталь
,9021302,"0,50%","G 1 B, внешняя мембрана с уплотнительным кольцом",DC 10 (14)...30 В,"0…1,6 бар",4…20 мА,нержавеющая сталь
,9021310,"0,50%",G 1/2 B внешняя мембрана с уплотнительным кольцом,DC 10 (14)...30 В,"0…2,5 бар",4…20 мА,нержавеющая сталь
,9021213,"0,50%",G 1/2 B внешняя мембрана с уплотнительным кольцом,DC 10 (14)...30 В,0…4 бар,4…20 мА,нержавеющая сталь
,8382436,"0,50%",G 1/2 B внешняя мембрана с уплотнительным кольцом,DC 10 (14)...30 В,0…6 бар,4…20 мА,нержавеющая сталь
,8363175,"0,50%",G 1/2 B внешняя мембрана с уплотнительным кольцом,DC 10 (14)...30 В,0…10 бар,4…20 мА,нержавеющая сталь
,9021248,"0,50%",G 1/2 B внешняя мембрана с уплотнительным кольцом,DC 10 (14)...30 В,0…16 бар,4…20 мА,нержавеющая сталь
,9023518,"0,50%",G 1/2 B внешняя мембрана с уплотнительным кольцом,DC 10 (14)...30 В,0…25 бар,4…20 мА,нержавеющая сталь
,9023526,"0,50%",G 1/2 B внешняя мембрана с уплотнительным кольцом,DC 10 (14)...30 В,0…40 бар,4…20 мА,нержавеющая сталь
,9023534,"0,50%",G 1/2 B внешняя мембрана с уплотнительным кольцом,DC 10 (14)...30 В,0…60 бар,4…20 мА,нержавеющая сталь
,9023542,"0,50%",G 1/2 B внешняя мембрана с уплотнительным кольцом,DC 10 (14)...30 В,0…100 бар,4…20 мА,нержавеющая сталь
,9023550,"0,50%",G 1/2 B внешняя мембрана с уплотнительным кольцом,DC 10 (14)...30 В,0…160 бар,4…20 мА,нержавеющая сталь
,9023569,"0,50%",G 1/2 B внешняя мембрана с уплотнительным кольцом,DC 10 (14)...30 В,0…250 бар,4…20 мА,нержавеющая сталь
,9023577,"0,50%",G 1/2 B внешняя мембрана с уплотнительным кольцом,DC 10 (14)...30 В,0…400 бар,4…20 мА,нержавеющая сталь
,9023585,"0,50%",G 1/2 B внешняя мембрана с уплотнительным кольцом,DC 10 (14)...30 В,0…600 бар,4…20 мА,нержавеющая сталь
