#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Штуцер,Параметр:Заказной код:Диапазон давления
,611-13-63-0-60m,63 мм,G1/4B,снизу,от 0 до 60 мбар
,611-13-63-0-100m,63 мм,G1/4B,снизу,от 0 до 100 мбар
,611-13-63-0-160m,63 мм,G1/4B,снизу,от 0 до 160 мбар
,611-13-63-0-250m,63 мм,G1/4B,снизу,от 0 до 250 мбар
