#,Заказной код,Параметр:Заказной код:Точность,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Питание,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Корпус
,9083499,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,"0...0,1 бар","4...20 мA, 2-проводной",Нерж. сталь
,9083502,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,"0...0,16 бар","4...20 мA, 2-проводной",Нерж. сталь
,9021329,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,"0...0,25 бар","4...20 мA, 2-проводной",Нерж. сталь
,9013474,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,"0...0,4 бар","4...20 мA, 2-проводной",Нерж. сталь
,9013482,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,"0...0,6 бар","4...20 мA, 2-проводной",Нерж. сталь
,9013490,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,0...1 бар,"4...20 мA, 2-проводной",Нерж. сталь
,9013504,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,"0...1,6 бар","4...20 мA, 2-проводной",Нерж. сталь
,9013512,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,"0...2,5 бар","4...20 мA, 2-проводной",Нерж. сталь
,9013520,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,0...4 бар,"4...20 мA, 2-проводной",Нерж. сталь
,9013539,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,0...6 бар,"4...20 мA, 2-проводной",Нерж. сталь
,9013547,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,0...10 бар,"4...20 мA, 2-проводной",Нерж. сталь
,9013555,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,0...16 бар,"4...20 мA, 2-проводной",Нерж. сталь
,9073922,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,0...25 бар,"4...20 мA, 2-проводной",Нерж. сталь
,9073930,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,0...40 бар,"4...20 мA, 2-проводной",Нерж. сталь
,9073949,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,0...60 бар,"4...20 мA, 2-проводной",Нерж. сталь
,9073957,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,0...100 бар,"4...20 мA, 2-проводной",Нерж. сталь
,9073965,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,0...160 бар,"4...20 мA, 2-проводной",Нерж. сталь
,9073973,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,0...250 бар,"4...20 мA, 2-проводной",Нерж. сталь
,9073981,"0,50%","G 1/2"" B наруж.",DC 10 (14)...30 В,0...400 бар,"4...20 мA, 2-проводной",Нерж. сталь
