#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Размер шкалы,Параметр:Заказной код:Давление
,G80.1-S-20M-80A-10bar-CL0.25,M20x1.5,80мм,10 бар
,G80.1-S-20M-80A-25bar-CL0.25,M20x1.5,80мм,25 бар
,G80.1-S-20M-80A-100bar-CL0.25,M20x1.5,80мм,100 бар
,G80.1-S-20M-80A-250bar-CL0.25,M20x1.5,80мм,250 бар
,G80.1-S-20M-80A-600bar-CL0.25,M20x1.5,80мм,600 бар
,G80.1-S-20M-80A-1000bar-CL0.25,M20x1.5,80мм,1000 бар
