#,Заказной код,Параметр:Заказной код:Диапазон давления,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Подсоединение к процессу
,PSA2100W-04R-A-1-F-1,"0,1-0,8 бар",SS316,"FNPT 1/2"""
,PSA2100W-10R-A-1-F-1,"0,1-1,1 бар",SS316,"FNPT 1/2"""
,PSA2100W-20R-A-1-F-1,"0,1-1,4 бар",SS316,"FNPT 1/2"""
,PSA2100W-30R-A-1-F-1,"0,2-1,9 бар",SS316,"FNPT 1/2"""
,PSA2100W-40R-A-1-F-1,"0,5-6,9 бар",SS316,"FNPT 1/2"""
,PSA2100W-04R-A-2-F-1,"0,1-0,8 бар",SS316,"FNPT 1/4"""
,PSA2100W-10R-A-2-F-1,"0,1-1,1 бар",SS316,"FNPT 1/4"""
,PSA2100W-20R-A-2-F-1,"0,1-1,4 бар",SS316,"FNPT 1/4"""
,PSA2100W-30R-A-2-F-1,"0,2-1,9 бар",SS316,"FNPT 1/4"""
,PSA2100W-40R-A-M-F-1,"0,5-6,9 бар",SS316,"FNPT 1/4"""
,PSA2100W-04R-A-M-F-1,"0,1-0,8 бар",SS316,M20x1.5
,PSA2100W-10R-A-M-F-1,"0,1-1,1 бар",SS316,M20x1.5
,PSA2100W-20R-A-M-F-1,"0,1-1,4 бар",SS316,M20x1.5
,PSA2100W-30R-A-M-F-1,"0,2-1,9 бар",SS316,M20x1.5
