#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Корпус,Параметр:Заказной код:Материал чувствительного элемента
,36522822,160 мм,"G 1/2""","0,6 бар",Нерж сталь,Медный сплав
,36542827,160 мм,"G 1/2""",4 бар,Нерж сталь,Медный сплав
,36498302,160 мм,"G 1/2""",10 бар,Нерж сталь,Медный сплав
,36498536,160 мм,"G 1/2""",16 бар,Нерж сталь,Медный сплав
,36592072,160 мм,"G 1/2""",25 бар,Нерж сталь,Медный сплав
,36498537,160 мм,"G 1/2""",40 бар,Нерж сталь,Медный сплав
,36592073,160 мм,"G 1/2""",70 бар,Нерж сталь,Медный сплав
,36520538,160 мм,"G 1/2""",100 бар,Нерж сталь,Нерж сталь
,36592076,160 мм,"G 1/2""",160 бар,Нерж сталь,Нерж сталь
,36520539,160 мм,"G 1/2""",250 бар,Нерж сталь,Нерж сталь
,36498300,160 мм,"G 1/2""",400 бар,Нерж сталь,Нерж сталь
