#,Заказной код,Параметр:Заказной код:Диаметр шкалы,Параметр:Заказной код:Диапазон давлений,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Подсоединение к процессу
,"G65-S-4N-100D-1,2bar",100,"от 0 до 1,2 бар",SS316,"FNPT 1/4"""
,"G65-S-4N-150D-1,2bar",150,"от 0 до 1,2 бар",SS316,"FNPT 1/4"""
,G65-S-4N-100D-2bar,100,от 0 до 2 бар,SS316,"FNPT 1/4"""
,G65-S-4N-150D-2bar,150,от 0 до 2 бар,SS316,"FNPT 1/4"""
,"G65-S-4N-100D-0,25bar",100,"от 0 до 0,25 бар",SS316,"FNPT 1/4"""
,"G65-S-4N-150D-0,25bar",150,"от 0 до 0,25 бар",SS316,"FNPT 1/4"""
,"G65-S-4N-100D-2,5bar",100,"от 0 до 2,5 бар",SS316,"FNPT 1/4"""
,"G65-S-4N-150D-2,5bar",150,"от 0 до 2,5 бар",SS316,"FNPT 1/4"""
,G65-S-4N-100D-4bar,100,от 0 до 4 бар,SS316,"FNPT 1/4"""
,G65-S-4N-150D-4bar,150,от 0 до 4 бар,SS316,"FNPT 1/4"""
,"G65-S-4N-100D-0,5bar",100,"от 0 до 0,5 бар",SS316,"FNPT 1/4"""
,"G65-S-4N-150D-0,5bar",150,"от 0 до 0,5 бар",SS316,"FNPT 1/4"""
,"G65-S-4N-100D-0,6bar",100,"от 0 до 0,6 бар",SS316,"FNPT 1/4"""
,"G65-S-4N-150D-0,6bar",150,"от 0 до 0,6 бар",SS316,"FNPT 1/4"""
,"G65-S-4N-100D-0,8bar",100,"от 0 до 0,8 бар",SS316,"FNPT 1/4"""
,"G65-S-4N-150D-0,8bar",150,"от 0 до 0,8 бар",SS316,"FNPT 1/4"""
,"G65-S-8N-100D-1,2bar",100,"от 0 до 1,2 бар",SS316,"FNPT 1/2"""
,"G65-S-8N-150D-1,2bar",150,"от 0 до 1,2 бар",SS316,"FNPT 1/2"""
,G65-S-8N-100D-2bar,100,от 0 до 2 бар,SS316,"FNPT 1/2"""
,G65-S-8N-150D-2bar,150,от 0 до 2 бар,SS316,"FNPT 1/2"""
,"G65-S-8N-100D-0,25bar",100,"от 0 до 0,25 бар",SS316,"FNPT 1/2"""
,"G65-S-8N-150D-0,25bar",150,"от 0 до 0,25 бар",SS316,"FNPT 1/2"""
,"G65-S-8N-100D-2,5bar",100,"от 0 до 2,5 бар",SS316,"FNPT 1/2"""
,"G65-S-8N-150D-2,5bar",150,"от 0 до 2,5 бар",SS316,"FNPT 1/2"""
,G65-S-8N-100D-4bar,100,от 0 до 4 бар,SS316,"FNPT 1/2"""
,G65-S-8N-150D-4bar,150,от 0 до 4 бар,SS316,"FNPT 1/2"""
,"G65-S-8N-100D-0,5bar",100,"от 0 до 0,5 бар",SS316,"FNPT 1/2"""
,"G65-S-8N-150D-0,5bar",150,"от 0 до 0,5 бар",SS316,"FNPT 1/2"""
,"G65-S-8N-100D-0,6bar",100,"от 0 до 0,6 бар",SS316,"FNPT 1/2"""
,"G65-S-8N-150D-0,6bar",150,"от 0 до 0,6 бар",SS316,"FNPT 1/2"""
,"G65-S-8N-100D-0,8bar",100,"от 0 до 0,8 бар",SS316,"FNPT 1/2"""
,"G65-S-8N-150D-0,8bar",150,"от 0 до 0,8 бар",SS316,"FNPT 1/2"""
,"G65-S-20M-100D-1,2bar",100,"от 0 до 1,2 бар",SS316,M20x1.5
,"G65-S-20M-150D-1,2bar",150,"от 0 до 1,2 бар",SS316,M20x1.5
,G65-S-20M-100D-2bar,100,от 0 до 2 бар,SS316,M20x1.5
,G65-S-20M-150D-2bar,150,от 0 до 2 бар,SS316,M20x1.5
,"G65-S-20M-100D-0,25bar",100,"от 0 до 0,25 бар",SS316,M20x1.5
,"G65-S-20M-150D-0,25bar",150,"от 0 до 0,25 бар",SS316,M20x1.5
,"G65-S-20M-100D-2,5bar",100,"от 0 до 2,5 бар",SS316,M20x1.5
,"G65-S-20M-150D-2,5bar",150,"от 0 до 2,5 бар",SS316,M20x1.5
,G65-S-20M-100D-4bar,100,от 0 до 4 бар,SS316,M20x1.5
,G65-S-20M-150D-4bar,150,от 0 до 4 бар,SS316,M20x1.5
,"G65-S-20M-100D-0,5bar",100,"от 0 до 0,5 бар",SS316,M20x1.5
,"G65-S-20M-150D-0,5bar",150,"от 0 до 0,5 бар",SS316,M20x1.5
,"G65-S-20M-100D-0,6bar",100,"от 0 до 0,6 бар",SS316,M20x1.5
,"G65-S-20M-150D-0,6bar",150,"от 0 до 0,6 бар",SS316,M20x1.5
,"G65-S-20M-100D-0,8bar",100,"от 0 до 0,8 бар",SS316,M20x1.5
,"G65-S-20M-150D-0,8bar",150,"от 0 до 0,8 бар",SS316,M20x1.5
