#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Материал
,36589814,63 мм,"G1/4""","1,6",1 бар,Нержавеющая сталь
,36589815,63 мм,"G1/4""","1,6",4 бар,Нержавеющая сталь
,36589816,63 мм,"G1/4""","1,6",10 бар,Нержавеющая сталь
,36589817,63 мм,"G1/4""","1,6",16 бар,Нержавеющая сталь
,36589818,63 мм,"G1/4""","1,6",25 бар,Нержавеющая сталь
,36589819,63 мм,"G1/4""","1,6",40 бар,Нержавеющая сталь
,36589820,63 мм,"G1/4""","1,6",60 бар,Нержавеющая сталь
,36589821,63 мм,"G1/4""","1,6",100 бар,Нержавеющая сталь
,36589822,63 мм,"G1/4""","1,6",160 бар,Нержавеющая сталь
,36589823,63 мм,"G1/4""","1,6",250 бар,Нержавеющая сталь
,36589824,63 мм,"G1/4""","1,6",400 бар,Нержавеющая сталь
