"#","Код","Параметр:Код:Подсоединение к процессу","Параметр:Код:Диапазон давления","Параметр:Код:Детали контактирующие со средой","Параметр:Код:Микропереключатели","Параметр:Код:Тип взрывозащиты"
,"DPS2100X-40R-A-2-F-2-C","FNPT1/4,стандарт","3,4-34,5бар","SS316","SPDTx2","C"
,"DPS2100X-10R-A-M-F-1-A","M20x1.5","0,21-1,9бар","SS316","SPDTx1","A"
,"DPS2100X-10R-A-M-F-1-B","M20x1.5","0,21-1,9бар","SS316","SPDTx1","B"
,"DPS2100X-10R-A-M-F-1-C","M20x1.5","0,21-1,9бар","SS316","SPDTx1","C"
,"DPS2100X-10R-A-M-F-2-A","M20x1.5","0,21-1,9бар","SS316","SPDTx2","A"
,"DPS2100X-10R-A-M-F-2-B","M20x1.5","0,21-1,9бар","SS316","SPDTx2","B"
,"DPS2100X-10R-A-M-F-2-C","M20x1.5","0,21-1,9бар","SS316","SPDTx2","C"
,"DPS2100X-20R-A-M-F-1-A","M20x1.5","0,48-6,9бар","SS316","SPDTx1","A"
,"DPS2100X-20R-A-M-F-1-B","M20x1.5","0,48-6,9бар","SS316","SPDTx1","B"
,"DPS2100X-20R-A-M-F-1-C","M20x1.5","0,48-6,9бар","SS316","SPDTx1","C"
,"DPS2100X-20R-A-M-F-2-A","M20x1.5","0,48-6,9бар","SS316","SPDTx2","A"
,"DPS2100X-20R-A-M-F-2-B","M20x1.5","0,48-6,9бар","SS316","SPDTx2","B"
,"DPS2100X-20R-A-M-F-2-C","M20x1.5","0,48-6,9бар","SS316","SPDTx2","C"
,"DPS2100X-30R-A-M-F-1-A","M20x1.5","2,4-13,8бар","SS316","SPDTx1","A"
,"DPS2100X-30R-A-M-F-1-B","M20x1.5","2,4-13,8бар","SS316","SPDTx1","B"
,"DPS2100X-30R-A-M-F-1-C","M20x1.5","2,4-13,8бар","SS316","SPDTx1","C"
,"DPS2100X-30R-A-M-F-2-A","M20x1.5","2,4-13,8бар","SS316","SPDTx2","A"
,"DPS2100X-30R-A-M-F-2-B","M20x1.5","2,4-13,8бар","SS316","SPDTx2","B"
,"DPS2100X-30R-A-M-F-2-C","M20x1.5","2,4-13,8бар","SS316","SPDTx2","C"
,"DPS2100X-40R-A-M-F-1-A","M20x1.5","3,4-34,5бар","SS316","SPDTx1","A"
,"DPS2100X-40R-A-M-F-1-B","M20x1.5","3,4-34,5бар","SS316","SPDTx1","B"
,"DPS2100X-40R-A-M-F-1-C","M20x1.5","3,4-34,5бар","SS316","SPDTx1","C"
,"DPS2100X-40R-A-M-F-2-A","M20x1.5","3,4-34,5бар","SS316","SPDTx2","A"
,"DPS2100X-40R-A-M-F-2-B","M20x1.5","3,4-34,5бар","SS316","SPDTx2","B"
,"DPS2100X-40R-A-M-F-2-C","M20x1.5","3,4-34,5бар","SS316","SPDTx2","C"
